+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 01/08/2015 00:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-01 00:00:16
Numero BTs: 109
Disponibilidad MUEBLE: 1115309 / 1139223  (0.97900849965283)
Disponibilidad PUERTAS: 1128353 / 1138837  (0.99079411715636)
Disponibilidad FOTOCELULA: 1133652 / 1138837  (0.99544710963904)
Disponibilidad VARIADOR: 1136295 / 1138837  (0.99776789830327)
Disponibilidad LECTOR_QR_ENTRADA: 1136378 / 1137329  (0.99916383034285)
Disponibilidad LECTOR_QR_SALIDA: 1136378 / 1137329  (0.99916383034285)
Disponibilidad VTSC_ENTRADA: 1137943 / 1139223  (0.99887642717888)
Disponibilidad VTSC_SALIDA: 1137940 / 1139223  (0.99887379380508)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 108 / 108  (1)
Disponibilidad PUERTAS: 108 / 108  (1)
Disponibilidad FOTOCELULA: 108 / 108  (1)
Disponibilidad VARIADOR: 108 / 108  (1)
Disponibilidad LECTOR_QR_ENTRADA: 108 / 108  (1)
Disponibilidad LECTOR_QR_SALIDA: 108 / 108  (1)
Disponibilidad VTSC_ENTRADA: 108 / 108  (1)
Disponibilidad VTSC_SALIDA: 108 / 108  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-01 00:01:19
Numero MAVs: 59
Disponibilidad MAVs: 2207938 / 2272047  (0.97178359426544)
Disponibilidad PaySystem: 2203156 / 2267159  (0.97176951418052)
Disponibilidad Printer: 2240037 / 2267159  (0.98803701019646)
Disponibilidad RFID: 2263441 / 2272047  (0.99621222624356)
Disponibilidad PLC: 2267334 / 2272047  (0.99792565910828)
Disponibilidad Conexion: 2272047 / 2333294  (0.9737508432285)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 55 / 59  (0.93220338983051)
Disponibilidad Printer: 56 / 59  (0.94915254237288)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1594
Validaciones / Aperturas Ultima: 128 / 128  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	11		11		-0		0
 10.40.1.101	3		3		-0		0
 10.40.1.102	4		4		-0		0
 10.40.1.103	2		2		-0		0
 10.40.1.104	2		2		-0		0
 10.40.1.105	1		1		-0		0
 10.40.1.106	0		0		-0		0
 10.40.1.107	1		1		-0		0
 10.40.1.108	0		0		-0		0
 10.40.1.109	0		0		-0		0
 10.40.1.110	5		5		-0		0
 10.40.1.111	5		5		-0		0
 10.40.1.112	6		6		-0		0
 10.40.1.113	9		9		-0		0
 10.40.10.100	1		1		-0		0
 10.40.10.101	0		0		-0		0
 10.40.11.100	0		0		-0		0
 10.40.11.101	1		1		-0		0
 10.40.11.102	1		1		-0		0
 10.40.12.100	4		4		-0		0
 10.40.12.101	1		1		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	0		0		-0		0
 10.40.13.101	0		0		-0		0
 10.40.13.102	1		1		-0		0
 10.40.13.103	6		6		-0		0
 10.40.13.104	3		3		-0		0
 10.40.13.105	3		3		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	1		1		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	4		4		-0		0
 10.40.21.101	7		7		-0		0
 10.40.21.102	10		10		-0		0
 10.40.21.103	9		9		-0		0
 10.40.22.100	1		1		-0		0
 10.40.22.101	1		1		-0		0
 10.40.22.102	0		0		-0		0
 10.40.22.103	1		1		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	1		1		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	1		1		-0		0
 10.40.26.100	1		1		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	1		1		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	1		1		-0		0
 10.40.27.102	1		1		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	3		3		-0		0
