+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 01/08/2015 07:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-01 07:00:10
Numero BTs: 109
Disponibilidad MUEBLE: 1119832 / 1143746  (0.97909151157687)
Disponibilidad PUERTAS: 1132876 / 1143360  (0.99083053456479)
Disponibilidad FOTOCELULA: 1138175 / 1143360  (0.99546512034705)
Disponibilidad VARIADOR: 1140818 / 1143360  (0.99777672823957)
Disponibilidad LECTOR_QR_ENTRADA: 1140901 / 1141852  (0.99916714250183)
Disponibilidad LECTOR_QR_SALIDA: 1140901 / 1141852  (0.99916714250183)
Disponibilidad VTSC_ENTRADA: 1142466 / 1143746  (0.99888087040304)
Disponibilidad VTSC_SALIDA: 1142463 / 1143746  (0.99887824744305)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 4631 / 4631  (1)
Disponibilidad PUERTAS: 4631 / 4631  (1)
Disponibilidad FOTOCELULA: 4631 / 4631  (1)
Disponibilidad VARIADOR: 4631 / 4631  (1)
Disponibilidad LECTOR_QR_ENTRADA: 4631 / 4631  (1)
Disponibilidad LECTOR_QR_SALIDA: 4631 / 4631  (1)
Disponibilidad VTSC_ENTRADA: 4631 / 4631  (1)
Disponibilidad VTSC_SALIDA: 4631 / 4631  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-01 07:01:20
Numero MAVs: 59
Disponibilidad MAVs: 2217238 / 2281623  (0.97178105234739)
Disponibilidad PaySystem: 2212456 / 2276735  (0.97176702602631)
Disponibilidad Printer: 2249511 / 2276735  (0.98804252580999)
Disponibilidad RFID: 2272847 / 2281623  (0.99615361521163)
Disponibilidad PLC: 2276910 / 2281623  (0.99793436514271)
Disponibilidad Conexion: 2281623 / 2343206  (0.97371848655219)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 57 / 59  (0.96610169491525)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 57 / 59  (0.96610169491525)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1601
Validaciones / Aperturas Ultima: 239 / 239  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	10		10		-0		0
 10.40.1.101	3		3		-0		0
 10.40.1.102	3		3		-0		0
 10.40.1.103	1		1		-0		0
 10.40.1.104	2		2		-0		0
 10.40.1.105	2		2		-0		0
 10.40.1.106	1		1		-0		0
 10.40.1.107	22		22		-0		0
 10.40.1.108	13		13		-0		0
 10.40.1.109	17		17		-0		0
 10.40.1.110	7		7		-0		0
 10.40.1.111	7		7		-0		0
 10.40.1.112	6		6		-0		0
 10.40.1.113	5		5		-0		0
 10.40.10.100	1		1		-0		0
 10.40.10.101	1		1		-0		0
 10.40.11.100	0		0		-0		0
 10.40.11.101	13		13		-0		0
 10.40.11.102	3		3		-0		0
 10.40.12.100	4		4		-0		0
 10.40.12.101	5		5		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	0		0		-0		0
 10.40.13.101	4		4		-0		0
 10.40.13.102	3		3		-0		0
 10.40.13.103	25		25		-0		0
 10.40.13.104	24		24		-0		0
 10.40.13.105	8		8		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	1		1		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	1		1		-0		0
 10.40.21.100	5		5		-0		0
 10.40.21.101	5		5		-0		0
 10.40.21.102	8		8		-0		0
 10.40.21.103	3		3		-0		0
 10.40.22.100	3		3		-0		0
 10.40.22.101	4		4		-0		0
 10.40.22.102	3		3		-0		0
 10.40.22.103	4		4		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	1		1		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	0		0		-0		0
 10.40.30.101	0		0		-0		0
