+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 01/08/2015 21:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-01 21:00:10
Numero BTs: 109
Disponibilidad MUEBLE: 1128867 / 1152818  (0.97922395382445)
Disponibilidad PUERTAS: 1141934 / 1152432  (0.99089056881447)
Disponibilidad FOTOCELULA: 1147232 / 1152432  (0.99548780318492)
Disponibilidad VARIADOR: 1149890 / 1152432  (0.99779422994155)
Disponibilidad LECTOR_QR_ENTRADA: 1149973 / 1150924  (0.99917370738641)
Disponibilidad LECTOR_QR_SALIDA: 1149973 / 1150924  (0.99917370738641)
Disponibilidad VTSC_ENTRADA: 1151536 / 1152818  (0.99888794241589)
Disponibilidad VTSC_SALIDA: 1151534 / 1152818  (0.99888620753666)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 13666 / 13703  (0.99729986134423)
Disponibilidad PUERTAS: 13689 / 13703  (0.99897832591403)
Disponibilidad FOTOCELULA: 13688 / 13703  (0.99890534919361)
Disponibilidad VARIADOR: 13703 / 13703  (1)
Disponibilidad LECTOR_QR_ENTRADA: 13703 / 13703  (1)
Disponibilidad LECTOR_QR_SALIDA: 13703 / 13703  (1)
Disponibilidad VTSC_ENTRADA: 13701 / 13703  (0.99985404655915)
Disponibilidad VTSC_SALIDA: 13702 / 13703  (0.99992702327957)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-01 21:01:17
Numero MAVs: 59
Disponibilidad MAVs: 2235870 / 2300775  (0.97178994034619)
Disponibilidad PaySystem: 2231088 / 2295887  (0.97177604995368)
Disponibilidad Printer: 2268566 / 2295887  (0.98810002408655)
Disponibilidad RFID: 2291661 / 2300775  (0.99603872608143)
Disponibilidad PLC: 2296062 / 2300775  (0.9979515598005)
Disponibilidad Conexion: 2300775 / 2363030  (0.97365458754227)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 57 / 59  (0.96610169491525)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1615
Validaciones / Aperturas Ultima: 860 / 860  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	24		24		-0		0
 10.40.1.101	22		22		-0		0
 10.40.1.102	17		17		-0		0
 10.40.1.103	6		6		-0		0
 10.40.1.104	14		14		-0		0
 10.40.1.105	13		13		-0		0
 10.40.1.106	4		4		-0		0
 10.40.1.107	30		30		-0		0
 10.40.1.108	59		59		-0		0
 10.40.1.109	45		45		-0		0
 10.40.1.110	26		26		-0		0
 10.40.1.111	36		36		-0		0
 10.40.1.112	37		37		-0		0
 10.40.1.113	26		26		-0		0
 10.40.10.100	4		4		-0		0
 10.40.10.101	9		9		-0		0
 10.40.11.100	8		8		-0		0
 10.40.11.101	31		31		-0		0
 10.40.11.102	13		13		-0		0
 10.40.12.100	7		7		-0		0
 10.40.12.101	12		12		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	4		4		-0		0
 10.40.13.101	5		5		-0		0
 10.40.13.102	28		28		-0		0
 10.40.13.103	37		37		-0		0
 10.40.13.104	56		56		-0		0
 10.40.13.105	37		37		-0		0
 10.40.15.100	1		1		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	3		3		-0		0
 10.40.16.101	8		8		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	4		4		-0		0
 10.40.20.101	10		10		-0		0
 10.40.21.100	13		13		-0		0
 10.40.21.101	22		22		-0		0
 10.40.21.102	32		32		-0		0
 10.40.21.103	14		14		-0		0
 10.40.22.100	12		12		-0		0
 10.40.22.101	7		7		-0		0
 10.40.22.102	11		11		-0		0
 10.40.22.103	11		11		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	1		1		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	3		3		-0		0
 10.40.30.101	5		5		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
