+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 06/08/2015 07:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-06 07:00:12
Numero BTs: 109
Disponibilidad MUEBLE: 1196130 / 1221584  (0.97916311935978)
Disponibilidad PUERTAS: 1209950 / 1221198  (0.99078937240316)
Disponibilidad FOTOCELULA: 1215830 / 1221198  (0.99560431641716)
Disponibilidad VARIADOR: 1218656 / 1221198  (0.99791843746878)
Disponibilidad LECTOR_QR_ENTRADA: 1218739 / 1219690  (0.99922029368118)
Disponibilidad LECTOR_QR_SALIDA: 1218739 / 1219690  (0.99922029368118)
Disponibilidad VTSC_ENTRADA: 1220297 / 1221584  (0.99894644985527)
Disponibilidad VTSC_SALIDA: 1220297 / 1221584  (0.99894644985527)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 4538 / 4667  (0.97235911720591)
Disponibilidad PUERTAS: 4623 / 4667  (0.99057210199271)
Disponibilidad FOTOCELULA: 4667 / 4667  (1)
Disponibilidad VARIADOR: 4667 / 4667  (1)
Disponibilidad LECTOR_QR_ENTRADA: 4667 / 4667  (1)
Disponibilidad LECTOR_QR_SALIDA: 4667 / 4667  (1)
Disponibilidad VTSC_ENTRADA: 4667 / 4667  (1)
Disponibilidad VTSC_SALIDA: 4666 / 4667  (0.99978572959074)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 105 / 109  (0.96330275229358)
Disponibilidad PUERTAS: 107 / 109  (0.98165137614679)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-06 07:01:20
Numero MAVs: 59
Disponibilidad MAVs: 2374026 / 2446492  (0.97037962928144)
Disponibilidad PaySystem: 2369244 / 2441604  (0.97036374448928)
Disponibilidad Printer: 2411645 / 2441604  (0.98772978746758)
Disponibilidad RFID: 2433481 / 2446492  (0.99468177292221)
Disponibilidad PLC: 2441779 / 2446492  (0.99807356819479)
Disponibilidad Conexion: 2446492 / 2513122  (0.97348716059149)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 55 / 59  (0.93220338983051)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 57 / 59  (0.96610169491525)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1721
Validaciones / Aperturas Ultima: 627 / 628  (-0.0015948963317384)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	17		17		-0		0
 10.40.1.101	11		11		-0		0
 10.40.1.102	7		7		-0		0
 10.40.1.103	5		5		-0		0
 10.40.1.104	5		5		-0		0
 10.40.1.105	4		4		-0		0
 10.40.1.106	1		1		-0		0
 10.40.1.107	24		24		-0		0
 10.40.1.108	0		0		-0		0
 10.40.1.109	33		33		-0		0
 10.40.1.110	26		26		-0		0
 10.40.1.111	20		20		-0		0
 10.40.1.112	25		26		-0		-0.04
 10.40.1.113	18		18		-0		0
 10.40.10.100	10		10		-0		0
 10.40.10.101	17		17		-0		0
 10.40.11.100	2		2		-0		0
 10.40.11.101	35		35		-0		0
 10.40.11.102	15		15		-0		0
 10.40.12.100	16		16		-0		0
 10.40.12.101	6		6		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	2		2		-0		0
 10.40.13.101	4		4		-0		0
 10.40.13.102	12		12		-0		0
 10.40.13.103	56		56		-0		0
 10.40.13.104	64		64		-0		0
 10.40.13.105	28		28		-0		0
 10.40.15.100	1		1		-0		0
 10.40.15.101	2		2		-0		0
 10.40.16.100	1		1		-0		0
 10.40.16.101	1		1		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	1		1		-0		0
 10.40.18.101	1		1		-0		0
 10.40.18.102	1		1		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	3		3		-0		0
 10.40.20.101	4		4		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	6		6		-0		0
 10.40.21.102	25		25		-0		0
 10.40.21.103	3		3		-0		0
 10.40.22.100	9		9		-0		0
 10.40.22.101	8		8		-0		0
 10.40.22.102	6		6		-0		0
 10.40.22.103	4		4		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	4		4		-0		0
 10.40.26.103	6		6		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	2		2		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	0		0		-0		0
 10.40.30.101	2		2		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
