+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 07/08/2015 08:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-07 08:00:15
Numero BTs: 109
Disponibilidad MUEBLE: 1211921 / 1237809  (0.97908562629614)
Disponibilidad PUERTAS: 1226039 / 1237423  (0.99080023565103)
Disponibilidad FOTOCELULA: 1232036 / 1237423  (0.99564659780851)
Disponibilidad VARIADOR: 1234881 / 1237423  (0.99794573076466)
Disponibilidad LECTOR_QR_ENTRADA: 1234964 / 1235915  (0.99923052960762)
Disponibilidad LECTOR_QR_SALIDA: 1234964 / 1235915  (0.99923052960762)
Disponibilidad VTSC_ENTRADA: 1236520 / 1237809  (0.99895864386186)
Disponibilidad VTSC_SALIDA: 1236522 / 1237809  (0.99896025962002)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 5106 / 5220  (0.97816091954023)
Disponibilidad PUERTAS: 5220 / 5220  (1)
Disponibilidad FOTOCELULA: 5219 / 5220  (0.99980842911877)
Disponibilidad VARIADOR: 5220 / 5220  (1)
Disponibilidad LECTOR_QR_ENTRADA: 5220 / 5220  (1)
Disponibilidad LECTOR_QR_SALIDA: 5220 / 5220  (1)
Disponibilidad VTSC_ENTRADA: 5219 / 5220  (0.99980842911877)
Disponibilidad VTSC_SALIDA: 5220 / 5220  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-07 08:01:16
Numero MAVs: 59
Disponibilidad MAVs: 2407739 / 2481166  (0.97040625254417)
Disponibilidad PaySystem: 2402957 / 2476278  (0.97039064273074)
Disponibilidad Printer: 2446236 / 2476278  (0.98786808266277)
Disponibilidad RFID: 2467559 / 2481166  (0.99451588487026)
Disponibilidad PLC: 2476413 / 2481166  (0.99808436839776)
Disponibilidad Conexion: 2481166 / 2548522  (0.97357056364434)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 56 / 59  (0.94915254237288)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1746
Validaciones / Aperturas Ultima: 1165 / 1137  (0.024034334763948)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	63		63		-0		0
 10.40.1.101	52		52		-0		0
 10.40.1.102	46		46		-0		0
 10.40.1.103	45		45		-0		0
 10.40.1.104	38		38		-0		0
 10.40.1.105	39		39		-0		0
 10.40.1.106	27		27		-0		0
 10.40.1.107	24		24		-0		0
 10.40.1.108	0		0		-0		0
 10.40.1.109	59		59		-0		0
 10.40.1.110	49		49		-0		0
 10.40.1.111	57		57		-0		0
 10.40.1.112	72		72		-0		0
 10.40.1.113	63		63		-0		0
 10.40.10.100	4		4		-0		0
 10.40.10.101	32		32		-0		0
 10.40.11.100	3		3		-0		0
 10.40.11.101	28		28		-0		0
 10.40.11.102	15		15		-0		0
 10.40.12.100	30		30		-0		0
 10.40.12.101	6		6		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	3		3		-0		0
 10.40.13.101	14		14		-0		0
 10.40.13.102	31		31		-0		0
 10.40.13.103	77		77		-0		0
 10.40.13.104	87		87		-0		0
 10.40.13.105	52		52		-0		0
 10.40.15.100	4		4		-0		0
 10.40.15.101	2		2		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	1		1		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	2		2		-0		0
 10.40.22.100	21		21		-0		0
 10.40.22.101	19		19		-0		0
 10.40.22.102	13		13		-0		0
 10.40.22.103	9		9		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	1		1		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	10		10		-0		0
 10.40.26.103	10		10		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	7		7		-0		0
 10.40.27.103	3		3		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	4		4		-0		0
 10.40.30.101	2		2		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
