+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 08/08/2015 23:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-08 23:00:13
Numero BTs: 109
Disponibilidad MUEBLE: 1236862 / 1262959  (0.97933662137884)
Disponibilidad PUERTAS: 1251165 / 1262573  (0.99096448284574)
Disponibilidad FOTOCELULA: 1257165 / 1262573  (0.99571668331257)
Disponibilidad VARIADOR: 1260031 / 1262573  (0.99798665106889)
Disponibilidad LECTOR_QR_ENTRADA: 1260114 / 1261065  (0.99924587550999)
Disponibilidad LECTOR_QR_SALIDA: 1260114 / 1261065  (0.99924587550999)
Disponibilidad VTSC_ENTRADA: 1261666 / 1262959  (0.99897621379633)
Disponibilidad VTSC_SALIDA: 1261672 / 1262959  (0.99898096454438)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 14886 / 14910  (0.99839034205231)
Disponibilidad PUERTAS: 14903 / 14910  (0.99953051643192)
Disponibilidad FOTOCELULA: 14904 / 14910  (0.99959758551308)
Disponibilidad VARIADOR: 14910 / 14910  (1)
Disponibilidad LECTOR_QR_ENTRADA: 14910 / 14910  (1)
Disponibilidad LECTOR_QR_SALIDA: 14910 / 14910  (1)
Disponibilidad VTSC_ENTRADA: 14908 / 14910  (0.99986586183769)
Disponibilidad VTSC_SALIDA: 14910 / 14910  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-08 23:01:12
Numero MAVs: 59
Disponibilidad MAVs: 2458377 / 2535432  (0.96960872939996)
Disponibilidad PaySystem: 2453595 / 2530544  (0.96959191383355)
Disponibilidad Printer: 2498869 / 2530544  (0.98748292857188)
Disponibilidad RFID: 2520847 / 2535432  (0.99424752862629)
Disponibilidad PLC: 2530679 / 2535432  (0.99812536877345)
Disponibilidad Conexion: 2535432 / 2603740  (0.97376542972801)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 53 / 59  (0.89830508474576)
Disponibilidad Printer: 57 / 59  (0.96610169491525)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1785
Validaciones / Aperturas Ultima: 292 / 292  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	15		15		-0		0
 10.40.1.101	6		6		-0		0
 10.40.1.102	12		12		-0		0
 10.40.1.103	6		6		-0		0
 10.40.1.104	6		6		-0		0
 10.40.1.105	3		3		-0		0
 10.40.1.106	4		4		-0		0
 10.40.1.107	6		6		-0		0
 10.40.1.108	9		9		-0		0
 10.40.1.109	6		6		-0		0
 10.40.1.110	8		8		-0		0
 10.40.1.111	15		15		-0		0
 10.40.1.112	13		13		-0		0
 10.40.1.113	17		17		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	9		9		-0		0
 10.40.11.100	1		1		-0		0
 10.40.11.101	6		6		-0		0
 10.40.11.102	6		6		-0		0
 10.40.12.100	0		0		-0		0
 10.40.12.101	0		0		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	1		1		-0		0
 10.40.13.101	11		11		-0		0
 10.40.13.102	10		10		-0		0
 10.40.13.103	18		18		-0		0
 10.40.13.104	26		26		-0		0
 10.40.13.105	17		17		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	5		5		-0		0
 10.40.22.101	8		8		-0		0
 10.40.22.102	6		6		-0		0
 10.40.22.103	3		3		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	2		2		-0		0
 10.40.30.101	0		0		-0		0
 10.40.4.100	0		0		-0		0
