+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 10/08/2015 10:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-10 10:00:12
Numero BTs: 109
Disponibilidad MUEBLE: 1259026 / 1285392  (0.97948796942878)
Disponibilidad PUERTAS: 1273517 / 1285008  (0.9910576432209)
Disponibilidad FOTOCELULA: 1279423 / 1285008  (0.99565372355658)
Disponibilidad VARIADOR: 1282466 / 1285008  (0.9980218021989)
Disponibilidad LECTOR_QR_ENTRADA: 1282549 / 1283500  (0.99925905726529)
Disponibilidad LECTOR_QR_SALIDA: 1282549 / 1283500  (0.99925905726529)
Disponibilidad VTSC_ENTRADA: 1284101 / 1285394  (0.99899408274817)
Disponibilidad VTSC_SALIDA: 1284105 / 1285394  (0.99899719463449)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 6380 / 6509  (0.98018128744815)
Disponibilidad PUERTAS: 6451 / 6509  (0.9910892610232)
Disponibilidad FOTOCELULA: 6445 / 6509  (0.99016746043939)
Disponibilidad VARIADOR: 6509 / 6509  (1)
Disponibilidad LECTOR_QR_ENTRADA: 6509 / 6509  (1)
Disponibilidad LECTOR_QR_SALIDA: 6509 / 6509  (1)
Disponibilidad VTSC_ENTRADA: 6509 / 6509  (1)
Disponibilidad VTSC_SALIDA: 6508 / 6509  (0.99984636656937)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-10 10:01:15
Numero MAVs: 59
Disponibilidad MAVs: 2503810 / 2584150  (0.96891047346323)
Disponibilidad PaySystem: 2499028 / 2579262  (0.96889265223928)
Disponibilidad Printer: 2546104 / 2579262  (0.9871443847116)
Disponibilidad RFID: 2568723 / 2584150  (0.9940301453089)
Disponibilidad PLC: 2579367 / 2584150  (0.99814910125186)
Disponibilidad Conexion: 2584150 / 2653300  (0.97393811480044)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 54 / 59  (0.91525423728814)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 58 / 59  (0.98305084745763)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1820
Validaciones / Aperturas Ultima: 849 / 850  (-0.0011778563015312)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	49		49		-0		0
 10.40.1.101	49		49		-0		0
 10.40.1.102	35		35		-0		0
 10.40.1.103	32		32		-0		0
 10.40.1.104	26		26		-0		0
 10.40.1.105	40		40		-0		0
 10.40.1.106	23		23		-0		0
 10.40.1.107	10		10		-0		0
 10.40.1.108	31		31		-0		0
 10.40.1.109	28		28		-0		0
 10.40.1.110	27		27		-0		0
 10.40.1.111	53		53		-0		0
 10.40.1.112	58		59		-0		-0.017241379310345
 10.40.1.113	47		47		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	27		27		-0		0
 10.40.11.100	6		6		-0		0
 10.40.11.101	28		28		-0		0
 10.40.11.102	5		5		-0		0
 10.40.12.100	0		0		-0		0
 10.40.12.101	0		0		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	6		6		-0		0
 10.40.13.101	11		11		-0		0
 10.40.13.102	12		12		-0		0
 10.40.13.103	71		71		-0		0
 10.40.13.104	64		64		-0		0
 10.40.13.105	33		33		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	1		1		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	8		8		-0		0
 10.40.22.101	5		5		-0		0
 10.40.22.102	7		7		-0		0
 10.40.22.103	11		11		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	4		4		-0		0
 10.40.26.103	6		6		-0		0
 10.40.27.100	2		2		-0		0
 10.40.27.101	2		2		-0		0
 10.40.27.102	3		3		-0		0
 10.40.27.103	1		1		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	5		5		-0		0
 10.40.30.101	4		4		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
