+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 12/08/2015 09:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-12 09:00:17
Numero BTs: 109
Disponibilidad MUEBLE: 1288924 / 1315536  (0.97977098308218)
Disponibilidad PUERTAS: 1303659 / 1315150  (0.9912625936205)
Disponibilidad FOTOCELULA: 1309472 / 1315150  (0.99568262175417)
Disponibilidad VARIADOR: 1312608 / 1315150  (0.99806714063035)
Disponibilidad LECTOR_QR_ENTRADA: 1312691 / 1313642  (0.99927605846951)
Disponibilidad LECTOR_QR_SALIDA: 1312691 / 1313642  (0.99927605846951)
Disponibilidad VTSC_ENTRADA: 1314241 / 1315536  (0.99901561036718)
Disponibilidad VTSC_SALIDA: 1314106 / 1315536  (0.99891299059851)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 5821 / 5870  (0.99165247018739)
Disponibilidad PUERTAS: 5870 / 5870  (1)
Disponibilidad FOTOCELULA: 5868 / 5870  (0.99965928449744)
Disponibilidad VARIADOR: 5870 / 5870  (1)
Disponibilidad LECTOR_QR_ENTRADA: 5870 / 5870  (1)
Disponibilidad LECTOR_QR_SALIDA: 5870 / 5870  (1)
Disponibilidad VTSC_ENTRADA: 5870 / 5870  (1)
Disponibilidad VTSC_SALIDA: 5815 / 5870  (0.99063032367973)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 108 / 109  (0.99082568807339)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-12 09:01:14
Numero MAVs: 59
Disponibilidad MAVs: 2565739 / 2649558  (0.96836491218535)
Disponibilidad PaySystem: 2560957 / 2644670  (0.96834652338477)
Disponibilidad Printer: 2610109 / 2644670  (0.98693182892384)
Disponibilidad RFID: 2632929 / 2649558  (0.9937238588474)
Disponibilidad PLC: 2644763 / 2649558  (0.99819026418746)
Disponibilidad Conexion: 2649558 / 2719839  (0.97415986755098)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 57 / 59  (0.96610169491525)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1867
Validaciones / Aperturas Ultima: 1122 / 1122  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	67		67		-0		0
 10.40.1.101	60		60		-0		0
 10.40.1.102	52		52		-0		0
 10.40.1.103	51		51		-0		0
 10.40.1.104	42		42		-0		0
 10.40.1.105	43		43		-0		0
 10.40.1.106	26		26		-0		0
 10.40.1.107	29		29		-0		0
 10.40.1.108	51		51		-0		0
 10.40.1.109	44		44		-0		0
 10.40.1.110	45		45		-0		0
 10.40.1.111	26		26		-0		0
 10.40.1.112	82		82		-0		0
 10.40.1.113	75		75		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	20		20		-0		0
 10.40.11.100	3		3		-0		0
 10.40.11.101	37		37		-0		0
 10.40.11.102	14		14		-0		0
 10.40.12.100	0		0		-0		0
 10.40.12.101	0		0		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	7		7		-0		0
 10.40.13.101	9		9		-0		0
 10.40.13.102	29		29		-0		0
 10.40.13.103	58		58		-0		0
 10.40.13.104	78		78		-0		0
 10.40.13.105	38		38		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	2		2		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	20		20		-0		0
 10.40.22.101	15		15		-0		0
 10.40.22.102	8		8		-0		0
 10.40.22.103	6		6		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	2		2		-0		0
 10.40.26.101	3		3		-0		0
 10.40.26.102	13		13		-0		0
 10.40.26.103	19		19		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	5		5		-0		0
 10.40.27.103	7		7		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	5		5		-0		0
 10.40.30.101	2		2		-0		0
 10.40.4.100	1		1		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	1		1		-0		0
