+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 14/08/2015 17:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-14 17:00:16
Numero BTs: 109
Disponibilidad MUEBLE: 1324360 / 1351453  (0.97995268795881)
Disponibilidad PUERTAS: 1339457 / 1351067  (0.99140679181713)
Disponibilidad FOTOCELULA: 1345290 / 1351067  (0.99572412026939)
Disponibilidad VARIADOR: 1348525 / 1351067  (0.99811852409984)
Disponibilidad LECTOR_QR_ENTRADA: 1348608 / 1349559  (0.99929532536184)
Disponibilidad LECTOR_QR_SALIDA: 1348608 / 1349559  (0.99929532536184)
Disponibilidad VTSC_ENTRADA: 1350156 / 1351453  (0.99904029218922)
Disponibilidad VTSC_SALIDA: 1350022 / 1351453  (0.99894113964748)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 10805 / 11006  (0.98173723423587)
Disponibilidad PUERTAS: 10955 / 11006  (0.99536616391059)
Disponibilidad FOTOCELULA: 10954 / 11006  (0.99527530437943)
Disponibilidad VARIADOR: 11006 / 11006  (1)
Disponibilidad LECTOR_QR_ENTRADA: 11006 / 11006  (1)
Disponibilidad LECTOR_QR_SALIDA: 11006 / 11006  (1)
Disponibilidad VTSC_ENTRADA: 11006 / 11006  (1)
Disponibilidad VTSC_SALIDA: 11006 / 11006  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-14 17:01:16
Numero MAVs: 59
Disponibilidad MAVs: 2639947 / 2727451  (0.96791729713934)
Disponibilidad PaySystem: 2635165 / 2722563  (0.96789863081222)
Disponibilidad Printer: 2686476 / 2722563  (0.98674521030367)
Disponibilidad RFID: 2709476 / 2727451  (0.99340959745931)
Disponibilidad PLC: 2722656 / 2727451  (0.99824194825132)
Disponibilidad Conexion: 2727451 / 2799135  (0.97439065997174)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1923
Validaciones / Aperturas Ultima: 869 / 869  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	47		47		-0		0
 10.40.1.101	32		32		-0		0
 10.40.1.102	29		29		-0		0
 10.40.1.103	23		23		-0		0
 10.40.1.104	20		20		-0		0
 10.40.1.105	34		34		-0		0
 10.40.1.106	21		21		-0		0
 10.40.1.107	25		25		-0		0
 10.40.1.108	81		81		-0		0
 10.40.1.109	59		59		-0		0
 10.40.1.110	50		50		-0		0
 10.40.1.111	23		23		-0		0
 10.40.1.112	50		50		-0		0
 10.40.1.113	51		51		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	7		7		-0		0
 10.40.11.100	5		5		-0		0
 10.40.11.101	31		31		-0		0
 10.40.11.102	17		17		-0		0
 10.40.12.100	0		0		-0		0
 10.40.12.101	0		0		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	12		12		-0		0
 10.40.13.101	14		14		-0		0
 10.40.13.102	15		15		-0		0
 10.40.13.103	28		28		-0		0
 10.40.13.104	58		58		-0		0
 10.40.13.105	42		42		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	1		1		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	13		13		-0		0
 10.40.22.101	3		3		-0		0
 10.40.22.102	4		4		-0		0
 10.40.22.103	1		1		-0		0
 10.40.23.100	1		1		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	1		1		-0		0
 10.40.26.101	1		1		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	1		1		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	5		5		-0		0
 10.40.30.101	3		3		-0		0
 10.40.4.100	0		0		-0		0
