+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 16/08/2015 15:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-16 15:00:16
Numero BTs: 109
Disponibilidad MUEBLE: 1352485 / 1380071  (0.98001117333818)
Disponibilidad PUERTAS: 1367918 / 1379698  (0.99146189963311)
Disponibilidad FOTOCELULA: 1373648 / 1379698  (0.99561498240919)
Disponibilidad VARIADOR: 1377127 / 1379698  (0.99813654872298)
Disponibilidad LECTOR_QR_ENTRADA: 1377239 / 1378190  (0.99930996451868)
Disponibilidad LECTOR_QR_SALIDA: 1377239 / 1378190  (0.99930996451868)
Disponibilidad VTSC_ENTRADA: 1378786 / 1380084  (0.99905947753905)
Disponibilidad VTSC_SALIDA: 1378651 / 1380084  (0.99896165740636)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 9158 / 9356  (0.97883710987602)
Disponibilidad PUERTAS: 9265 / 9356  (0.99027362120564)
Disponibilidad FOTOCELULA: 9259 / 9356  (0.98963232150492)
Disponibilidad VARIADOR: 9356 / 9356  (1)
Disponibilidad LECTOR_QR_ENTRADA: 9356 / 9356  (1)
Disponibilidad LECTOR_QR_SALIDA: 9356 / 9356  (1)
Disponibilidad VTSC_ENTRADA: 9356 / 9356  (1)
Disponibilidad VTSC_SALIDA: 9355 / 9356  (0.99989311671655)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-16 15:01:23
Numero MAVs: 59
Disponibilidad MAVs: 2698987 / 2789759  (0.96746242238129)
Disponibilidad PaySystem: 2694205 / 2784871  (0.96744337529458)
Disponibilidad Printer: 2747867 / 2784871  (0.98671249045288)
Disponibilidad RFID: 2770680 / 2789759  (0.9931610579982)
Disponibilidad PLC: 2784964 / 2789759  (0.99828121353852)
Disponibilidad Conexion: 2789759 / 2864271  (0.97398570177193)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 56 / 59  (0.94915254237288)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1969
Validaciones / Aperturas Ultima: 311 / 312  (-0.0032154340836013)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	27		27		-0		0
 10.40.1.101	16		16		-0		0
 10.40.1.102	16		16		-0		0
 10.40.1.103	17		17		-0		0
 10.40.1.104	4		4		-0		0
 10.40.1.105	10		10		-0		0
 10.40.1.106	13		13		-0		0
 10.40.1.107	12		12		-0		0
 10.40.1.108	25		26		-0		-0.04
 10.40.1.109	17		17		-0		0
 10.40.1.110	10		10		-0		0
 10.40.1.111	15		15		-0		0
 10.40.1.112	0		0		-0		0
 10.40.1.113	25		25		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	0		0		-0		0
 10.40.11.100	0		0		-0		0
 10.40.11.101	2		2		-0		0
 10.40.11.102	0		0		-0		0
 10.40.12.100	0		0		-0		0
 10.40.12.101	0		0		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	0		0		-0		0
 10.40.13.101	5		5		-0		0
 10.40.13.102	4		4		-0		0
 10.40.13.103	11		11		-0		0
 10.40.13.104	16		16		-0		0
 10.40.13.105	15		15		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	3		3		-0		0
 10.40.18.101	3		3		-0		0
 10.40.18.102	2		2		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	7		7		-0		0
 10.40.22.101	7		7		-0		0
 10.40.22.102	1		1		-0		0
 10.40.22.103	3		3		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	0		0		-0		0
 10.40.30.101	0		0		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
