+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 16/08/2015 19:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-16 19:00:15
Numero BTs: 109
Disponibilidad MUEBLE: 1354910 / 1382543  (0.98001291822388)
Disponibilidad PUERTAS: 1370366 / 1382170  (0.9914598059573)
Disponibilidad FOTOCELULA: 1376099 / 1382170  (0.99560763147804)
Disponibilidad VARIADOR: 1379599 / 1382170  (0.9981398814907)
Disponibilidad LECTOR_QR_ENTRADA: 1379711 / 1380662  (0.99931119998957)
Disponibilidad LECTOR_QR_SALIDA: 1379711 / 1380662  (0.99931119998957)
Disponibilidad VTSC_ENTRADA: 1381258 / 1382556  (0.99906115918632)
Disponibilidad VTSC_SALIDA: 1381123 / 1382556  (0.99896351395531)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 11585 / 11828  (0.97945552925262)
Disponibilidad PUERTAS: 11713 / 11828  (0.99027730808252)
Disponibilidad FOTOCELULA: 11710 / 11828  (0.99002367264119)
Disponibilidad VARIADOR: 11828 / 11828  (1)
Disponibilidad LECTOR_QR_ENTRADA: 11828 / 11828  (1)
Disponibilidad LECTOR_QR_SALIDA: 11828 / 11828  (1)
Disponibilidad VTSC_ENTRADA: 11828 / 11828  (1)
Disponibilidad VTSC_SALIDA: 11827 / 11828  (0.99991545485289)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-16 19:01:25
Numero MAVs: 59
Disponibilidad MAVs: 2704071 / 2795134  (0.96742088214733)
Disponibilidad PaySystem: 2699289 / 2790246  (0.96740179898117)
Disponibilidad Printer: 2753222 / 2790246  (0.98673091906592)
Disponibilidad RFID: 2775959 / 2795134  (0.99313986377755)
Disponibilidad PLC: 2790339 / 2795134  (0.99828451873864)
Disponibilidad Conexion: 2795134 / 2869935  (0.97393634350604)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 57 / 59  (0.96610169491525)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1973
Validaciones / Aperturas Ultima: 403 / 403  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	37		37		-0		0
 10.40.1.101	29		29		-0		0
 10.40.1.102	13		13		-0		0
 10.40.1.103	12		12		-0		0
 10.40.1.104	6		6		-0		0
 10.40.1.105	10		10		-0		0
 10.40.1.106	2		2		-0		0
 10.40.1.107	21		21		-0		0
 10.40.1.108	33		33		-0		0
 10.40.1.109	24		24		-0		0
 10.40.1.110	22		22		-0		0
 10.40.1.111	16		16		-0		0
 10.40.1.112	4		4		-0		0
 10.40.1.113	15		15		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	2		2		-0		0
 10.40.11.100	2		2		-0		0
 10.40.11.101	4		4		-0		0
 10.40.11.102	0		0		-0		0
 10.40.12.100	0		0		-0		0
 10.40.12.101	0		0		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	1		1		-0		0
 10.40.13.101	8		8		-0		0
 10.40.13.102	9		9		-0		0
 10.40.13.103	17		17		-0		0
 10.40.13.104	33		33		-0		0
 10.40.13.105	19		19		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	2		2		-0		0
 10.40.18.101	3		3		-0		0
 10.40.18.102	3		3		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	1		1		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	7		7		-0		0
 10.40.22.101	5		5		-0		0
 10.40.22.102	1		1		-0		0
 10.40.22.103	2		2		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	3		3		-0		0
 10.40.30.101	1		1		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
