+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 16/08/2015 22:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-16 22:00:16
Numero BTs: 109
Disponibilidad MUEBLE: 1356749 / 1384397  (0.98002885010586)
Disponibilidad PUERTAS: 1372202 / 1384024  (0.99145824060854)
Disponibilidad FOTOCELULA: 1377951 / 1384024  (0.99561207031092)
Disponibilidad VARIADOR: 1381453 / 1384024  (0.99814237325364)
Disponibilidad LECTOR_QR_ENTRADA: 1381565 / 1382516  (0.99931212369332)
Disponibilidad LECTOR_QR_SALIDA: 1381565 / 1382516  (0.99931212369332)
Disponibilidad VTSC_ENTRADA: 1383112 / 1384410  (0.99906241648067)
Disponibilidad VTSC_SALIDA: 1382977 / 1384410  (0.99896490201602)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 13418 / 13682  (0.98070457535448)
Disponibilidad PUERTAS: 13549 / 13682  (0.99027919894752)
Disponibilidad FOTOCELULA: 13562 / 13682  (0.99122935243385)
Disponibilidad VARIADOR: 13682 / 13682  (1)
Disponibilidad LECTOR_QR_ENTRADA: 13682 / 13682  (1)
Disponibilidad LECTOR_QR_SALIDA: 13682 / 13682  (1)
Disponibilidad VTSC_ENTRADA: 13682 / 13682  (1)
Disponibilidad VTSC_SALIDA: 13681 / 13682  (0.99992691127028)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-16 22:01:23
Numero MAVs: 59
Disponibilidad MAVs: 2707735 / 2799166  (0.96733634232482)
Disponibilidad PaySystem: 2702953 / 2794278  (0.9673171388101)
Disponibilidad Printer: 2757030 / 2794278  (0.98666990184942)
Disponibilidad RFID: 2779919 / 2799166  (0.99312402336982)
Disponibilidad PLC: 2794371 / 2799166  (0.99828698976767)
Disponibilidad Conexion: 2799166 / 2874183  (0.97389971341421)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 53 / 59  (0.89830508474576)
Disponibilidad Printer: 55 / 59  (0.93220338983051)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1976
Validaciones / Aperturas Ultima: 305 / 305  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	18		18		-0		0
 10.40.1.101	13		13		-0		0
 10.40.1.102	2		2		-0		0
 10.40.1.103	13		13		-0		0
 10.40.1.104	2		2		-0		0
 10.40.1.105	3		3		-0		0
 10.40.1.106	2		2		-0		0
 10.40.1.107	5		5		-0		0
 10.40.1.108	15		15		-0		0
 10.40.1.109	14		14		-0		0
 10.40.1.110	8		8		-0		0
 10.40.1.111	8		8		-0		0
 10.40.1.112	31		31		-0		0
 10.40.1.113	20		20		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	2		2		-0		0
 10.40.11.100	0		0		-0		0
 10.40.11.101	5		5		-0		0
 10.40.11.102	0		0		-0		0
 10.40.12.100	0		0		-0		0
 10.40.12.101	0		0		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	5		5		-0		0
 10.40.13.101	7		7		-0		0
 10.40.13.102	9		9		-0		0
 10.40.13.103	12		12		-0		0
 10.40.13.104	26		26		-0		0
 10.40.13.105	20		20		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	1		1		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	2		2		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	1		1		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	1		1		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	4		4		-0		0
 10.40.22.101	7		7		-0		0
 10.40.22.102	0		0		-0		0
 10.40.22.103	3		3		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	1		1		-0		0
 10.40.30.101	0		0		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
