+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 17/08/2015 11:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-17 11:00:15
Numero BTs: 109
Disponibilidad MUEBLE: 1364769 / 1392519  (0.98007208519237)
Disponibilidad PUERTAS: 1380247 / 1392133  (0.99146202266594)
Disponibilidad FOTOCELULA: 1386059 / 1392133  (0.99563691112846)
Disponibilidad VARIADOR: 1389562 / 1392133  (0.99815319369629)
Disponibilidad LECTOR_QR_ENTRADA: 1389674 / 1390625  (0.99931613483146)
Disponibilidad LECTOR_QR_SALIDA: 1389674 / 1390625  (0.99931613483146)
Disponibilidad VTSC_ENTRADA: 1391220 / 1392519  (0.99906715815009)
Disponibilidad VTSC_SALIDA: 1391086 / 1392519  (0.99897092966056)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 6891 / 6976  (0.98781536697248)
Disponibilidad PUERTAS: 6923 / 6976  (0.99240252293578)
Disponibilidad FOTOCELULA: 6975 / 6976  (0.99985665137615)
Disponibilidad VARIADOR: 6976 / 6976  (1)
Disponibilidad LECTOR_QR_ENTRADA: 6976 / 6976  (1)
Disponibilidad LECTOR_QR_SALIDA: 6976 / 6976  (1)
Disponibilidad VTSC_ENTRADA: 6975 / 6976  (0.99985665137615)
Disponibilidad VTSC_SALIDA: 6976 / 6976  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-17 11:01:15
Numero MAVs: 59
Disponibilidad MAVs: 2723665 / 2816820  (0.96692901924866)
Disponibilidad PaySystem: 2718883 / 2811932  (0.96690922824592)
Disponibilidad Printer: 2774165 / 2811932  (0.98656902087248)
Disponibilidad RFID: 2797017 / 2816820  (0.99296973182525)
Disponibilidad PLC: 2812025 / 2816820  (0.99829772580428)
Disponibilidad Conexion: 2816820 / 2892591  (0.97380514562895)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 54 / 59  (0.91525423728814)
Disponibilidad Printer: 57 / 59  (0.96610169491525)
Disponibilidad RFID: 57 / 59  (0.96610169491525)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1989
Validaciones / Aperturas Ultima: 807 / 807  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	69		69		-0		0
 10.40.1.101	44		44		-0		0
 10.40.1.102	39		39		-0		0
 10.40.1.103	26		26		-0		0
 10.40.1.104	32		32		-0		0
 10.40.1.105	30		30		-0		0
 10.40.1.106	27		27		-0		0
 10.40.1.107	21		21		-0		0
 10.40.1.108	46		46		-0		0
 10.40.1.109	36		36		-0		0
 10.40.1.110	26		26		-0		0
 10.40.1.111	14		14		-0		0
 10.40.1.112	55		55		-0		0
 10.40.1.113	60		60		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	8		8		-0		0
 10.40.11.100	2		2		-0		0
 10.40.11.101	21		21		-0		0
 10.40.11.102	6		6		-0		0
 10.40.12.100	0		0		-0		0
 10.40.12.101	0		0		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	4		4		-0		0
 10.40.13.101	15		15		-0		0
 10.40.13.102	18		18		-0		0
 10.40.13.103	57		57		-0		0
 10.40.13.104	58		58		-0		0
 10.40.13.105	37		37		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	9		9		-0		0
 10.40.22.101	1		1		-0		0
 10.40.22.102	0		0		-0		0
 10.40.22.103	1		1		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	1		1		-0		0
 10.40.26.101	2		2		-0		0
 10.40.26.102	4		4		-0		0
 10.40.26.103	1		1		-0		0
 10.40.27.100	3		3		-0		0
 10.40.27.101	4		4		-0		0
 10.40.27.102	3		3		-0		0
 10.40.27.103	2		2		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	3		3		-0		0
 10.40.30.101	0		0		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
