+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 18/08/2015 08:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-18 08:00:16
Numero BTs: 109
Disponibilidad MUEBLE: 1377849 / 1405883  (0.98005950708558)
Disponibilidad PUERTAS: 1393485 / 1405497  (0.99145355699799)
Disponibilidad FOTOCELULA: 1399390 / 1405497  (0.99565491779776)
Disponibilidad VARIADOR: 1402926 / 1405497  (0.99817075383299)
Disponibilidad LECTOR_QR_ENTRADA: 1403038 / 1403989  (0.99932264426573)
Disponibilidad LECTOR_QR_SALIDA: 1403038 / 1403989  (0.99932264426573)
Disponibilidad VTSC_ENTRADA: 1404584 / 1405883  (0.99907602552986)
Disponibilidad VTSC_SALIDA: 1404450 / 1405883  (0.9989807117662)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 5076 / 5181  (0.97973364215402)
Disponibilidad PUERTAS: 5132 / 5181  (0.99054236633854)
Disponibilidad FOTOCELULA: 5174 / 5181  (0.99864890947693)
Disponibilidad VARIADOR: 5181 / 5181  (1)
Disponibilidad LECTOR_QR_ENTRADA: 5181 / 5181  (1)
Disponibilidad LECTOR_QR_SALIDA: 5181 / 5181  (1)
Disponibilidad VTSC_ENTRADA: 5181 / 5181  (1)
Disponibilidad VTSC_SALIDA: 5181 / 5181  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 106 / 109  (0.97247706422018)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-18 08:01:15
Numero MAVs: 59
Disponibilidad MAVs: 2750541 / 2846051  (0.96644121978137)
Disponibilidad PaySystem: 2745759 / 2841163  (0.96642079317519)
Disponibilidad Printer: 2802429 / 2841163  (0.98636685047637)
Disponibilidad RFID: 2825416 / 2846051  (0.99274960287078)
Disponibilidad PLC: 2841256 / 2846051  (0.99831520939013)
Disponibilidad Conexion: 2846051 / 2922327  (0.97389888263702)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 54 / 59  (0.91525423728814)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 56 / 59  (0.94915254237288)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2010
Validaciones / Aperturas Ultima: 1045 / 1044  (0.00095693779904306)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	63		63		-0		0
 10.40.1.101	58		58		-0		0
 10.40.1.102	48		48		-0		0
 10.40.1.103	31		31		-0		0
 10.40.1.104	44		44		-0		0
 10.40.1.105	41		41		-0		0
 10.40.1.106	27		27		-0		0
 10.40.1.107	35		35		-0		0
 10.40.1.108	40		40		-0		0
 10.40.1.109	51		51		-0		0
 10.40.1.110	35		35		-0		0
 10.40.1.111	17		17		-0		0
 10.40.1.112	63		63		-0		0
 10.40.1.113	78		78		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	27		27		-0		0
 10.40.11.100	3		3		-0		0
 10.40.11.101	23		23		-0		0
 10.40.11.102	0		0		-0		0
 10.40.12.100	0		0		-0		0
 10.40.12.101	0		0		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	4		4		-0		0
 10.40.13.101	12		12		-0		0
 10.40.13.102	28		28		-0		0
 10.40.13.103	85		85		-0		0
 10.40.13.104	79		79		-0		0
 10.40.13.105	50		50		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	22		22		-0		0
 10.40.22.101	20		20		-0		0
 10.40.22.102	3		2		-0		0.33333333333333
 10.40.22.103	6		6		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	1		1		-0		0
 10.40.26.102	10		10		-0		0
 10.40.26.103	12		12		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	7		7		-0		0
 10.40.27.103	3		3		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	0		0		-0		0
 10.40.30.101	3		3		-0		0
 10.40.4.100	1		1		-0		0
 10.40.4.101	0		0		-0		0
