+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 18/08/2015 18:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-18 18:00:15
Numero BTs: 109
Disponibilidad MUEBLE: 1384122 / 1412240  (0.98008978643857)
Disponibilidad PUERTAS: 1399782 / 1411854  (0.99144954081654)
Disponibilidad FOTOCELULA: 1405738 / 1411854  (0.99566810732555)
Disponibilidad VARIADOR: 1409283 / 1411854  (0.99817899017887)
Disponibilidad LECTOR_QR_ENTRADA: 1409395 / 1410346  (0.99932569738206)
Disponibilidad LECTOR_QR_SALIDA: 1409395 / 1410346  (0.99932569738206)
Disponibilidad VTSC_ENTRADA: 1410940 / 1412240  (0.99907947657622)
Disponibilidad VTSC_SALIDA: 1410806 / 1412240  (0.99898459185408)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 11349 / 11538  (0.98361934477379)
Disponibilidad PUERTAS: 11429 / 11538  (0.99055295545155)
Disponibilidad FOTOCELULA: 11522 / 11538  (0.99861327786445)
Disponibilidad VARIADOR: 11538 / 11538  (1)
Disponibilidad LECTOR_QR_ENTRADA: 11538 / 11538  (1)
Disponibilidad LECTOR_QR_SALIDA: 11538 / 11538  (1)
Disponibilidad VTSC_ENTRADA: 11537 / 11538  (0.99991332986653)
Disponibilidad VTSC_SALIDA: 11537 / 11538  (0.99991332986653)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-18 18:01:14
Numero MAVs: 59
Disponibilidad MAVs: 2763303 / 2859968  (0.96620067077674)
Disponibilidad PaySystem: 2758521 / 2855080  (0.96617993191084)
Disponibilidad Printer: 2816093 / 2855080  (0.98634469086681)
Disponibilidad RFID: 2839046 / 2859968  (0.99268453353324)
Disponibilidad PLC: 2855173 / 2859968  (0.99832340781435)
Disponibilidad Conexion: 2859977 / 2936496  (0.97394207245642)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 54 / 59  (0.91525423728814)
Disponibilidad Printer: 57 / 59  (0.96610169491525)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2020
Validaciones / Aperturas Ultima: 916 / 917  (-0.0010917030567686)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	55		55		-0		0
 10.40.1.101	33		33		-0		0
 10.40.1.102	32		32		-0		0
 10.40.1.103	30		30		-0		0
 10.40.1.104	31		31		-0		0
 10.40.1.105	24		24		-0		0
 10.40.1.106	21		21		-0		0
 10.40.1.107	27		27		-0		0
 10.40.1.108	71		71		-0		0
 10.40.1.109	59		59		-0		0
 10.40.1.110	43		43		-0		0
 10.40.1.111	42		42		-0		0
 10.40.1.112	65		65		-0		0
 10.40.1.113	43		43		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	11		11		-0		0
 10.40.11.100	2		2		-0		0
 10.40.11.101	23		23		-0		0
 10.40.11.102	0		0		-0		0
 10.40.12.100	0		0		-0		0
 10.40.12.101	0		0		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	3		3		-0		0
 10.40.13.101	11		11		-0		0
 10.40.13.102	24		24		-0		0
 10.40.13.103	33		33		-0		0
 10.40.13.104	51		51		-0		0
 10.40.13.105	33		33		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	4		4		-0		0
 10.40.18.101	0		1		-0		
 10.40.18.102	2		2		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	14		14		-0		0
 10.40.22.101	4		4		-0		0
 10.40.22.102	1		1		-0		0
 10.40.22.103	4		4		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	9		9		-0		0
 10.40.26.101	3		3		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	3		3		-0		0
 10.40.27.100	2		2		-0		0
 10.40.27.101	3		3		-0		0
 10.40.27.102	1		1		-0		0
 10.40.27.103	3		3		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	4		4		-0		0
 10.40.3.101	1		1		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	5		5		-0		0
 10.40.30.101	2		2		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	0		0		-0		0
