+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 18/08/2015 22:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-18 22:00:15
Numero BTs: 109
Disponibilidad MUEBLE: 1386623 / 1414784  (0.98009519474351)
Disponibilidad PUERTAS: 1402302 / 1414398  (0.99144795170808)
Disponibilidad FOTOCELULA: 1408277 / 1414398  (0.99567236379011)
Disponibilidad VARIADOR: 1411827 / 1414398  (0.99818226552922)
Disponibilidad LECTOR_QR_ENTRADA: 1411939 / 1412890  (0.99932691150762)
Disponibilidad LECTOR_QR_SALIDA: 1411939 / 1412890  (0.99932691150762)
Disponibilidad VTSC_ENTRADA: 1413484 / 1414784  (0.99908113181942)
Disponibilidad VTSC_SALIDA: 1413350 / 1414784  (0.99898641771465)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 13850 / 14082  (0.98352506746201)
Disponibilidad PUERTAS: 13949 / 14082  (0.99055531884675)
Disponibilidad FOTOCELULA: 14061 / 14082  (0.99850873455475)
Disponibilidad VARIADOR: 14082 / 14082  (1)
Disponibilidad LECTOR_QR_ENTRADA: 14082 / 14082  (1)
Disponibilidad LECTOR_QR_SALIDA: 14082 / 14082  (1)
Disponibilidad VTSC_ENTRADA: 14081 / 14082  (0.99992898735975)
Disponibilidad VTSC_SALIDA: 14081 / 14082  (0.99992898735975)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-18 22:01:12
Numero MAVs: 59
Disponibilidad MAVs: 2768419 / 2865536  (0.96610860934918)
Disponibilidad PaySystem: 2763637 / 2860648  (0.96608775354395)
Disponibilidad Printer: 2821438 / 2860648  (0.98629331536072)
Disponibilidad RFID: 2844518 / 2865536  (0.99266524657167)
Disponibilidad PLC: 2860741 / 2865536  (0.99832666558717)
Disponibilidad Conexion: 2865547 / 2942163  (0.97395929457341)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 54 / 59  (0.91525423728814)
Disponibilidad Printer: 55 / 59  (0.93220338983051)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2024
Validaciones / Aperturas Ultima: 427 / 427  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	17		17		-0		0
 10.40.1.101	11		11		-0		0
 10.40.1.102	11		11		-0		0
 10.40.1.103	7		7		-0		0
 10.40.1.104	8		8		-0		0
 10.40.1.105	4		4		-0		0
 10.40.1.106	1		1		-0		0
 10.40.1.107	10		10		-0		0
 10.40.1.108	34		34		-0		0
 10.40.1.109	25		25		-0		0
 10.40.1.110	21		21		-0		0
 10.40.1.111	20		20		-0		0
 10.40.1.112	27		27		-0		0
 10.40.1.113	33		33		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	6		6		-0		0
 10.40.11.100	0		0		-0		0
 10.40.11.101	6		6		-0		0
 10.40.11.102	0		0		-0		0
 10.40.12.100	0		0		-0		0
 10.40.12.101	0		0		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	8		8		-0		0
 10.40.13.101	7		7		-0		0
 10.40.13.102	33		33		-0		0
 10.40.13.103	0		0		-0		0
 10.40.13.104	49		49		-0		0
 10.40.13.105	30		30		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	2		2		-0		0
 10.40.18.101	3		3		-0		0
 10.40.18.102	3		3		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	7		7		-0		0
 10.40.22.101	4		4		-0		0
 10.40.22.102	4		4		-0		0
 10.40.22.103	2		2		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	1		1		-0		0
 10.40.30.101	4		4		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
