+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 19/08/2015 18:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-19 18:00:10
Numero BTs: 109
Disponibilidad MUEBLE: 1399105 / 1427467  (0.98013123946123)
Disponibilidad PUERTAS: 1414910 / 1427090  (0.99146514935989)
Disponibilidad FOTOCELULA: 1420910 / 1427090  (0.99566950928112)
Disponibilidad VARIADOR: 1424509 / 1427090  (0.99819142450721)
Disponibilidad LECTOR_QR_ENTRADA: 1424631 / 1425582  (0.99933290403498)
Disponibilidad LECTOR_QR_SALIDA: 1424631 / 1425582  (0.99933290403498)
Disponibilidad VTSC_ENTRADA: 1426176 / 1427476  (0.99908930167653)
Disponibilidad VTSC_SALIDA: 1426041 / 1427476  (0.99899472915832)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 11342 / 11526  (0.98403609231303)
Disponibilidad PUERTAS: 11453 / 11526  (0.99366649314593)
Disponibilidad FOTOCELULA: 11471 / 11526  (0.99522817976748)
Disponibilidad VARIADOR: 11516 / 11526  (0.99913239632136)
Disponibilidad LECTOR_QR_ENTRADA: 11526 / 11526  (1)
Disponibilidad LECTOR_QR_SALIDA: 11526 / 11526  (1)
Disponibilidad VTSC_ENTRADA: 11526 / 11526  (1)
Disponibilidad VTSC_SALIDA: 11525 / 11526  (0.99991323963214)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-19 18:00:56
Numero MAVs: 59
Disponibilidad MAVs: 2794793 / 2893375  (0.96592837084719)
Disponibilidad PaySystem: 2790011 / 2888487  (0.96590741104253)
Disponibilidad Printer: 2848789 / 2888487  (0.9862564726793)
Disponibilidad RFID: 2871877 / 2893375  (0.99256992266816)
Disponibilidad PLC: 2888580 / 2893375  (0.99834276580118)
Disponibilidad Conexion: 2893375 / 2970471  (0.97404586680025)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 56 / 59  (0.94915254237288)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2044
Validaciones / Aperturas Ultima: 944 / 944  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	49		49		-0		0
 10.40.1.101	34		34		-0		0
 10.40.1.102	38		38		-0		0
 10.40.1.103	38		38		-0		0
 10.40.1.104	23		23		-0		0
 10.40.1.105	16		16		-0		0
 10.40.1.106	11		11		-0		0
 10.40.1.107	10		10		-0		0
 10.40.1.108	89		89		-0		0
 10.40.1.109	44		44		-0		0
 10.40.1.110	37		37		-0		0
 10.40.1.111	23		23		-0		0
 10.40.1.112	52		52		-0		0
 10.40.1.113	34		34		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	7		7		-0		0
 10.40.11.100	4		4		-0		0
 10.40.11.101	30		30		-0		0
 10.40.11.102	14		14		-0		0
 10.40.12.100	0		0		-0		0
 10.40.12.101	1		1		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	12		12		-0		0
 10.40.13.101	10		10		-0		0
 10.40.13.102	17		17		-0		0
 10.40.13.103	45		45		-0		0
 10.40.13.104	63		63		-0		0
 10.40.13.105	52		52		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	3		3		-0		0
 10.40.18.101	3		3		-0		0
 10.40.18.102	1		1		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	17		17		-0		0
 10.40.22.101	8		8		-0		0
 10.40.22.102	7		7		-0		0
 10.40.22.103	5		5		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	8		8		-0		0
 10.40.26.101	2		2		-0		0
 10.40.26.102	3		3		-0		0
 10.40.26.103	3		3		-0		0
 10.40.27.100	1		1		-0		0
 10.40.27.101	3		3		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	2		2		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	2		2		-0		0
 10.40.30.101	4		4		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
