+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 26/08/2015 16:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-26 16:00:12
Numero BTs: 109
Disponibilidad MUEBLE: 1426785 / 1455380  (0.98035221041927)
Disponibilidad PUERTAS: 1442782 / 1454994  (0.99160683824126)
Disponibilidad FOTOCELULA: 1448722 / 1454994  (0.99568932930308)
Disponibilidad VARIADOR: 1452386 / 1454994  (0.99820755274592)
Disponibilidad LECTOR_QR_ENTRADA: 1452535 / 1453486  (0.9993457109322)
Disponibilidad LECTOR_QR_SALIDA: 1452535 / 1453486  (0.9993457109322)
Disponibilidad VTSC_ENTRADA: 1454077 / 1455380  (0.9991047011777)
Disponibilidad VTSC_SALIDA: 1453945 / 1455380  (0.99901400321566)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 2496 / 2540  (0.98267716535433)
Disponibilidad PUERTAS: 2508 / 2540  (0.98740157480315)
Disponibilidad FOTOCELULA: 2536 / 2540  (0.99842519685039)
Disponibilidad VARIADOR: 2513 / 2540  (0.98937007874016)
Disponibilidad LECTOR_QR_ENTRADA: 2540 / 2540  (1)
Disponibilidad LECTOR_QR_SALIDA: 2540 / 2540  (1)
Disponibilidad VTSC_ENTRADA: 2540 / 2540  (1)
Disponibilidad VTSC_SALIDA: 2540 / 2540  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 108 / 109  (0.99082568807339)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-26 16:05:31
Numero MAVs: 59
Disponibilidad MAVs: 2851554 / 2954426  (0.96518037683124)
Disponibilidad PaySystem: 2846792 / 2949560  (0.96515819308643)
Disponibilidad Printer: 2907600 / 2949568  (0.98577147568729)
Disponibilidad RFID: 2931588 / 2954456  (0.99225982718984)
Disponibilidad PLC: 2949617 / 2954456  (0.99836213502587)
Disponibilidad Conexion: 2954456 / 3032775  (0.97417579609434)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 57 / 59  (0.96610169491525)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2088
Validaciones / Aperturas Ultima: 1038 / 1038  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	68		68		-0		0
 10.40.1.101	50		50		-0		0
 10.40.1.102	36		36		-0		0
 10.40.1.103	27		27		-0		0
 10.40.1.104	30		30		-0		0
 10.40.1.105	23		23		-0		0
 10.40.1.106	15		15		-0		0
 10.40.1.107	0		0		-0		0
 10.40.1.108	68		68		-0		0
 10.40.1.109	61		61		-0		0
 10.40.1.110	74		74		-0		0
 10.40.1.111	56		56		-0		0
 10.40.1.112	72		72		-0		0
 10.40.1.113	66		66		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	20		20		-0		0
 10.40.11.100	8		8		-0		0
 10.40.11.101	24		24		-0		0
 10.40.11.102	0		0		-0		0
 10.40.12.100	13		14		-0		-0.076923076923077
 10.40.12.101	18		18		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	5		5		-0		0
 10.40.13.101	8		8		-0		0
 10.40.13.102	20		20		-0		0
 10.40.13.103	61		61		-0		0
 10.40.13.104	60		60		-0		0
 10.40.13.105	33		33		-0		0
 10.40.15.100	1		0		-0		1
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	2		2		-0		0
 10.40.18.101	6		6		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	9		9		-0		0
 10.40.22.101	4		4		-0		0
 10.40.22.102	5		5		-0		0
 10.40.22.103	3		3		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	1		1		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	6		6		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	2		2		-0		0
 10.40.26.103	1		1		-0		0
 10.40.27.100	1		1		-0		0
 10.40.27.101	2		2		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	6		6		-0		0
 10.40.30.101	4		4		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
