+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 28/08/2015 07:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-28 07:00:12
Numero BTs: 109
Disponibilidad MUEBLE: 1451001 / 1480307  (0.98020275523928)
Disponibilidad PUERTAS: 1467474 / 1479921  (0.99158941592153)
Disponibilidad FOTOCELULA: 1473433 / 1479921  (0.99561598220446)
Disponibilidad VARIADOR: 1477079 / 1479921  (0.99807962722334)
Disponibilidad LECTOR_QR_ENTRADA: 1477459 / 1478413  (0.9993547134664)
Disponibilidad LECTOR_QR_SALIDA: 1477459 / 1478413  (0.9993547134664)
Disponibilidad VTSC_ENTRADA: 1479000 / 1480307  (0.99911707503916)
Disponibilidad VTSC_SALIDA: 1478867 / 1480307  (0.99902722881132)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 4504 / 4594  (0.98040922942969)
Disponibilidad PUERTAS: 4550 / 4594  (0.9904222899434)
Disponibilidad FOTOCELULA: 4547 / 4594  (0.98976926425773)
Disponibilidad VARIADOR: 4550 / 4594  (0.9904222899434)
Disponibilidad LECTOR_QR_ENTRADA: 4593 / 4594  (0.99978232477144)
Disponibilidad LECTOR_QR_SALIDA: 4593 / 4594  (0.99978232477144)
Disponibilidad VTSC_ENTRADA: 4593 / 4594  (0.99978232477144)
Disponibilidad VTSC_SALIDA: 4592 / 4594  (0.99956464954288)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 108 / 109  (0.99082568807339)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-28 07:01:00
Numero MAVs: 59
Disponibilidad MAVs: 2903043 / 3008416  (0.96497392647825)
Disponibilidad PaySystem: 2898261 / 3003528  (0.96495221619376)
Disponibilidad Printer: 2961028 / 3003528  (0.98584997376419)
Disponibilidad RFID: 2984613 / 3008416  (0.99208786284875)
Disponibilidad PLC: 3003577 / 3008416  (0.99839151234404)
Disponibilidad Conexion: 3008416 / 3087881  (0.97426552383333)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2127
Validaciones / Aperturas Ultima: 382 / 380  (0.0052356020942408)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	16		16		-0		0
 10.40.1.101	11		11		-0		0
 10.40.1.102	6		6		-0		0
 10.40.1.103	8		8		-0		0
 10.40.1.104	3		3		-0		0
 10.40.1.105	1		1		-0		0
 10.40.1.106	0		0		-0		0
 10.40.1.107	8		8		-0		0
 10.40.1.108	17		17		-0		0
 10.40.1.109	21		21		-0		0
 10.40.1.110	16		16		-0		0
 10.40.1.111	0		0		-0		0
 10.40.1.112	6		6		-0		0
 10.40.1.113	26		26		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	12		12		-0		0
 10.40.11.100	2		2		-0		0
 10.40.11.101	17		17		-0		0
 10.40.11.102	0		0		-0		0
 10.40.12.100	11		11		-0		0
 10.40.12.101	9		7		-0		0.22222222222222
 10.40.12.102	0		0		-0		0
 10.40.13.100	2		2		-0		0
 10.40.13.101	2		2		-0		0
 10.40.13.102	10		10		-0		0
 10.40.13.103	64		64		-0		0
 10.40.13.104	38		38		-0		0
 10.40.13.105	24		24		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	10		10		-0		0
 10.40.22.101	6		6		-0		0
 10.40.22.102	3		3		-0		0
 10.40.22.103	7		7		-0		0
 10.40.23.100	1		1		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	4		4		-0		0
 10.40.26.103	4		4		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	1		1		-0		0
 10.40.30.101	3		3		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	0		0		-0		0
 10.40.5.100	0		0		-0		0
