+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 28/08/2015 15:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-28 15:00:12
Numero BTs: 109
Disponibilidad MUEBLE: 1456028 / 1485435  (0.98020310548762)
Disponibilidad PUERTAS: 1472549 / 1485049  (0.99158276932276)
Disponibilidad FOTOCELULA: 1478516 / 1485049  (0.99560081855885)
Disponibilidad VARIADOR: 1482162 / 1485049  (0.99805595640279)
Disponibilidad LECTOR_QR_ENTRADA: 1482587 / 1483541  (0.99935694396043)
Disponibilidad LECTOR_QR_SALIDA: 1482587 / 1483541  (0.99935694396043)
Disponibilidad VTSC_ENTRADA: 1484128 / 1485435  (0.99912012306159)
Disponibilidad VTSC_SALIDA: 1483994 / 1485435  (0.9990299137963)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 9531 / 9722  (0.98035383665912)
Disponibilidad PUERTAS: 9625 / 9722  (0.99002262908866)
Disponibilidad FOTOCELULA: 9630 / 9722  (0.99053692655832)
Disponibilidad VARIADOR: 9633 / 9722  (0.99084550504012)
Disponibilidad LECTOR_QR_ENTRADA: 9721 / 9722  (0.99989714050607)
Disponibilidad LECTOR_QR_SALIDA: 9721 / 9722  (0.99989714050607)
Disponibilidad VTSC_ENTRADA: 9721 / 9722  (0.99989714050607)
Disponibilidad VTSC_SALIDA: 9719 / 9722  (0.99969142151821)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-28 15:02:11
Numero MAVs: 59
Disponibilidad MAVs: 2913793 / 3019508  (0.96498932938744)
Disponibilidad PaySystem: 2909011 / 3014620  (0.96496772395858)
Disponibilidad Printer: 2971982 / 3014620  (0.98585626049054)
Disponibilidad RFID: 2995513 / 3019508  (0.99205334114034)
Disponibilidad PLC: 3014669 / 3019508  (0.9983974210368)
Disponibilidad Conexion: 3019508 / 3099209  (0.97428343812889)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2135
Validaciones / Aperturas Ultima: 827 / 825  (0.0024183796856106)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	59		59		-0		0
 10.40.1.101	31		32		-0		-0.032258064516129
 10.40.1.102	22		22		-0		0
 10.40.1.103	22		22		-0		0
 10.40.1.104	18		18		-0		0
 10.40.1.105	10		10		-0		0
 10.40.1.106	13		13		-0		0
 10.40.1.107	0		0		-0		0
 10.40.1.108	58		58		-0		0
 10.40.1.109	73		73		-0		0
 10.40.1.110	59		59		-0		0
 10.40.1.111	46		46		-0		0
 10.40.1.112	57		57		-0		0
 10.40.1.113	50		50		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	12		12		-0		0
 10.40.11.100	4		4		-0		0
 10.40.11.101	18		18		-0		0
 10.40.11.102	0		0		-0		0
 10.40.12.100	3		3		-0		0
 10.40.12.101	6		2		-0		0.66666666666667
 10.40.12.102	0		0		-0		0
 10.40.13.100	4		4		-0		0
 10.40.13.101	14		14		-0		0
 10.40.13.102	16		16		-0		0
 10.40.13.103	54		54		-0		0
 10.40.13.104	53		54		-0		-0.018867924528302
 10.40.13.105	31		31		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	13		13		-0		0
 10.40.22.101	8		8		-0		0
 10.40.22.102	6		6		-0		0
 10.40.22.103	1		1		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	13		13		-0		0
 10.40.26.101	4		4		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	1		1		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	1		1		-0		0
 10.40.27.103	1		1		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	1		1		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	2		2		-0		0
 10.40.30.101	4		4		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	4		4		-0		0
