+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 28/08/2015 18:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-28 18:00:12
Numero BTs: 109
Disponibilidad MUEBLE: 1457922 / 1487351  (0.98021381637556)
Disponibilidad PUERTAS: 1474462 / 1486972  (0.99158692967991)
Disponibilidad FOTOCELULA: 1480421 / 1486972  (0.99559440258458)
Disponibilidad VARIADOR: 1484085 / 1486972  (0.99805847050247)
Disponibilidad LECTOR_QR_ENTRADA: 1484510 / 1485464  (0.99935777642541)
Disponibilidad LECTOR_QR_SALIDA: 1484510 / 1485464  (0.99935777642541)
Disponibilidad VTSC_ENTRADA: 1486051 / 1487358  (0.99912126065144)
Disponibilidad VTSC_SALIDA: 1485917 / 1487358  (0.99903116801738)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 11425 / 11645  (0.98110777157578)
Disponibilidad PUERTAS: 11538 / 11645  (0.99081150708459)
Disponibilidad FOTOCELULA: 11535 / 11645  (0.99055388578789)
Disponibilidad VARIADOR: 11556 / 11645  (0.99235723486475)
Disponibilidad LECTOR_QR_ENTRADA: 11644 / 11645  (0.99991412623444)
Disponibilidad LECTOR_QR_SALIDA: 11644 / 11645  (0.99991412623444)
Disponibilidad VTSC_ENTRADA: 11644 / 11645  (0.99991412623444)
Disponibilidad VTSC_SALIDA: 11642 / 11645  (0.99974237870331)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-28 18:02:06
Numero MAVs: 59
Disponibilidad MAVs: 2917827 / 3023623  (0.96501018810877)
Disponibilidad PaySystem: 2913045 / 3018735  (0.96498864590632)
Disponibilidad Printer: 2976090 / 3018735  (0.98587322173029)
Disponibilidad RFID: 2999556 / 3023623  (0.99204034365395)
Disponibilidad PLC: 3018784 / 3023623  (0.99839960206679)
Disponibilidad Conexion: 3023623 / 3103457  (0.97427578342474)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2138
Validaciones / Aperturas Ultima: 850 / 852  (-0.0023529411764706)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	45		45		-0		0
 10.40.1.101	39		39		-0		0
 10.40.1.102	29		29		-0		0
 10.40.1.103	28		28		-0		0
 10.40.1.104	22		22		-0		0
 10.40.1.105	17		17		-0		0
 10.40.1.106	5		5		-0		0
 10.40.1.107	20		20		-0		0
 10.40.1.108	50		50		-0		0
 10.40.1.109	47		47		-0		0
 10.40.1.110	36		36		-0		0
 10.40.1.111	47		47		-0		0
 10.40.1.112	49		49		-0		0
 10.40.1.113	39		39		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	6		7		-0		-0.16666666666667
 10.40.11.100	6		6		-0		0
 10.40.11.101	33		33		-0		0
 10.40.11.102	17		17		-0		0
 10.40.12.100	7		7		-0		0
 10.40.12.101	15		16		-0		-0.066666666666667
 10.40.12.102	0		0		-0		0
 10.40.13.100	6		6		-0		0
 10.40.13.101	13		13		-0		0
 10.40.13.102	28		28		-0		0
 10.40.13.103	54		54		-0		0
 10.40.13.104	53		53		-0		0
 10.40.13.105	38		38		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	3		3		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	12		12		-0		0
 10.40.22.101	11		11		-0		0
 10.40.22.102	8		8		-0		0
 10.40.22.103	6		6		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	4		4		-0		0
 10.40.26.101	2		2		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	1		1		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	3		3		-0		0
 10.40.30.101	2		2		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	1		1		-0		0
 10.40.5.100	0		0		-0		0
 10.40.5.101	0		0		-0		0
