+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 28/08/2015 19:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-28 19:00:12
Numero BTs: 109
Disponibilidad MUEBLE: 1458557 / 1488000  (0.98021303763441)
Disponibilidad PUERTAS: 1475104 / 1487614  (0.99159056045453)
Disponibilidad FOTOCELULA: 1481057 / 1487614  (0.99559227057557)
Disponibilidad VARIADOR: 1484727 / 1487614  (0.99805930839586)
Disponibilidad LECTOR_QR_ENTRADA: 1485152 / 1486106  (0.99935805386695)
Disponibilidad LECTOR_QR_SALIDA: 1485152 / 1486106  (0.99935805386695)
Disponibilidad VTSC_ENTRADA: 1486693 / 1488000  (0.99912163978495)
Disponibilidad VTSC_SALIDA: 1486559 / 1488000  (0.99903158602151)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 12060 / 12287  (0.98152518922438)
Disponibilidad PUERTAS: 12180 / 12287  (0.99129160901766)
Disponibilidad FOTOCELULA: 12171 / 12287  (0.99055912753317)
Disponibilidad VARIADOR: 12198 / 12287  (0.99275657198665)
Disponibilidad LECTOR_QR_ENTRADA: 12286 / 12287  (0.99991861316839)
Disponibilidad LECTOR_QR_SALIDA: 12286 / 12287  (0.99991861316839)
Disponibilidad VTSC_ENTRADA: 12286 / 12287  (0.99991861316839)
Disponibilidad VTSC_SALIDA: 12284 / 12287  (0.99975583950517)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-28 19:01:02
Numero MAVs: 59
Disponibilidad MAVs: 2919173 / 3024995  (0.96501746283878)
Disponibilidad PaySystem: 2914391 / 3020107  (0.96499594219675)
Disponibilidad Printer: 2977460 / 3020107  (0.98587897713558)
Disponibilidad RFID: 3000904 / 3024995  (0.99203601989425)
Disponibilidad PLC: 3020156 / 3024995  (0.99840032793443)
Disponibilidad Conexion: 3024995 / 3104873  (0.97427334386946)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2139
Validaciones / Aperturas Ultima: 801 / 800  (0.0012484394506866)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	53		53		-0		0
 10.40.1.101	44		44		-0		0
 10.40.1.102	25		25		-0		0
 10.40.1.103	25		25		-0		0
 10.40.1.104	21		21		-0		0
 10.40.1.105	16		16		-0		0
 10.40.1.106	16		16		-0		0
 10.40.1.107	3		3		-0		0
 10.40.1.108	68		68		-0		0
 10.40.1.109	49		49		-0		0
 10.40.1.110	38		38		-0		0
 10.40.1.111	34		34		-0		0
 10.40.1.112	37		37		-0		0
 10.40.1.113	40		40		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	9		9		-0		0
 10.40.11.100	3		3		-0		0
 10.40.11.101	29		29		-0		0
 10.40.11.102	16		16		-0		0
 10.40.12.100	4		4		-0		0
 10.40.12.101	12		12		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	5		5		-0		0
 10.40.13.101	18		18		-0		0
 10.40.13.102	16		16		-0		0
 10.40.13.103	46		46		-0		0
 10.40.13.104	47		47		-0		0
 10.40.13.105	29		29		-0		0
 10.40.15.100	2		0		-0		1
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	2		3		-0		-0.5
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	12		12		-0		0
 10.40.22.101	12		12		-0		0
 10.40.22.102	12		12		-0		0
 10.40.22.103	1		1		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	4		4		-0		0
 10.40.26.101	2		2		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	2		2		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	5		5		-0		0
 10.40.30.101	3		3		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	0		0		-0		0
