+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 29/08/2015 11:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-29 11:00:12
Numero BTs: 109
Disponibilidad MUEBLE: 1468459 / 1498193  (0.98015342482577)
Disponibilidad PUERTAS: 1485253 / 1497816  (0.99161245440027)
Disponibilidad FOTOCELULA: 1491093 / 1497816  (0.99551146469259)
Disponibilidad VARIADOR: 1494928 / 1497816  (0.9980718592938)
Disponibilidad LECTOR_QR_ENTRADA: 1495353 / 1496308  (0.9993617624179)
Disponibilidad LECTOR_QR_SALIDA: 1495353 / 1496308  (0.9993617624179)
Disponibilidad VTSC_ENTRADA: 1496894 / 1498202  (0.99912695350827)
Disponibilidad VTSC_SALIDA: 1496760 / 1498202  (0.99903751296554)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 6860 / 7099  (0.96633328637836)
Disponibilidad PUERTAS: 7046 / 7099  (0.99253415974081)
Disponibilidad FOTOCELULA: 6981 / 7099  (0.98337794055501)
Disponibilidad VARIADOR: 7098 / 7099  (0.99985913508945)
Disponibilidad LECTOR_QR_ENTRADA: 7098 / 7099  (0.99985913508945)
Disponibilidad LECTOR_QR_SALIDA: 7098 / 7099  (0.99985913508945)
Disponibilidad VTSC_ENTRADA: 7098 / 7099  (0.99985913508945)
Disponibilidad VTSC_SALIDA: 7098 / 7099  (0.99985913508945)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 105 / 109  (0.96330275229358)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 107 / 109  (0.98165137614679)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-29 11:00:34
Numero MAVs: 59
Disponibilidad MAVs: 2940877 / 3047193  (0.9651101850129)
Disponibilidad PaySystem: 2936095 / 3042305  (0.96508897036951)
Disponibilidad Printer: 2999631 / 3042305  (0.98597313550088)
Disponibilidad RFID: 3022725 / 3047203  (0.99196705962812)
Disponibilidad PLC: 3042387 / 3047219  (0.99841429185103)
Disponibilidad Conexion: 3047235 / 3127512  (0.97433199297077)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 57 / 59  (0.96610169491525)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2155
Validaciones / Aperturas Ultima: 473 / 471  (0.0042283298097252)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	32		32		-0		0
 10.40.1.101	19		19		-0		0
 10.40.1.102	13		13		-0		0
 10.40.1.103	16		16		-0		0
 10.40.1.104	12		12		-0		0
 10.40.1.105	19		19		-0		0
 10.40.1.106	7		7		-0		0
 10.40.1.107	6		6		-0		0
 10.40.1.108	31		31		-0		0
 10.40.1.109	17		17		-0		0
 10.40.1.110	16		16		-0		0
 10.40.1.111	27		27		-0		0
 10.40.1.112	27		27		-0		0
 10.40.1.113	26		26		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	2		2		-0		0
 10.40.11.100	1		1		-0		0
 10.40.11.101	10		10		-0		0
 10.40.11.102	6		6		-0		0
 10.40.12.100	0		0		-0		0
 10.40.12.101	11		7		-0		0.36363636363636
 10.40.12.102	0		0		-0		0
 10.40.13.100	2		2		-0		0
 10.40.13.101	10		10		-0		0
 10.40.13.102	19		19		-0		0
 10.40.13.103	26		26		-0		0
 10.40.13.104	46		46		-0		0
 10.40.13.105	22		23		-0		-0.045454545454545
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	2		2		-0		0
 10.40.18.101	1		1		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	4		4		-0		0
 10.40.22.101	5		5		-0		0
 10.40.22.102	3		3		-0		0
 10.40.22.103	3		3		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	1		1		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	0		0		-0		0
 10.40.30.101	0		0		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	0		0		-0		0
