+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 29/08/2015 14:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-08-29 14:00:13
Numero BTs: 109
Disponibilidad MUEBLE: 1470313 / 1500101  (0.98014267039353)
Disponibilidad PUERTAS: 1487143 / 1499724  (0.99161112311332)
Disponibilidad FOTOCELULA: 1492982 / 1499724  (0.99550450616247)
Disponibilidad VARIADOR: 1496836 / 1499724  (0.99807431234014)
Disponibilidad LECTOR_QR_ENTRADA: 1497261 / 1498216  (0.9993625752228)
Disponibilidad LECTOR_QR_SALIDA: 1497261 / 1498216  (0.9993625752228)
Disponibilidad VTSC_ENTRADA: 1498801 / 1500110  (0.9991273973242)
Disponibilidad VTSC_SALIDA: 1498668 / 1500110  (0.99903873715927)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 8712 / 9007  (0.96724769623626)
Disponibilidad PUERTAS: 8936 / 9007  (0.992117242145)
Disponibilidad FOTOCELULA: 8870 / 9007  (0.9847896080826)
Disponibilidad VARIADOR: 9006 / 9007  (0.99988897524148)
Disponibilidad LECTOR_QR_ENTRADA: 9006 / 9007  (0.99988897524148)
Disponibilidad LECTOR_QR_SALIDA: 9006 / 9007  (0.99988897524148)
Disponibilidad VTSC_ENTRADA: 9005 / 9007  (0.99977795048296)
Disponibilidad VTSC_SALIDA: 9006 / 9007  (0.99988897524148)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 106 / 109  (0.97247706422018)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-08-29 14:01:03
Numero MAVs: 59
Disponibilidad MAVs: 2944939 / 3051428  (0.96510191294043)
Disponibilidad PaySystem: 2940157 / 3046540  (0.96508071451548)
Disponibilidad Printer: 3003852 / 3046540  (0.98598803889002)
Disponibilidad RFID: 3026870 / 3051428  (0.99195196478501)
Disponibilidad PLC: 3046589 / 3051428  (0.99841418509629)
Disponibilidad Conexion: 3051428 / 3131777  (0.97434395871737)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 55 / 59  (0.93220338983051)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2158
Validaciones / Aperturas Ultima: 512 / 513  (-0.001953125)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	28		28		-0		0
 10.40.1.101	16		16		-0		0
 10.40.1.102	13		13		-0		0
 10.40.1.103	13		13		-0		0
 10.40.1.104	8		8		-0		0
 10.40.1.105	6		6		-0		0
 10.40.1.106	10		10		-0		0
 10.40.1.107	11		11		-0		0
 10.40.1.108	38		38		-0		0
 10.40.1.109	39		39		-0		0
 10.40.1.110	23		23		-0		0
 10.40.1.111	31		31		-0		0
 10.40.1.112	26		26		-0		0
 10.40.1.113	21		21		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	6		6		-0		0
 10.40.11.100	4		4		-0		0
 10.40.11.101	18		18		-0		0
 10.40.11.102	8		8		-0		0
 10.40.12.100	5		5		-0		0
 10.40.12.101	6		6		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	8		8		-0		0
 10.40.13.101	15		15		-0		0
 10.40.13.102	10		10		-0		0
 10.40.13.103	31		31		-0		0
 10.40.13.104	24		24		-0		0
 10.40.13.105	21		21		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	1		1		-0		0
 10.40.18.100	1		1		-0		0
 10.40.18.101	1		1		-0		0
 10.40.18.102	1		1		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	15		15		-0		0
 10.40.22.101	5		5		-0		0
 10.40.22.102	3		3		-0		0
 10.40.22.103	4		4		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	1		1		-0		0
 10.40.26.101	1		1		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	1		2		-0		-1
 10.40.30.101	4		4		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	0		0		-0		0
 10.40.5.100	0		0		-0		0
