+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 01/07/2015 22:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-01 22:00:08
Numero BTs: 109
Disponibilidad MUEBLE: 699152 / 717026  (0.9750720336501)
Disponibilidad PUERTAS: 708953 / 716665  (0.98923904474196)
Disponibilidad FOTOCELULA: 712907 / 716665  (0.99475626687504)
Disponibilidad VARIADOR: 715156 / 716665  (0.99789441370794)
Disponibilidad LECTOR_QR_ENTRADA: 715708 / 716603  (0.99875105183763)
Disponibilidad LECTOR_QR_SALIDA: 715708 / 716603  (0.99875105183763)
Disponibilidad VTSC_ENTRADA: 716141 / 717051  (0.99873091314286)
Disponibilidad VTSC_SALIDA: 716148 / 717051  (0.99874067534945)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 14182 / 14425  (0.98315424610052)
Disponibilidad PUERTAS: 14421 / 14425  (0.99972270363951)
Disponibilidad FOTOCELULA: 14354 / 14425  (0.99507798960139)
Disponibilidad VARIADOR: 14421 / 14425  (0.99972270363951)
Disponibilidad LECTOR_QR_ENTRADA: 14421 / 14425  (0.99972270363951)
Disponibilidad LECTOR_QR_SALIDA: 14421 / 14425  (0.99972270363951)
Disponibilidad VTSC_ENTRADA: 14418 / 14425  (0.99951473136915)
Disponibilidad VTSC_SALIDA: 14420 / 14425  (0.99965337954939)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-01 22:01:12
Numero MAVs: 59
Disponibilidad MAVs: 1370251 / 1397039  (0.98082515949805)
Disponibilidad PaySystem: 1369829 / 1396617  (0.98081936565286)
Disponibilidad Printer: 1389009 / 1396617  (0.9945525509141)
Disponibilidad RFID: 1393107 / 1397039  (0.99718547585286)
Disponibilidad PLC: 1393493 / 1397039  (0.99746177451023)
Disponibilidad Conexion: 1397039 / 1421542  (0.98276308403128)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 56 / 59  (0.94915254237288)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=961
Validaciones / Aperturas Ultima: 815 / 816  (-0.0012269938650307)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	34		34		-0		0
 10.40.1.101	18		18		-0		0
 10.40.1.102	9		9		-0		0
 10.40.1.103	10		10		-0		0
 10.40.1.104	9		9		-0		0
 10.40.1.105	8		8		-0		0
 10.40.1.106	1		1		-0		0
 10.40.1.107	20		20		-0		0
 10.40.1.108	51		51		-0		0
 10.40.1.109	32		32		-0		0
 10.40.1.110	32		32		-0		0
 10.40.1.111	17		17		-0		0
 10.40.1.112	25		25		-0		0
 10.40.1.113	25		25		-0		0
 10.40.10.100	6		6		-0		0
 10.40.10.101	15		15		-0		0
 10.40.11.100	9		9		-0		0
 10.40.11.101	22		22		-0		0
 10.40.11.102	19		19		-0		0
 10.40.12.100	1		1		-0		0
 10.40.12.101	4		4		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	10		10		-0		0
 10.40.13.101	9		9		-0		0
 10.40.13.102	23		23		-0		0
 10.40.13.103	22		22		-0		0
 10.40.13.104	39		39		-0		0
 10.40.13.105	35		35		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	1		1		-0		0
 10.40.16.101	2		2		-0		0
 10.40.17.100	7		7		-0		0
 10.40.17.101	5		5		-0		0
 10.40.17.102	4		4		-0		0
 10.40.18.100	10		11		-0		-0.1
 10.40.18.101	11		11		-0		0
 10.40.18.102	5		5		-0		0
 10.40.2.100	4		4		-0		0
 10.40.2.101	1		1		-0		0
 10.40.20.100	2		2		-0		0
 10.40.20.101	5		5		-0		0
 10.40.21.100	20		20		-0		0
 10.40.21.101	13		13		-0		0
 10.40.21.102	30		30		-0		0
 10.40.21.103	25		25		-0		0
 10.40.22.100	8		8		-0		0
 10.40.22.101	8		8		-0		0
 10.40.22.102	3		3		-0		0
 10.40.22.103	3		3		-0		0
 10.40.23.100	8		8		-0		0
 10.40.23.101	11		11		-0		0
 10.40.23.102	1		1		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	1		1		-0		0
 10.40.25.101	2		2		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	2		2		-0		0
 10.40.26.101	4		4		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	1		1		-0		0
 10.40.27.101	3		3		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	1		1		-0		0
 10.40.30.101	3		3		-0		0
 10.40.4.100	2		2		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	6		6		-0		0
 10.40.5.100	8		8		-0		0
 10.40.5.101	2		2		-0		0
 10.40.5.102	2		2		-0		0
 10.40.5.103	1		1		-0		0
 10.40.6.100	11		11		-0		0
 10.40.6.101	7		7		-0		0
 10.40.7.100	5		5		-0		0
 10.40.7.101	1		1		-0		0
 10.40.7.102	1		1		-0		0
 10.40.7.103	18		18		-0		0
 10.40.7.104	18		18		-0		0
 10.40.7.105	8		8		-0		0
 10.40.8.100	1		1		-0		0
 10.40.8.101	15		15		-0		0
 10.40.8.102	0		0		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	0		0		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-2		2
 10.40.10.101	0		-0		0
 10.40.11.100	0		-0		0
 10.40.11.101	0		-4		4
 10.40.11.102	0		-2		2
 10.40.12.100	0		-0		0
 10.40.12.101	0		-0		0
 10.40.12.102	0		-1		1
 10.40.13.100	0		-0		0
 10.40.13.101	0		-1		1
 10.40.13.102	0		-2		2
 10.40.13.103	0		-2		2
 10.40.13.104	0		-0		0
 10.40.13.105	0		-1		1
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-2		2
 10.40.2.101	0		-0		0
 10.40.20.100	0		-0		0
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-0		0
 10.40.23.100	0		-0		0
 10.40.23.101	0		-2		2
 10.40.23.102	0		-0		0
 10.40.23.103	0		-2		2
 10.40.24.100	0		-0		0
 10.40.24.101	0		-4		4
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-2		2
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-2		2
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-2		2
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-0		0
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-2		2
 10.40.3.102	0		-2		2
 10.40.3.103	0		-5		5
 10.40.30.100	0		-0		0
 10.40.30.101	0		-4		4
 10.40.4.100	0		-0		0
 10.40.4.101	0		-0		0
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-2		2
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-4		4
 10.40.7.102	0		-2		2
 10.40.7.103	0		-0		0
 10.40.7.104	0		-2		2
 10.40.7.105	0		-2		2
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-8		8
 10.40.9.100	0		-0		0
 10.40.9.101	0		-2		2
 10.40.9.102	0		-2		2
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-07-01 21:58:13
Validaciones	Puerta Abierta	Porc.
815	816	1.00122699386503
IP	Valid	Puert	Porc
10.40.1.100	34	34	1
10.40.1.101	18	18	1
10.40.1.102	9	9	1
10.40.1.103	10	10	1
10.40.1.104	9	9	1
10.40.1.105	8	8	1
10.40.1.106	1	1	1
10.40.1.107	20	20	1
10.40.1.108	51	51	1
10.40.1.109	32	32	1
10.40.1.110	32	32	1
10.40.1.111	17	17	1
10.40.1.112	25	25	1
10.40.1.113	25	25	1
10.40.10.100	6	6	1
10.40.10.101	15	15	1
10.40.11.100	9	9	1
10.40.11.101	22	22	1
10.40.11.102	19	19	1
10.40.12.100	1	1	1
10.40.12.101	4	4	1
10.40.12.102	0	0	NULL
10.40.13.100	10	10	1
10.40.13.101	9	9	1
10.40.13.102	23	23	1
10.40.13.103	22	22	1
10.40.13.104	39	39	1
10.40.13.105	35	35	1
10.40.15.100	0	0	NULL
10.40.15.101	0	0	NULL
10.40.16.100	1	1	1
10.40.16.101	2	2	1
10.40.17.100	7	7	1
10.40.17.101	5	5	1
10.40.17.102	4	4	1
10.40.18.100	10	11	1.1
10.40.18.101	11	11	1
10.40.18.102	5	5	1
10.40.2.100	4	4	1
10.40.2.101	1	1	1
10.40.20.100	2	2	1
10.40.20.101	5	5	1
10.40.21.100	20	20	1
10.40.21.101	13	13	1
10.40.21.102	30	30	1
10.40.21.103	25	25	1
10.40.22.100	8	8	1
10.40.22.101	8	8	1
10.40.22.102	3	3	1
10.40.22.103	3	3	1
10.40.23.100	8	8	1
10.40.23.101	11	11	1
10.40.23.102	1	1	1
10.40.23.103	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	1	1	1
10.40.25.101	2	2	1
10.40.25.102	0	0	NULL
10.40.25.103	0	0	NULL
10.40.26.100	2	2	1
10.40.26.101	4	4	1
10.40.26.102	0	0	NULL
10.40.26.103	0	0	NULL
10.40.27.100	1	1	1
10.40.27.101	3	3	1
10.40.27.102	0	0	NULL
10.40.27.103	0	0	NULL
10.40.28.100	0	0	NULL
10.40.28.101	0	0	NULL
10.40.28.102	0	0	NULL
10.40.28.103	0	0	NULL
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	0	0	NULL
10.40.29.105	0	0	NULL
10.40.29.106	0	0	NULL
10.40.29.107	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.102	0	0	NULL
10.40.3.103	0	0	NULL
10.40.30.100	1	1	1
10.40.30.101	3	3	1
10.40.4.100	2	2	1
10.40.4.101	0	0	NULL
10.40.4.102	6	6	1
10.40.5.100	8	8	1
10.40.5.101	2	2	1
10.40.5.102	2	2	1
10.40.5.103	1	1	1
10.40.6.100	11	11	1
10.40.6.101	7	7	1
10.40.7.100	5	5	1
10.40.7.101	1	1	1
10.40.7.102	1	1	1
10.40.7.103	18	18	1
10.40.7.104	18	18	1
10.40.7.105	8	8	1
10.40.8.100	1	1	1
10.40.8.101	15	15	1
10.40.8.102	0	0	NULL
10.40.9.100	0	0	NULL
10.40.9.101	0	0	NULL
10.40.9.102	0	0	NULL
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
