+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 06/07/2015 08:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-06 08:00:09
Numero BTs: 109
Disponibilidad MUEBLE: 755589 / 774389  (0.97572279564922)
Disponibilidad PUERTAS: 765997 / 774026  (0.98962696343534)
Disponibilidad FOTOCELULA: 770125 / 774026  (0.99496011761879)
Disponibilidad VARIADOR: 772508 / 774026  (0.99803882556917)
Disponibilidad LECTOR_QR_ENTRADA: 772547 / 773451  (0.99883121231985)
Disponibilidad LECTOR_QR_SALIDA: 772547 / 773451  (0.99883121231985)
Disponibilidad VTSC_ENTRADA: 773248 / 774412  (0.99849692411791)
Disponibilidad VTSC_SALIDA: 773495 / 774412  (0.99881587578705)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 5099 / 5241  (0.97290593398206)
Disponibilidad PUERTAS: 5182 / 5241  (0.98874260637283)
Disponibilidad FOTOCELULA: 5239 / 5241  (0.99961839343637)
Disponibilidad VARIADOR: 5240 / 5241  (0.99980919671818)
Disponibilidad LECTOR_QR_ENTRADA: 5115 / 5116  (0.99980453479281)
Disponibilidad LECTOR_QR_SALIDA: 5115 / 5116  (0.99980453479281)
Disponibilidad VTSC_ENTRADA: 5182 / 5241  (0.98874260637283)
Disponibilidad VTSC_SALIDA: 5239 / 5241  (0.99961839343637)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 108 / 109  (0.99082568807339)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-06 08:01:15
Numero MAVs: 59
Disponibilidad MAVs: 1479483 / 1511639  (0.97872772533654)
Disponibilidad PaySystem: 1478014 / 1510140  (0.978726475691)
Disponibilidad Printer: 1499467 / 1510140  (0.99293244334962)
Disponibilidad RFID: 1507117 / 1511639  (0.9970085450296)
Disponibilidad PLC: 1508093 / 1511639  (0.99765420182993)
Disponibilidad Conexion: 1511639 / 1543638  (0.97927039888886)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1044
Validaciones / Aperturas Ultima: 1902 / 1902  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	82		82		-0		0
 10.40.1.101	69		69		-0		0
 10.40.1.102	57		57		-0		0
 10.40.1.103	56		56		-0		0
 10.40.1.104	42		42		-0		0
 10.40.1.105	37		37		-0		0
 10.40.1.106	32		32		-0		0
 10.40.1.107	30		30		-0		0
 10.40.1.108	89		89		-0		0
 10.40.1.109	65		65		-0		0
 10.40.1.110	39		39		-0		0
 10.40.1.111	74		74		-0		0
 10.40.1.112	98		98		-0		0
 10.40.1.113	54		54		-0		0
 10.40.10.100	25		25		-0		0
 10.40.10.101	36		36		-0		0
 10.40.11.100	5		5		-0		0
 10.40.11.101	42		42		-0		0
 10.40.11.102	24		24		-0		0
 10.40.12.100	39		39		-0		0
 10.40.12.101	16		16		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	4		4		-0		0
 10.40.13.101	15		15		-0		0
 10.40.13.102	28		28		-0		0
 10.40.13.103	90		90		-0		0
 10.40.13.104	90		90		-0		0
 10.40.13.105	44		44		-0		0
 10.40.15.100	2		2		-0		0
 10.40.15.101	1		1		-0		0
 10.40.16.100	4		4		-0		0
 10.40.16.101	12		12		-0		0
 10.40.17.100	6		6		-0		0
 10.40.17.101	12		12		-0		0
 10.40.17.102	17		17		-0		0
 10.40.18.100	31		31		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	9		9		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	5		5		-0		0
 10.40.20.101	9		9		-0		0
 10.40.21.100	11		11		-0		0
 10.40.21.101	20		20		-0		0
 10.40.21.102	37		37		-0		0
 10.40.21.103	8		8		-0		0
 10.40.22.100	33		33		-0		0
 10.40.22.101	22		22		-0		0
 10.40.22.102	21		21		-0		0
 10.40.22.103	6		6		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	7		7		-0		0
 10.40.23.103	12		12		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	1		1		-0		0
 10.40.25.101	2		2		-0		0
 10.40.25.102	19		19		-0		0
 10.40.25.103	14		14		-0		0
 10.40.26.100	1		1		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	15		15		-0		0
 10.40.26.103	14		14		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	3		3		-0		0
 10.40.27.103	6		6		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	8		8		-0		0
 10.40.30.101	6		6		-0		0
 10.40.4.100	4		4		-0		0
 10.40.4.101	8		8		-0		0
 10.40.4.102	0		0		-0		0
