+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 06/07/2015 11:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-06 11:00:09
Numero BTs: 109
Disponibilidad MUEBLE: 757508 / 776348  (0.97573253231798)
Disponibilidad PUERTAS: 767953 / 775986  (0.98964800911357)
Disponibilidad FOTOCELULA: 772074 / 775986  (0.9949586719348)
Disponibilidad VARIADOR: 774468 / 775986  (0.99804377914035)
Disponibilidad LECTOR_QR_ENTRADA: 774507 / 775411  (0.99883416665484)
Disponibilidad LECTOR_QR_SALIDA: 774507 / 775411  (0.99883416665484)
Disponibilidad VTSC_ENTRADA: 775202 / 776372  (0.99849299047364)
Disponibilidad VTSC_SALIDA: 775455 / 776372  (0.99881886518319)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 7019 / 7201  (0.97472573253715)
Disponibilidad PUERTAS: 7138 / 7201  (0.99125121510901)
Disponibilidad FOTOCELULA: 7188 / 7201  (0.99819469518122)
Disponibilidad VARIADOR: 7200 / 7201  (0.99986113039856)
Disponibilidad LECTOR_QR_ENTRADA: 7075 / 7076  (0.99985867721877)
Disponibilidad LECTOR_QR_SALIDA: 7075 / 7076  (0.99985867721877)
Disponibilidad VTSC_ENTRADA: 7136 / 7201  (0.99097347590612)
Disponibilidad VTSC_SALIDA: 7199 / 7201  (0.99972226079711)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-06 11:01:14
Numero MAVs: 59
Disponibilidad MAVs: 1483586 / 1515814  (0.97873881623999)
Disponibilidad PaySystem: 1482117 / 1514315  (0.97873758101848)
Disponibilidad Printer: 1503581 / 1514315  (0.99291164652004)
Disponibilidad RFID: 1511291 / 1515814  (0.99701612466965)
Disponibilidad PLC: 1512268 / 1515814  (0.99766066285177)
Disponibilidad Conexion: 1515814 / 1547886  (0.97928012786471)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 59 / 59  (1)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1047
Validaciones / Aperturas Ultima: 1235 / 1231  (0.0032388663967611)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	44		44		-0		0
 10.40.1.101	46		46		-0		0
 10.40.1.102	45		45		-0		0
 10.40.1.103	29		29		-0		0
 10.40.1.104	25		25		-0		0
 10.40.1.105	42		42		-0		0
 10.40.1.106	19		19		-0		0
 10.40.1.107	28		28		-0		0
 10.40.1.108	58		58		-0		0
 10.40.1.109	41		41		-0		0
 10.40.1.110	25		25		-0		0
 10.40.1.111	62		62		-0		0
 10.40.1.112	55		55		-0		0
 10.40.1.113	51		51		-0		0
 10.40.10.100	10		10		-0		0
 10.40.10.101	9		9		-0		0
 10.40.11.100	5		5		-0		0
 10.40.11.101	30		30		-0		0
 10.40.11.102	14		14		-0		0
 10.40.12.100	5		5		-0		0
 10.40.12.101	19		19		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	0		0		-0		0
 10.40.13.101	7		7		-0		0
 10.40.13.102	22		22		-0		0
 10.40.13.103	50		50		-0		0
 10.40.13.104	49		48		-0		0.020408163265306
 10.40.13.105	40		40		-0		0
 10.40.15.100	1		1		-0		0
 10.40.15.101	1		1		-0		0
 10.40.16.100	1		1		-0		0
 10.40.16.101	1		1		-0		0
 10.40.17.100	8		8		-0		0
 10.40.17.101	13		13		-0		0
 10.40.17.102	8		8		-0		0
 10.40.18.100	26		26		-0		0
 10.40.18.101	12		12		-0		0
 10.40.18.102	6		6		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	5		5		-0		0
 10.40.20.101	15		15		-0		0
 10.40.21.100	11		11		-0		0
 10.40.21.101	24		24		-0		0
 10.40.21.102	31		31		-0		0
 10.40.21.103	14		14		-0		0
 10.40.22.100	10		10		-0		0
 10.40.22.101	5		5		-0		0
 10.40.22.102	7		7		-0		0
 10.40.22.103	4		4		-0		0
 10.40.23.100	4		1		-0		0.75
 10.40.23.101	0		0		-0		0
 10.40.23.102	5		5		-0		0
 10.40.23.103	7		7		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	1		1		-0		0
 10.40.25.101	4		4		-0		0
 10.40.25.102	5		5		-0		0
 10.40.25.103	5		5		-0		0
 10.40.26.100	6		6		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	8		8		-0		0
 10.40.26.103	3		3		-0		0
 10.40.27.100	3		3		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	2		2		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	8		8		-0		0
 10.40.30.101	2		2		-0		0
 10.40.4.100	5		5		-0		0
 10.40.4.101	1		1		-0		0
