fechaComienzo
2015-07-08 12:58:30
Validaciones	Puerta Abierta	Porc.
1026	1025	0.999025341130604
IP	Valid	Puert	Porc
10.40.1.100	53	53	1
10.40.1.101	35	35	1
10.40.1.102	31	31	1
10.40.1.103	34	34	1
10.40.1.104	21	21	1
10.40.1.105	22	22	1
10.40.1.106	17	17	1
10.40.1.107	28	28	1
10.40.1.108	61	61	1
10.40.1.109	59	59	1
10.40.1.110	34	34	1
10.40.1.111	60	60	1
10.40.1.112	53	53	1
10.40.1.113	36	36	1
10.40.10.100	18	18	1
10.40.10.101	4	4	1
10.40.11.100	6	6	1
10.40.11.101	17	17	1
10.40.11.102	9	9	1
10.40.12.100	10	10	1
10.40.12.101	12	12	1
10.40.12.102	0	0	NULL
10.40.13.100	3	3	1
10.40.13.101	10	10	1
10.40.13.102	16	16	1
10.40.13.103	47	47	1
10.40.13.104	56	56	1
10.40.13.105	35	35	1
10.40.15.100	0	0	NULL
10.40.15.101	2	2	1
10.40.16.100	3	3	1
10.40.16.101	5	5	1
10.40.17.100	0	0	NULL
10.40.17.101	0	0	NULL
10.40.17.102	0	0	NULL
10.40.18.100	0	0	NULL
10.40.18.101	0	0	NULL
10.40.18.102	0	0	NULL
10.40.2.100	0	0	NULL
10.40.2.101	0	0	NULL
10.40.20.100	14	14	1
10.40.20.101	0	0	NULL
10.40.21.100	7	7	1
10.40.21.101	11	11	1
10.40.21.102	21	21	1
10.40.21.103	13	13	1
10.40.22.100	11	11	1
10.40.22.101	4	4	1
10.40.22.102	6	6	1
10.40.22.103	6	6	1
10.40.23.100	0	0	NULL
10.40.23.101	0	0	NULL
10.40.23.102	0	0	NULL
10.40.23.103	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	0	0	NULL
10.40.25.101	0	0	NULL
10.40.25.102	0	0	NULL
10.40.25.103	0	0	NULL
10.40.26.100	4	4	1
10.40.26.101	1	1	1
10.40.26.102	4	4	1
10.40.26.103	5	5	1
10.40.27.100	0	0	NULL
10.40.27.101	0	0	NULL
10.40.27.102	3	3	1
10.40.27.103	2	2	1
10.40.28.100	0	0	NULL
10.40.28.101	0	0	NULL
10.40.28.102	0	0	NULL
10.40.28.103	0	0	NULL
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	0	0	NULL
10.40.29.105	0	0	NULL
10.40.29.106	0	0	NULL
10.40.29.107	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.102	0	0	NULL
10.40.3.103	0	0	NULL
10.40.30.100	0	0	NULL
10.40.30.101	4	3	0.75
10.40.4.100	0	0	NULL
10.40.4.101	0	0	NULL
10.40.4.102	0	0	NULL
10.40.5.100	1	1	1
10.40.5.101	0	0	NULL
10.40.5.102	0	0	NULL
10.40.5.103	0	0	NULL
10.40.6.100	12	12	1
10.40.6.101	0	0	NULL
10.40.7.100	6	6	1
10.40.7.101	1	1	1
10.40.7.102	0	0	NULL
10.40.7.103	24	24	1
10.40.7.104	22	22	1
10.40.7.105	10	10	1
10.40.8.100	6	6	1
10.40.8.101	21	21	1
10.40.8.102	10	10	1
10.40.9.100	0	0	NULL
10.40.9.101	0	0	NULL
10.40.9.102	0	0	NULL
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
