+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 09/07/2015 13:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-09 13:00:12
Numero BTs: 109
Disponibilidad MUEBLE: 781765 / 801032  (0.97594727801137)
Disponibilidad PUERTAS: 792519 / 800646  (0.98984944657189)
Disponibilidad FOTOCELULA: 796661 / 800646  (0.99502276911394)
Disponibilidad VARIADOR: 799104 / 800646  (0.99807405520043)
Disponibilidad LECTOR_QR_ENTRADA: 798875 / 799803  (0.99883971427964)
Disponibilidad LECTOR_QR_SALIDA: 798875 / 799803  (0.99883971427964)
Disponibilidad VTSC_ENTRADA: 799812 / 801032  (0.99847696471552)
Disponibilidad VTSC_SALIDA: 800015 / 801032  (0.99873038779974)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 7970 / 8176  (0.97480430528376)
Disponibilidad PUERTAS: 8089 / 8176  (0.98935909980431)
Disponibilidad FOTOCELULA: 8151 / 8186  (0.99572440752504)
Disponibilidad VARIADOR: 8201 / 8216  (0.99817429406037)
Disponibilidad LECTOR_QR_ENTRADA: 8147 / 8170  (0.99718482252142)
Disponibilidad LECTOR_QR_SALIDA: 8147 / 8170  (0.99718482252142)
Disponibilidad VTSC_ENTRADA: 8201 / 8224  (0.997203307393)
Disponibilidad VTSC_SALIDA: 8126 / 8224  (0.98808365758755)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 105 / 109  (0.96330275229358)
Disponibilidad PUERTAS: 107 / 109  (0.98165137614679)
Disponibilidad FOTOCELULA: 106 / 109  (0.97247706422018)
Disponibilidad VARIADOR: 108 / 109  (0.99082568807339)
Disponibilidad LECTOR_QR_ENTRADA: 108 / 109  (0.99082568807339)
Disponibilidad LECTOR_QR_SALIDA: 108 / 109  (0.99082568807339)
Disponibilidad VTSC_ENTRADA: 108 / 109  (0.99082568807339)
Disponibilidad VTSC_SALIDA: 108 / 109  (0.99082568807339)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-09 13:01:09
Numero MAVs: 59
Disponibilidad MAVs: 1529061 / 1561673  (0.97911726718718)
Disponibilidad PaySystem: 1526115 / 1558676  (0.97910983424394)
Disponibilidad Printer: 1547745 / 1558676  (0.99298699665614)
Disponibilidad RFID: 1557146 / 1561673  (0.99710118571558)
Disponibilidad PLC: 1557960 / 1561673  (0.9976224215953)
Disponibilidad Conexion: 1561673 / 1601078  (0.97538845702708)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1079
Validaciones / Aperturas Ultima: 1176 / 1176  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	48		48		-0		0
 10.40.1.101	37		37		-0		0
 10.40.1.102	33		33		-0		0
 10.40.1.103	38		38		-0		0
 10.40.1.104	28		28		-0		0
 10.40.1.105	25		25		-0		0
 10.40.1.106	6		6		-0		0
 10.40.1.107	22		22		-0		0
 10.40.1.108	81		81		-0		0
 10.40.1.109	48		48		-0		0
 10.40.1.110	36		36		-0		0
 10.40.1.111	73		73		-0		0
 10.40.1.112	61		61		-0		0
 10.40.1.113	54		54		-0		0
 10.40.10.100	17		17		-0		0
 10.40.10.101	4		4		-0		0
 10.40.11.100	4		4		-0		0
 10.40.11.101	30		30		-0		0
 10.40.11.102	10		10		-0		0
 10.40.12.100	18		18		-0		0
 10.40.12.101	29		29		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	13		13		-0		0
 10.40.13.101	7		7		-0		0
 10.40.13.102	23		23		-0		0
 10.40.13.103	68		68		-0		0
 10.40.13.104	72		72		-0		0
 10.40.13.105	0		0		-0		0
 10.40.15.100	2		2		-0		0
 10.40.15.101	1		1		-0		0
 10.40.16.100	2		2		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	1		1		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	17		17		-0		0
 10.40.21.101	35		35		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	27		27		-0		0
 10.40.22.100	15		15		-0		0
 10.40.22.101	12		12		-0		0
 10.40.22.102	5		5		-0		0
 10.40.22.103	4		4		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	11		11		-0		0
 10.40.26.101	5		5		-0		0
 10.40.26.102	6		6		-0		0
 10.40.26.103	1		1		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	1		1		-0		0
 10.40.27.102	4		4		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	1		1		-0		0
 10.40.30.101	2		2		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	0		0		-0		0
 10.40.5.100	0		0		-0		0
 10.40.5.101	0		0		-0		0
 10.40.5.102	0		0		-0		0
 10.40.5.103	0		0		-0		0
 10.40.6.100	0		0		-0		0
 10.40.6.101	0		0		-0		0
 10.40.7.100	10		10		-0		0
 10.40.7.101	6		6		-0		0
 10.40.7.102	3		3		-0		0
 10.40.7.103	31		31		-0		0
 10.40.7.104	26		26		-0		0
 10.40.7.105	17		17		-0		0
 10.40.8.100	12		12		-0		0
 10.40.8.101	28		28		-0		0
 10.40.8.102	5		5		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	1		1		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-0		0
 10.40.10.101	0		-0		0
 10.40.11.100	0		-0		0
 10.40.11.101	0		-1		1
 10.40.11.102	0		-1		1
 10.40.12.100	0		-1		1
 10.40.12.101	0		-0		0
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-0		0
 10.40.13.104	0		-7		7
 10.40.13.105	0		-10		10
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-7		7
 10.40.17.101	0		-3		3
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-0		0
 10.40.2.101	0		-0		0
 10.40.20.100	0		-0		0
 10.40.20.101	0		-2		2
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-0		0
 10.40.23.100	0		-0		0
 10.40.23.101	0		-0		0
 10.40.23.102	0		-0		0
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-4		4
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-0		0
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-0		0
 10.40.3.102	0		-0		0
 10.40.3.103	0		-2		2
 10.40.30.100	0		-0		0
 10.40.30.101	0		-16		16
 10.40.4.100	0		-0		0
 10.40.4.101	0		-0		0
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-2		2
 10.40.5.102	0		-0		0
 10.40.5.103	0		-2		2
 10.40.6.100	0		-4		4
 10.40.6.101	0		-2		2
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-7		7
 10.40.7.103	0		-0		0
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-0		0
 10.40.9.100	0		-0		0
 10.40.9.101	0		-2		2
 10.40.9.102	0		-0		0
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-07-09 12:58:32
Validaciones	Puerta Abierta	Porc.
1176	1176	1
IP	Valid	Puert	Porc
10.40.1.100	48	48	1
10.40.1.101	37	37	1
10.40.1.102	33	33	1
10.40.1.103	38	38	1
10.40.1.104	28	28	1
10.40.1.105	25	25	1
10.40.1.106	6	6	1
10.40.1.107	22	22	1
10.40.1.108	81	81	1
10.40.1.109	48	48	1
10.40.1.110	36	36	1
10.40.1.111	73	73	1
10.40.1.112	61	61	1
10.40.1.113	54	54	1
10.40.10.100	17	17	1
10.40.10.101	4	4	1
10.40.11.100	4	4	1
10.40.11.101	30	30	1
10.40.11.102	10	10	1
10.40.12.100	18	18	1
10.40.12.101	29	29	1
10.40.12.102	0	0	NULL
10.40.13.100	13	13	1
10.40.13.101	7	7	1
10.40.13.102	23	23	1
10.40.13.103	68	68	1
10.40.13.104	72	72	1
10.40.13.105	0	0	NULL
10.40.15.100	2	2	1
10.40.15.101	1	1	1
10.40.16.100	2	2	1
10.40.16.101	0	0	NULL
10.40.17.100	0	0	NULL
10.40.17.101	0	0	NULL
10.40.17.102	0	0	NULL
10.40.18.100	1	1	1
10.40.18.101	0	0	NULL
10.40.18.102	0	0	NULL
10.40.2.100	0	0	NULL
10.40.2.101	0	0	NULL
10.40.20.100	0	0	NULL
10.40.20.101	0	0	NULL
10.40.21.100	17	17	1
10.40.21.101	35	35	1
10.40.21.102	0	0	NULL
10.40.21.103	27	27	1
10.40.22.100	15	15	1
10.40.22.101	12	12	1
10.40.22.102	5	5	1
10.40.22.103	4	4	1
10.40.23.100	0	0	NULL
10.40.23.101	0	0	NULL
10.40.23.102	0	0	NULL
10.40.23.103	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	0	0	NULL
10.40.25.101	0	0	NULL
10.40.25.102	0	0	NULL
