+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 10/07/2015 07:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-10 07:00:09
Numero BTs: 109
Disponibilidad MUEBLE: 786705 / 806060  (0.97598813984071)
Disponibilidad PUERTAS: 797529 / 805694  (0.98986587960193)
Disponibilidad FOTOCELULA: 801681 / 805694  (0.99501920083804)
Disponibilidad VARIADOR: 804124 / 805694  (0.99805136937845)
Disponibilidad LECTOR_QR_ENTRADA: 803783 / 804727  (0.99882693136927)
Disponibilidad LECTOR_QR_SALIDA: 803783 / 804727  (0.99882693136927)
Disponibilidad VTSC_ENTRADA: 804832 / 806080  (0.99845176657404)
Disponibilidad VTSC_SALIDA: 805047 / 806080  (0.99871848947995)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 3519 / 3569  (0.98599047352199)
Disponibilidad PUERTAS: 3567 / 3569  (0.99943961894088)
Disponibilidad FOTOCELULA: 3567 / 3569  (0.99943961894088)
Disponibilidad VARIADOR: 3567 / 3569  (0.99943961894088)
Disponibilidad LECTOR_QR_ENTRADA: 3443 / 3445  (0.99941944847605)
Disponibilidad LECTOR_QR_SALIDA: 3443 / 3445  (0.99941944847605)
Disponibilidad VTSC_ENTRADA: 3555 / 3569  (0.99607733258616)
Disponibilidad VTSC_SALIDA: 3567 / 3569  (0.99943961894088)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-10 07:01:14
Numero MAVs: 59
Disponibilidad MAVs: 1537574 / 1570607  (0.97896800409014)
Disponibilidad PaySystem: 1534223 / 1567168  (0.97897800363458)
Disponibilidad Printer: 1556165 / 1567168  (0.99297905521297)
Disponibilidad RFID: 1565971 / 1570607  (0.9970482749663)
Disponibilidad PLC: 1566802 / 1570607  (0.9975773697685)
Disponibilidad Conexion: 1570607 / 1611376  (0.97469926323838)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 55 / 59  (0.93220338983051)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 58 / 59  (0.98305084745763)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1086
Validaciones / Aperturas Ultima: 623 / 623  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	24		24		-0		0
 10.40.1.101	12		12		-0		0
 10.40.1.102	12		12		-0		0
 10.40.1.103	8		8		-0		0
 10.40.1.104	4		4		-0		0
 10.40.1.105	4		4		-0		0
 10.40.1.106	2		2		-0		0
 10.40.1.107	0		0		-0		0
 10.40.1.108	2		2		-0		0
 10.40.1.109	39		39		-0		0
 10.40.1.110	17		17		-0		0
 10.40.1.111	20		20		-0		0
 10.40.1.112	27		27		-0		0
 10.40.1.113	25		25		-0		0
 10.40.10.100	21		21		-0		0
 10.40.10.101	23		23		-0		0
 10.40.11.100	3		3		-0		0
 10.40.11.101	23		23		-0		0
 10.40.11.102	0		0		-0		0
 10.40.12.100	14		14		-0		0
 10.40.12.101	8		8		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	4		4		-0		0
 10.40.13.101	2		2		-0		0
 10.40.13.102	12		12		-0		0
 10.40.13.103	65		65		-0		0
 10.40.13.104	61		61		-0		0
 10.40.13.105	28		28		-0		0
 10.40.15.100	1		1		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	2		2		-0		0
 10.40.16.101	7		7		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	2		2		-0		0
 10.40.20.101	3		3		-0		0
 10.40.21.100	3		3		-0		0
 10.40.21.101	10		10		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	4		4		-0		0
 10.40.22.100	6		6		-0		0
 10.40.22.101	12		12		-0		0
 10.40.22.102	6		6		-0		0
 10.40.22.103	5		5		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	1		1		-0		0
 10.40.25.101	1		1		-0		0
 10.40.25.102	5		5		-0		0
 10.40.25.103	1		1		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	2		2		-0		0
 10.40.26.103	5		5		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	1		1		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	1		1		-0		0
 10.40.30.101	3		3		-0		0
 10.40.4.100	8		8		-0		0
 10.40.4.101	1		1		-0		0
