+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 12/07/2015 08:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-12 08:00:09
Numero BTs: 109
Disponibilidad MUEBLE: 813191 / 833024  (0.97619156230793)
Disponibilidad PUERTAS: 824385 / 832653  (0.99007029338752)
Disponibilidad FOTOCELULA: 828402 / 832653  (0.99489463197755)
Disponibilidad VARIADOR: 830964 / 832653  (0.9979715439685)
Disponibilidad LECTOR_QR_ENTRADA: 830441 / 831391  (0.99885733668033)
Disponibilidad LECTOR_QR_SALIDA: 830441 / 831391  (0.99885733668033)
Disponibilidad VTSC_ENTRADA: 831783 / 833039  (0.99849226746887)
Disponibilidad VTSC_SALIDA: 831919 / 833039  (0.99865552513148)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 4099 / 4177  (0.98132631074934)
Disponibilidad PUERTAS: 4142 / 4177  (0.99162078046445)
Disponibilidad FOTOCELULA: 4134 / 4177  (0.98970553028489)
Disponibilidad VARIADOR: 4142 / 4177  (0.99162078046445)
Disponibilidad LECTOR_QR_ENTRADA: 4121 / 4121  (1)
Disponibilidad LECTOR_QR_SALIDA: 4121 / 4121  (1)
Disponibilidad VTSC_ENTRADA: 4176 / 4177  (0.99976059372756)
Disponibilidad VTSC_SALIDA: 4176 / 4177  (0.99976059372756)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 108 / 109  (0.99082568807339)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 108 / 109  (0.99082568807339)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-12 08:01:12
Numero MAVs: 59
Disponibilidad MAVs: 1588797 / 1624279  (0.97815523072083)
Disponibilidad PaySystem: 1584773 / 1620149  (0.97816497124647)
Disponibilidad Printer: 1608194 / 1620149  (0.99262104905166)
Disponibilidad RFID: 1619166 / 1624279  (0.99685214178106)
Disponibilidad PLC: 1620410 / 1624279  (0.9976180200569)
Disponibilidad Conexion: 1624279 / 1669282  (0.97304050483981)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 57 / 59  (0.96610169491525)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1126
Validaciones / Aperturas Ultima: 357 / 357  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	25		25		-0		0
 10.40.1.101	14		14		-0		0
 10.40.1.102	7		7		-0		0
 10.40.1.103	2		2		-0		0
 10.40.1.104	1		1		-0		0
 10.40.1.105	0		0		-0		0
 10.40.1.106	0		0		-0		0
 10.40.1.107	0		0		-0		0
 10.40.1.108	7		7		-0		0
 10.40.1.109	0		0		-0		0
 10.40.1.110	21		21		-0		0
 10.40.1.111	33		33		-0		0
 10.40.1.112	18		18		-0		0
 10.40.1.113	7		7		-0		0
 10.40.10.100	4		4		-0		0
 10.40.10.101	10		10		-0		0
 10.40.11.100	0		0		-0		0
 10.40.11.101	3		3		-0		0
 10.40.11.102	2		2		-0		0
 10.40.12.100	1		1		-0		0
 10.40.12.101	5		5		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	1		1		-0		0
 10.40.13.101	1		1		-0		0
 10.40.13.102	2		2		-0		0
 10.40.13.103	16		16		-0		0
 10.40.13.104	11		11		-0		0
 10.40.13.105	6		6		-0		0
 10.40.15.100	1		1		-0		0
 10.40.15.101	1		1		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	2		2		-0		0
 10.40.17.100	2		2		-0		0
 10.40.17.101	5		5		-0		0
 10.40.17.102	7		7		-0		0
 10.40.18.100	2		2		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	2		2		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	2		2		-0		0
 10.40.20.101	11		11		-0		0
 10.40.21.100	15		15		-0		0
 10.40.21.101	21		21		-0		0
 10.40.21.102	21		21		-0		0
 10.40.21.103	11		11		-0		0
 10.40.22.100	2		2		-0		0
 10.40.22.101	2		2		-0		0
 10.40.22.102	6		6		-0		0
 10.40.22.103	0		0		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	1		1		-0		0
 10.40.30.101	1		1		-0		0
 10.40.4.100	2		2		-0		0
 10.40.4.101	2		2		-0		0
 10.40.4.102	0		0		-0		0
 10.40.5.100	1		1		-0		0
 10.40.5.101	0		0		-0		0
 10.40.5.102	4		4		-0		0
 10.40.5.103	0		0		-0		0
 10.40.6.100	5		5		-0		0
 10.40.6.101	3		3		-0		0
 10.40.7.100	4		4		-0		0
 10.40.7.101	3		3		-0		0
 10.40.7.102	5		5		-0		0
 10.40.7.103	9		9		-0		0
 10.40.7.104	5		5		-0		0
 10.40.7.105	0		0		-0		0
 10.40.8.100	1		1		-0		0
 10.40.8.101	0		0		-0		0
 10.40.8.102	1		1		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	0		0		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-0		0
 10.40.10.101	0		-0		0
 10.40.11.100	0		-0		0
 10.40.11.101	0		-0		0
 10.40.11.102	0		-0		0
 10.40.12.100	0		-0		0
 10.40.12.101	0		-0		0
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-0		0
 10.40.13.104	0		-1		1
 10.40.13.105	0		-0		0
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-2		2
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-0		0
 10.40.2.101	0		-0		0
 10.40.20.100	0		-1		1
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-0		0
 10.40.23.100	0		-0		0
 10.40.23.101	0		-0		0
 10.40.23.102	0		-0		0
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
