+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 12/07/2015 23:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-12 23:00:11
Numero BTs: 109
Disponibilidad MUEBLE: 822786 / 842845  (0.97620084357148)
Disponibilidad PUERTAS: 834105 / 842463  (0.99007908952678)
Disponibilidad FOTOCELULA: 838089 / 842463  (0.99480808059226)
Disponibilidad VARIADOR: 840684 / 842463  (0.99788833456187)
Disponibilidad LECTOR_QR_ENTRADA: 840251 / 841201  (0.99887066230306)
Disponibilidad LECTOR_QR_SALIDA: 840251 / 841201  (0.99887066230306)
Disponibilidad VTSC_ENTRADA: 841591 / 842849  (0.9985074432075)
Disponibilidad VTSC_SALIDA: 841729 / 842849  (0.99867117360286)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 13694 / 13987  (0.97905197683563)
Disponibilidad PUERTAS: 13862 / 13987  (0.99106313004933)
Disponibilidad FOTOCELULA: 13821 / 13987  (0.98813183670551)
Disponibilidad VARIADOR: 13862 / 13987  (0.99106313004933)
Disponibilidad LECTOR_QR_ENTRADA: 13931 / 13931  (1)
Disponibilidad LECTOR_QR_SALIDA: 13931 / 13931  (1)
Disponibilidad VTSC_ENTRADA: 13984 / 13987  (0.99978551512118)
Disponibilidad VTSC_SALIDA: 13986 / 13987  (0.99992850504039)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 106 / 109  (0.97247706422018)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 107 / 109  (0.98165137614679)
Disponibilidad VARIADOR: 108 / 109  (0.99082568807339)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-12 23:01:13
Numero MAVs: 59
Disponibilidad MAVs: 1609241 / 1645159  (0.97816745980176)
Disponibilidad PaySystem: 1605217 / 1641029  (0.97817710716873)
Disponibilidad Printer: 1628788 / 1641029  (0.99254065589334)
Disponibilidad RFID: 1640042 / 1645159  (0.99688966233659)
Disponibilidad PLC: 1641290 / 1645159  (0.99764825162796)
Disponibilidad Conexion: 1645159 / 1690522  (0.97316627645189)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 57 / 59  (0.96610169491525)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1141
Validaciones / Aperturas Ultima: 298 / 298  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	9		9		-0		0
 10.40.1.101	8		8		-0		0
 10.40.1.102	4		4		-0		0
 10.40.1.103	9		9		-0		0
 10.40.1.104	1		1		-0		0
 10.40.1.105	3		3		-0		0
 10.40.1.106	5		5		-0		0
 10.40.1.107	4		4		-0		0
 10.40.1.108	9		9		-0		0
 10.40.1.109	0		0		-0		0
 10.40.1.110	6		6		-0		0
 10.40.1.111	11		11		-0		0
 10.40.1.112	12		12		-0		0
 10.40.1.113	10		10		-0		0
 10.40.10.100	1		1		-0		0
 10.40.10.101	4		4		-0		0
 10.40.11.100	1		1		-0		0
 10.40.11.101	3		3		-0		0
 10.40.11.102	2		2		-0		0
 10.40.12.100	0		0		-0		0
 10.40.12.101	0		0		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	0		0		-0		0
 10.40.13.101	1		1		-0		0
 10.40.13.102	9		9		-0		0
 10.40.13.103	27		27		-0		0
 10.40.13.104	26		26		-0		0
 10.40.13.105	9		9		-0		0
 10.40.15.100	1		1		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	1		1		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	3		3		-0		0
 10.40.17.102	2		2		-0		0
 10.40.18.100	6		6		-0		0
 10.40.18.101	4		4		-0		0
 10.40.18.102	1		1		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	1		1		-0		0
 10.40.21.100	11		11		-0		0
 10.40.21.101	17		17		-0		0
 10.40.21.102	14		14		-0		0
 10.40.21.103	8		8		-0		0
 10.40.22.100	5		5		-0		0
 10.40.22.101	6		6		-0		0
 10.40.22.102	8		8		-0		0
 10.40.22.103	3		3		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	1		1		-0		0
 10.40.30.101	1		1		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
