+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 13/07/2015 14:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-13 14:00:10
Numero BTs: 109
Disponibilidad MUEBLE: 831717 / 852027  (0.97616272723752)
Disponibilidad PUERTAS: 843182 / 851654  (0.99005229823379)
Disponibilidad FOTOCELULA: 847141 / 851654  (0.99470089966113)
Disponibilidad VARIADOR: 849773 / 851654  (0.99779135658378)
Disponibilidad LECTOR_QR_ENTRADA: 849358 / 850308  (0.99888275777718)
Disponibilidad LECTOR_QR_SALIDA: 849358 / 850308  (0.99888275777718)
Disponibilidad VTSC_ENTRADA: 850781 / 852040  (0.99852236984179)
Disponibilidad VTSC_SALIDA: 850919 / 852040  (0.99868433406882)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 8401 / 8646  (0.97166319685404)
Disponibilidad PUERTAS: 8537 / 8646  (0.98739301411057)
Disponibilidad FOTOCELULA: 8517 / 8646  (0.98507980569049)
Disponibilidad VARIADOR: 8549 / 8646  (0.98878093916262)
Disponibilidad LECTOR_QR_ENTRADA: 8562 / 8562  (1)
Disponibilidad LECTOR_QR_SALIDA: 8562 / 8562  (1)
Disponibilidad VTSC_ENTRADA: 8645 / 8646  (0.999884339579)
Disponibilidad VTSC_SALIDA: 8646 / 8646  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 107 / 109  (0.98165137614679)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 108 / 109  (0.99082568807339)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-13 14:01:15
Numero MAVs: 59
Disponibilidad MAVs: 1626530 / 1662780  (0.97819916044215)
Disponibilidad PaySystem: 1622092 / 1658236  (0.97820334379425)
Disponibilidad Printer: 1645923 / 1658236  (0.99257463955673)
Disponibilidad RFID: 1657623 / 1662780  (0.99689856745932)
Disponibilidad PLC: 1658911 / 1662780  (0.9976731738414)
Disponibilidad Conexion: 1662780 / 1709865  (0.97246273828636)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 59 / 59  (1)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1154
Validaciones / Aperturas Ultima: 1411 / 1416  (-0.0035435861091425)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	51		51		-0		0
 10.40.1.101	33		33		-0		0
 10.40.1.102	41		41		-0		0
 10.40.1.103	33		33		-0		0
 10.40.1.104	30		30		-0		0
 10.40.1.105	17		17		-0		0
 10.40.1.106	18		18		-0		0
 10.40.1.107	50		50		-0		0
 10.40.1.108	76		76		-0		0
 10.40.1.109	62		62		-0		0
 10.40.1.110	57		57		-0		0
 10.40.1.111	81		81		-0		0
 10.40.1.112	73		73		-0		0
 10.40.1.113	66		66		-0		0
 10.40.10.100	13		13		-0		0
 10.40.10.101	19		19		-0		0
 10.40.11.100	5		5		-0		0
 10.40.11.101	23		23		-0		0
 10.40.11.102	5		10		-0		-1
 10.40.12.100	5		5		-0		0
 10.40.12.101	9		9		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	4		4		-0		0
 10.40.13.101	9		9		-0		0
 10.40.13.102	24		24		-0		0
 10.40.13.103	55		55		-0		0
 10.40.13.104	55		55		-0		0
 10.40.13.105	30		30		-0		0
 10.40.15.100	1		1		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	5		5		-0		0
 10.40.16.101	4		4		-0		0
 10.40.17.100	9		9		-0		0
 10.40.17.101	12		12		-0		0
 10.40.17.102	13		13		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	8		8		-0		0
 10.40.20.101	17		17		-0		0
 10.40.21.100	25		25		-0		0
 10.40.21.101	17		17		-0		0
 10.40.21.102	37		37		-0		0
 10.40.21.103	23		23		-0		0
 10.40.22.100	23		23		-0		0
 10.40.22.101	14		14		-0		0
 10.40.22.102	13		13		-0		0
 10.40.22.103	3		3		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	6		6		-0		0
 10.40.25.101	5		5		-0		0
 10.40.25.102	4		4		-0		0
 10.40.25.103	2		2		-0		0
 10.40.26.100	10		10		-0		0
 10.40.26.101	4		4		-0		0
 10.40.26.102	3		3		-0		0
 10.40.26.103	1		1		-0		0
 10.40.27.100	1		1		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	1		1		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	2		2		-0		0
 10.40.30.101	2		2		-0		0
 10.40.4.100	12		12		-0		0
 10.40.4.101	3		3		-0		0
 10.40.4.102	6		6		-0		0
 10.40.5.100	14		14		-0		0
 10.40.5.101	10		10		-0		0
 10.40.5.102	6		6		-0		0
 10.40.5.103	0		0		-0		0
 10.40.6.100	17		17		-0		0
 10.40.6.101	16		16		-0		0
 10.40.7.100	14		14		-0		0
 10.40.7.101	2		2		-0		0
 10.40.7.102	5		5		-0		0
 10.40.7.103	25		25		-0		0
 10.40.7.104	26		26		-0		0
 10.40.7.105	20		20		-0		0
 10.40.8.100	2		2		-0		0
 10.40.8.101	17		17		-0		0
 10.40.8.102	7		7		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	0		0		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-0		0
 10.40.10.101	0		-1		1
 10.40.11.100	0		-0		0
 10.40.11.101	0		-0		0
 10.40.11.102	0		-3		3
 10.40.12.100	0		-4		4
 10.40.12.101	0		-2		2
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-2		2
 10.40.13.104	0		-6		6
 10.40.13.105	0		-6		6
 10.40.15.100	0		-0		0
 10.40.15.101	0		-1		1
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-1		1
 10.40.2.101	0		-3		3
 10.40.20.100	0		-0		0
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-2		2
 10.40.22.103	0		-0		0
 10.40.23.100	0		-0		0
 10.40.23.101	0		-0		0
 10.40.23.102	0		-0		0
 10.40.23.103	0		-2		2
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-4		4
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-2		2
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-2		2
 10.40.29.103	0		-2		2
 10.40.29.104	0		-0		0
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-0		0
 10.40.3.102	0		-0		0
 10.40.3.103	0		-0		0
 10.40.30.100	0		-0		0
 10.40.30.101	0		-0		0
 10.40.4.100	0		-0		0
 10.40.4.101	0		-0		0
 10.40.4.102	0		-2		2
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-1		1
 10.40.5.103	0		-1		1
 10.40.6.100	0		-0		0
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-0		0
 10.40.7.103	0		-0		0
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-0		0
 10.40.9.100	0		-0		0
 10.40.9.101	0		-0		0
 10.40.9.102	0		-0		0
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-07-13 13:58:08
Validaciones	Puerta Abierta	Porc.
1411	1416	1.00354358610914
IP	Valid	Puert	Porc
10.40.1.100	51	51	1
10.40.1.101	33	33	1
10.40.1.102	41	41	1
10.40.1.103	33	33	1
10.40.1.104	30	30	1
10.40.1.105	17	17	1
10.40.1.106	18	18	1
10.40.1.107	50	50	1
10.40.1.108	76	76	1
10.40.1.109	62	62	1
10.40.1.110	57	57	1
10.40.1.111	81	81	1
10.40.1.112	73	73	1
10.40.1.113	66	66	1
10.40.10.100	13	13	1
10.40.10.101	19	19	1
10.40.11.100	5	5	1
10.40.11.101	23	23	1
10.40.11.102	5	10	2
10.40.12.100	5	5	1
10.40.12.101	9	9	1
10.40.12.102	0	0	NULL
10.40.13.100	4	4	1
10.40.13.101	9	9	1
10.40.13.102	24	24	1
10.40.13.103	55	55	1
10.40.13.104	55	55	1
10.40.13.105	30	30	1
10.40.15.100	1	1	1
10.40.15.101	0	0	NULL
10.40.16.100	5	5	1
10.40.16.101	4	4	1
10.40.17.100	9	9	1
10.40.17.101	12	12	1
10.40.17.102	13	13	1
10.40.18.100	0	0	NULL
10.40.18.101	0	0	NULL
10.40.18.102	0	0	NULL
10.40.2.100	0	0	NULL
10.40.2.101	0	0	NULL
10.40.20.100	8	8	1
10.40.20.101	17	17	1
10.40.21.100	25	25	1
10.40.21.101	17	17	1
10.40.21.102	37	37	1
10.40.21.103	23	23	1
10.40.22.100	23	23	1
10.40.22.101	14	14	1
10.40.22.102	13	13	1
10.40.22.103	3	3	1
10.40.23.100	0	0	NULL
10.40.23.101	0	0	NULL
10.40.23.102	0	0	NULL
10.40.23.103	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	6	6	1
10.40.25.101	5	5	1
10.40.25.102	4	4	1
10.40.25.103	2	2	1
10.40.26.100	10	10	1
10.40.26.101	4	4	1
10.40.26.102	3	3	1
10.40.26.103	1	1	1
10.40.27.100	1	1	1
10.40.27.101	0	0	NULL
10.40.27.102	1	1	1
10.40.27.103	0	0	NULL
10.40.28.100	0	0	NULL
10.40.28.101	0	0	NULL
10.40.28.102	0	0	NULL
10.40.28.103	0	0	NULL
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	0	0	NULL
10.40.29.105	0	0	NULL
10.40.29.106	0	0	NULL
10.40.29.107	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.102	0	0	NULL
10.40.3.103	0	0	NULL
10.40.30.100	2	2	1
10.40.30.101	2	2	1
10.40.4.100	12	12	1
10.40.4.101	3	3	1
10.40.4.102	6	6	1
10.40.5.100	14	14	1
10.40.5.101	10	10	1
10.40.5.102	6	6	1
10.40.5.103	0	0	NULL
10.40.6.100	17	17	1
10.40.6.101	16	16	1
10.40.7.100	14	14	1
10.40.7.101	2	2	1
10.40.7.102	5	5	1
10.40.7.103	25	25	1
10.40.7.104	26	26	1
10.40.7.105	20	20	1
10.40.8.100	2	2	1
10.40.8.101	17	17	1
10.40.8.102	7	7	1
10.40.9.100	0	0	NULL
10.40.9.101	0	0	NULL
10.40.9.102	0	0	NULL
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
