+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 13/07/2015 16:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-13 16:00:10
Numero BTs: 109
Disponibilidad MUEBLE: 833002 / 853339  (0.97616773638613)
Disponibilidad PUERTAS: 844468 / 852962  (0.99004176035978)
Disponibilidad FOTOCELULA: 848448 / 852962  (0.9947078533393)
Disponibilidad VARIADOR: 851069 / 852962  (0.9977806748718)
Disponibilidad LECTOR_QR_ENTRADA: 850666 / 851616  (0.99888447375343)
Disponibilidad LECTOR_QR_SALIDA: 850666 / 851616  (0.99888447375343)
Disponibilidad VTSC_ENTRADA: 852089 / 853348  (0.99852463473284)
Disponibilidad VTSC_SALIDA: 852224 / 853348  (0.99868283513877)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 9686 / 9954  (0.97307615029134)
Disponibilidad PUERTAS: 9823 / 9954  (0.98683946152301)
Disponibilidad FOTOCELULA: 9824 / 9954  (0.98693992364878)
Disponibilidad VARIADOR: 9845 / 9954  (0.98904962829013)
Disponibilidad LECTOR_QR_ENTRADA: 9870 / 9870  (1)
Disponibilidad LECTOR_QR_SALIDA: 9870 / 9870  (1)
Disponibilidad VTSC_ENTRADA: 9953 / 9954  (0.99989953787422)
Disponibilidad VTSC_SALIDA: 9951 / 9954  (0.99969861362266)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 108 / 109  (0.99082568807339)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 108 / 109  (0.99082568807339)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-13 16:01:12
Numero MAVs: 59
Disponibilidad MAVs: 1629272 / 1665564  (0.97821038399005)
Disponibilidad PaySystem: 1624834 / 1661020  (0.97821459103442)
Disponibilidad Printer: 1648701 / 1661020  (0.99258347280587)
Disponibilidad RFID: 1660407 / 1665564  (0.99690375152201)
Disponibilidad PLC: 1661695 / 1665564  (0.99767706314498)
Disponibilidad Conexion: 1665564 / 1712697  (0.97248024606804)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1156
Validaciones / Aperturas Ultima: 1589 / 1589  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	57		57		-0		0
 10.40.1.101	41		41		-0		0
 10.40.1.102	43		43		-0		0
 10.40.1.103	35		35		-0		0
 10.40.1.104	28		28		-0		0
 10.40.1.105	27		27		-0		0
 10.40.1.106	13		13		-0		0
 10.40.1.107	20		20		-0		0
 10.40.1.108	70		70		-0		0
 10.40.1.109	65		65		-0		0
 10.40.1.110	64		64		-0		0
 10.40.1.111	84		84		-0		0
 10.40.1.112	68		68		-0		0
 10.40.1.113	76		76		-0		0
 10.40.10.100	27		27		-0		0
 10.40.10.101	30		30		-0		0
 10.40.11.100	5		5		-0		0
 10.40.11.101	31		31		-0		0
 10.40.11.102	31		31		-0		0
 10.40.12.100	4		4		-0		0
 10.40.12.101	7		7		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	9		9		-0		0
 10.40.13.101	6		6		-0		0
 10.40.13.102	49		49		-0		0
 10.40.13.103	74		74		-0		0
 10.40.13.104	66		66		-0		0
 10.40.13.105	34		34		-0		0
 10.40.15.100	1		1		-0		0
 10.40.15.101	2		2		-0		0
 10.40.16.100	3		3		-0		0
 10.40.16.101	3		3		-0		0
 10.40.17.100	9		9		-0		0
 10.40.17.101	10		10		-0		0
 10.40.17.102	13		13		-0		0
 10.40.18.100	8		8		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	7		7		-0		0
 10.40.20.101	10		10		-0		0
 10.40.21.100	23		23		-0		0
 10.40.21.101	27		27		-0		0
 10.40.21.102	29		29		-0		0
 10.40.21.103	20		20		-0		0
 10.40.22.100	20		20		-0		0
 10.40.22.101	20		20		-0		0
 10.40.22.102	14		14		-0		0
 10.40.22.103	7		7		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	2		2		-0		0
 10.40.25.101	9		9		-0		0
 10.40.25.102	5		5		-0		0
 10.40.25.103	6		6		-0		0
 10.40.26.100	11		11		-0		0
 10.40.26.101	2		2		-0		0
 10.40.26.102	4		4		-0		0
 10.40.26.103	8		8		-0		0
 10.40.27.100	3		3		-0		0
 10.40.27.101	2		2		-0		0
 10.40.27.102	1		1		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	5		5		-0		0
 10.40.30.101	3		3		-0		0
 10.40.4.100	8		8		-0		0
 10.40.4.101	2		2		-0		0
