+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 14/07/2015 07:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-14 07:00:09
Numero BTs: 109
Disponibilidad MUEBLE: 842220 / 862712  (0.97624699783937)
Disponibilidad PUERTAS: 853771 / 862352  (0.99004930701152)
Disponibilidad FOTOCELULA: 857836 / 862352  (0.99476315935952)
Disponibilidad VARIADOR: 860372 / 862352  (0.99770395383788)
Disponibilidad LECTOR_QR_ENTRADA: 859894 / 860844  (0.99889643187384)
Disponibilidad LECTOR_QR_SALIDA: 859894 / 860844  (0.99889643187384)
Disponibilidad VTSC_ENTRADA: 861479 / 862738  (0.99854069253933)
Disponibilidad VTSC_SALIDA: 861504 / 862738  (0.99856967005047)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 4176 / 4275  (0.97684210526316)
Disponibilidad PUERTAS: 4235 / 4275  (0.9906432748538)
Disponibilidad FOTOCELULA: 4275 / 4275  (1)
Disponibilidad VARIADOR: 4235 / 4275  (0.9906432748538)
Disponibilidad LECTOR_QR_ENTRADA: 4113 / 4113  (1)
Disponibilidad LECTOR_QR_SALIDA: 4113 / 4113  (1)
Disponibilidad VTSC_ENTRADA: 4275 / 4275  (1)
Disponibilidad VTSC_SALIDA: 4214 / 4275  (0.98573099415205)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 108 / 109  (0.99082568807339)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 108 / 109  (0.99082568807339)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-14 07:01:20
Numero MAVs: 59
Disponibilidad MAVs: 1646527 / 1683149  (0.97824197382406)
Disponibilidad PaySystem: 1641746 / 1678262  (0.97824177631383)
Disponibilidad Printer: 1665908 / 1678262  (0.99263881324847)
Disponibilidad RFID: 1677895 / 1683149  (0.99687847005821)
Disponibilidad PLC: 1679280 / 1683149  (0.99770133244294)
Disponibilidad Conexion: 1683149 / 1731828  (0.97189155043111)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1169
Validaciones / Aperturas Ultima: 640 / 639  (0.0015625)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	20		20		-0		0
 10.40.1.101	4		4		-0		0
 10.40.1.102	6		6		-0		0
 10.40.1.103	8		8		-0		0
 10.40.1.104	5		5		-0		0
 10.40.1.105	0		0		-0		0
 10.40.1.106	0		0		-0		0
 10.40.1.107	25		25		-0		0
 10.40.1.108	34		34		-0		0
 10.40.1.109	32		32		-0		0
 10.40.1.110	6		6		-0		0
 10.40.1.111	24		24		-0		0
 10.40.1.112	10		10		-0		0
 10.40.1.113	17		17		-0		0
 10.40.10.100	12		12		-0		0
 10.40.10.101	21		21		-0		0
 10.40.11.100	4		4		-0		0
 10.40.11.101	31		31		-0		0
 10.40.11.102	0		0		-0		0
 10.40.12.100	18		18		-0		0
 10.40.12.101	4		4		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	4		4		-0		0
 10.40.13.101	2		2		-0		0
 10.40.13.102	12		12		-0		0
 10.40.13.103	63		63		-0		0
 10.40.13.104	72		72		-0		0
 10.40.13.105	29		29		-0		0
 10.40.15.100	1		1		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	6		6		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	5		5		-0		0
 10.40.20.101	5		5		-0		0
 10.40.21.100	4		4		-0		0
 10.40.21.101	23		23		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	7		7		-0		0
 10.40.22.100	6		6		-0		0
 10.40.22.101	5		5		-0		0
 10.40.22.102	7		7		-0		0
 10.40.22.103	4		4		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	1		1		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	1		1		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	3		3		-0		0
 10.40.25.103	2		2		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	2		2		-0		0
 10.40.26.103	4		4		-0		0
 10.40.27.100	1		1		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	2		2		-0		0
 10.40.27.103	1		1		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	1		1		-0		0
 10.40.30.101	4		4		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	1		0		-0		1
