+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 14/07/2015 09:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-14 09:00:09
Numero BTs: 109
Disponibilidad MUEBLE: 843495 / 864006  (0.97626058152374)
Disponibilidad PUERTAS: 855055 / 863648  (0.99005034458483)
Disponibilidad FOTOCELULA: 859130 / 863648  (0.9947687020638)
Disponibilidad VARIADOR: 861656 / 863648  (0.9976935047612)
Disponibilidad LECTOR_QR_ENTRADA: 861190 / 862140  (0.99889809079732)
Disponibilidad LECTOR_QR_SALIDA: 861190 / 862140  (0.99889809079732)
Disponibilidad VTSC_ENTRADA: 862775 / 864034  (0.99854288141439)
Disponibilidad VTSC_SALIDA: 862788 / 864034  (0.99855792711861)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 5452 / 5571  (0.9786393825166)
Disponibilidad PUERTAS: 5519 / 5571  (0.99066594866272)
Disponibilidad FOTOCELULA: 5569 / 5571  (0.99964099802549)
Disponibilidad VARIADOR: 5519 / 5571  (0.99066594866272)
Disponibilidad LECTOR_QR_ENTRADA: 5409 / 5409  (1)
Disponibilidad LECTOR_QR_SALIDA: 5409 / 5409  (1)
Disponibilidad VTSC_ENTRADA: 5571 / 5571  (1)
Disponibilidad VTSC_SALIDA: 5498 / 5571  (0.98689642793035)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 108 / 109  (0.99082568807339)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 108 / 109  (0.99082568807339)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-14 09:01:16
Numero MAVs: 59
Disponibilidad MAVs: 1649252 / 1685932  (0.97824348787496)
Disponibilidad PaySystem: 1644471 / 1681045  (0.97824329509323)
Disponibilidad Printer: 1668679 / 1681045  (0.99264386140764)
Disponibilidad RFID: 1680644 / 1685932  (0.9968634559401)
Disponibilidad PLC: 1682063 / 1685932  (0.99770512689717)
Disponibilidad Conexion: 1685932 / 1734660  (0.97190919257953)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1171
Validaciones / Aperturas Ultima: 1966 / 1965  (0.00050864699898271)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	69		69		-0		0
 10.40.1.101	58		58		-0		0
 10.40.1.102	69		69		-0		0
 10.40.1.103	69		69		-0		0
 10.40.1.104	67		67		-0		0
 10.40.1.105	60		60		-0		0
 10.40.1.106	31		31		-0		0
 10.40.1.107	62		62		-0		0
 10.40.1.108	85		85		-0		0
 10.40.1.109	69		69		-0		0
 10.40.1.110	74		74		-0		0
 10.40.1.111	92		92		-0		0
 10.40.1.112	67		67		-0		0
 10.40.1.113	72		72		-0		0
 10.40.10.100	27		27		-0		0
 10.40.10.101	43		43		-0		0
 10.40.11.100	5		5		-0		0
 10.40.11.101	51		51		-0		0
 10.40.11.102	7		8		-0		-0.14285714285714
 10.40.12.100	32		32		-0		0
 10.40.12.101	24		24		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	5		5		-0		0
 10.40.13.101	12		12		-0		0
 10.40.13.102	46		46		-0		0
 10.40.13.103	91		91		-0		0
 10.40.13.104	89		89		-0		0
 10.40.13.105	39		39		-0		0
 10.40.15.100	9		9		-0		0
 10.40.15.101	2		2		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	6		6		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	6		6		-0		0
 10.40.20.101	13		13		-0		0
 10.40.21.100	26		26		-0		0
 10.40.21.101	48		48		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	30		30		-0		0
 10.40.22.100	29		29		-0		0
 10.40.22.101	37		37		-0		0
 10.40.22.102	15		15		-0		0
 10.40.22.103	12		12		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	2		2		-0		0
 10.40.25.101	5		5		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	2		0		-0		1
 10.40.26.100	5		5		-0		0
 10.40.26.101	2		2		-0		0
 10.40.26.102	25		25		-0		0
 10.40.26.103	25		25		-0		0
 10.40.27.100	1		1		-0		0
 10.40.27.101	1		1		-0		0
 10.40.27.102	5		5		-0		0
 10.40.27.103	8		8		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	5		5		-0		0
 10.40.30.101	2		2		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
