+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 16/07/2015 07:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-16 07:00:09
Numero BTs: 109
Disponibilidad MUEBLE: 872541 / 893635  (0.97639528442821)
Disponibilidad PUERTAS: 884231 / 893260  (0.98989208069319)
Disponibilidad FOTOCELULA: 888720 / 893260  (0.99491749322706)
Disponibilidad VARIADOR: 891014 / 893260  (0.99748561449074)
Disponibilidad LECTOR_QR_ENTRADA: 890801 / 891752  (0.99893356000323)
Disponibilidad LECTOR_QR_SALIDA: 890801 / 891752  (0.99893356000323)
Disponibilidad VTSC_ENTRADA: 892386 / 893646  (0.9985900457228)
Disponibilidad VTSC_SALIDA: 892392 / 893646  (0.99859675979079)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 4464 / 4625  (0.96518918918919)
Disponibilidad PUERTAS: 4507 / 4625  (0.97448648648649)
Disponibilidad FOTOCELULA: 4623 / 4625  (0.99956756756757)
Disponibilidad VARIADOR: 4510 / 4625  (0.97513513513514)
Disponibilidad LECTOR_QR_ENTRADA: 4624 / 4625  (0.99978378378378)
Disponibilidad LECTOR_QR_SALIDA: 4624 / 4625  (0.99978378378378)
Disponibilidad VTSC_ENTRADA: 4624 / 4625  (0.99978378378378)
Disponibilidad VTSC_SALIDA: 4624 / 4625  (0.99978378378378)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 105 / 109  (0.96330275229358)
Disponibilidad PUERTAS: 106 / 109  (0.97247706422018)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 106 / 109  (0.97247706422018)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-16 07:01:18
Numero MAVs: 59
Disponibilidad MAVs: 1709151 / 1749455  (0.9769619681558)
Disponibilidad PaySystem: 1704370 / 1744568  (0.97695819251528)
Disponibilidad Printer: 1730470 / 1744568  (0.99191891631625)
Disponibilidad RFID: 1743986 / 1749455  (0.99687388358089)
Disponibilidad PLC: 1745288 / 1749455  (0.99761811535593)
Disponibilidad Conexion: 1749455 / 1799613  (0.97212845206164)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 57 / 59  (0.96610169491525)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 58 / 59  (0.98305084745763)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1217
Validaciones / Aperturas Ultima: 668 / 666  (0.0029940119760479)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	14		14		-0		0
 10.40.1.101	9		9		-0		0
 10.40.1.102	6		6		-0		0
 10.40.1.103	6		6		-0		0
 10.40.1.104	1		1		-0		0
 10.40.1.105	3		3		-0		0
 10.40.1.106	3		3		-0		0
 10.40.1.107	21		21		-0		0
 10.40.1.108	24		24		-0		0
 10.40.1.109	22		22		-0		0
 10.40.1.110	20		20		-0		0
 10.40.1.111	8		8		-0		0
 10.40.1.112	16		16		-0		0
 10.40.1.113	23		23		-0		0
 10.40.10.100	13		13		-0		0
 10.40.10.101	23		23		-0		0
 10.40.11.100	2		2		-0		0
 10.40.11.101	25		25		-0		0
 10.40.11.102	22		22		-0		0
 10.40.12.100	15		15		-0		0
 10.40.12.101	8		8		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	1		1		-0		0
 10.40.13.101	1		1		-0		0
 10.40.13.102	17		17		-0		0
 10.40.13.103	67		67		-0		0
 10.40.13.104	63		63		-0		0
 10.40.13.105	27		27		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	1		1		-0		0
 10.40.16.100	2		2		-0		0
 10.40.16.101	3		3		-0		0
 10.40.17.100	5		5		-0		0
 10.40.17.101	8		8		-0		0
 10.40.17.102	5		5		-0		0
 10.40.18.100	14		12		-0		0.14285714285714
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	3		3		-0		0
 10.40.20.101	3		3		-0		0
 10.40.21.100	1		1		-0		0
 10.40.21.101	10		10		-0		0
 10.40.21.102	18		18		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	4		4		-0		0
 10.40.22.101	12		12		-0		0
 10.40.22.102	4		4		-0		0
 10.40.22.103	4		4		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	1		1		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	3		3		-0		0
 10.40.25.103	1		1		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	5		5		-0		0
 10.40.26.103	2		2		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	0		0		-0		0
 10.40.30.101	4		4		-0		0
 10.40.4.100	8		8		-0		0
 10.40.4.101	1		1		-0		0
 10.40.4.102	2		2		-0		0
