+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 18/07/2015 22:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-18 22:00:10
Numero BTs: 109
Disponibilidad MUEBLE: 912933 / 934674  (0.97673948349906)
Disponibilidad PUERTAS: 924855 / 934307  (0.98988341091312)
Disponibilidad FOTOCELULA: 929676 / 934307  (0.99504338509719)
Disponibilidad VARIADOR: 932046 / 934307  (0.99758002455296)
Disponibilidad LECTOR_QR_ENTRADA: 931848 / 932799  (0.99898048775781)
Disponibilidad LECTOR_QR_SALIDA: 931848 / 932799  (0.99898048775781)
Disponibilidad VTSC_ENTRADA: 933430 / 934693  (0.99864875418988)
Disponibilidad VTSC_SALIDA: 933435 / 934693  (0.99865410353988)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 14180 / 14412  (0.98390230363586)
Disponibilidad PUERTAS: 14212 / 14412  (0.98612267554815)
Disponibilidad FOTOCELULA: 14362 / 14412  (0.99653066888704)
Disponibilidad VARIADOR: 14412 / 14412  (1)
Disponibilidad LECTOR_QR_ENTRADA: 14412 / 14412  (1)
Disponibilidad LECTOR_QR_SALIDA: 14412 / 14412  (1)
Disponibilidad VTSC_ENTRADA: 14411 / 14412  (0.99993061337774)
Disponibilidad VTSC_SALIDA: 14410 / 14412  (0.99986122675548)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 105 / 109  (0.96330275229358)
Disponibilidad PUERTAS: 106 / 109  (0.97247706422018)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-18 22:01:20
Numero MAVs: 59
Disponibilidad MAVs: 1794473 / 1836805  (0.97695345994812)
Disponibilidad PaySystem: 1789692 / 1831918  (0.97694984164138)
Disponibilidad Printer: 1816585 / 1831918  (0.9916300838793)
Disponibilidad RFID: 1831303 / 1836805  (0.99700458132464)
Disponibilidad PLC: 1832606 / 1836805  (0.99771396528211)
Disponibilidad Conexion: 1836805 / 1888821  (0.9724611278676)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 55 / 59  (0.93220338983051)
Disponibilidad Printer: 57 / 59  (0.96610169491525)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1280
Validaciones / Aperturas Ultima: 722 / 724  (-0.0027700831024931)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	24		24		-0		0
 10.40.1.101	20		20		-0		0
 10.40.1.102	11		11		-0		0
 10.40.1.103	11		11		-0		0
 10.40.1.104	11		11		-0		0
 10.40.1.105	10		10		-0		0
 10.40.1.106	4		4		-0		0
 10.40.1.107	13		13		-0		0
 10.40.1.108	8		8		-0		0
 10.40.1.109	37		37		-0		0
 10.40.1.110	32		32		-0		0
 10.40.1.111	36		36		-0		0
 10.40.1.112	32		32		-0		0
 10.40.1.113	22		22		-0		0
 10.40.10.100	8		8		-0		0
 10.40.10.101	6		6		-0		0
 10.40.11.100	8		8		-0		0
 10.40.11.101	38		38		-0		0
 10.40.11.102	25		26		-0		-0.04
 10.40.12.100	6		6		-0		0
 10.40.12.101	6		6		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	6		6		-0		0
 10.40.13.101	15		15		-0		0
 10.40.13.102	31		31		-0		0
 10.40.13.103	36		36		-0		0
 10.40.13.104	46		46		-0		0
 10.40.13.105	29		29		-0		0
 10.40.15.100	2		2		-0		0
 10.40.15.101	3		3		-0		0
 10.40.16.100	3		3		-0		0
 10.40.16.101	7		7		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		1		-0		
 10.40.20.100	12		12		-0		0
 10.40.20.101	16		16		-0		0
 10.40.21.100	10		10		-0		0
 10.40.21.101	10		10		-0		0
 10.40.21.102	19		19		-0		0
 10.40.21.103	19		19		-0		0
 10.40.22.100	4		4		-0		0
 10.40.22.101	5		5		-0		0
 10.40.22.102	3		3		-0		0
 10.40.22.103	4		4		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	3		3		-0		0
 10.40.30.101	3		3		-0		0
 10.40.4.100	0		0		-0		0
