+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 24/07/2015 08:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-24 08:00:12
Numero BTs: 109
Disponibilidad MUEBLE: 996522 / 1019479  (0.97748163522741)
Disponibilidad PUERTAS: 1008775 / 1019093  (0.98987531069294)
Disponibilidad FOTOCELULA: 1014414 / 1019093  (0.99540866240863)
Disponibilidad VARIADOR: 1016563 / 1019093  (0.99751740027652)
Disponibilidad LECTOR_QR_ENTRADA: 1016634 / 1017585  (0.99906543433718)
Disponibilidad LECTOR_QR_SALIDA: 1016634 / 1017585  (0.99906543433718)
Disponibilidad VTSC_ENTRADA: 1018210 / 1019479  (0.99875524655241)
Disponibilidad VTSC_SALIDA: 1018213 / 1019479  (0.99875818923195)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 5255 / 5303  (0.99094851970583)
Disponibilidad PUERTAS: 5255 / 5303  (0.99094851970583)
Disponibilidad FOTOCELULA: 5303 / 5303  (1)
Disponibilidad VARIADOR: 5255 / 5303  (0.99094851970583)
Disponibilidad LECTOR_QR_ENTRADA: 5303 / 5303  (1)
Disponibilidad LECTOR_QR_SALIDA: 5303 / 5303  (1)
Disponibilidad VTSC_ENTRADA: 5303 / 5303  (1)
Disponibilidad VTSC_SALIDA: 5303 / 5303  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 108 / 109  (0.99082568807339)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-24 08:01:15
Numero MAVs: 59
Disponibilidad MAVs: 1964542 / 2017370  (0.97381343035735)
Disponibilidad PaySystem: 1959760 / 2012482  (0.9738024986062)
Disponibilidad Printer: 1990429 / 2012482  (0.98904188956721)
Disponibilidad RFID: 2010649 / 2017370  (0.99666843464511)
Disponibilidad PLC: 2013171 / 2017370  (0.99791857715739)
Disponibilidad Conexion: 2017370 / 2072850  (0.97323491810792)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1410
Validaciones / Aperturas Ultima: 1627 / 1627  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	70		70		-0		0
 10.40.1.101	62		62		-0		0
 10.40.1.102	59		59		-0		0
 10.40.1.103	51		51		-0		0
 10.40.1.104	45		45		-0		0
 10.40.1.105	48		48		-0		0
 10.40.1.106	38		38		-0		0
 10.40.1.107	0		0		-0		0
 10.40.1.108	28		28		-0		0
 10.40.1.109	93		93		-0		0
 10.40.1.110	40		40		-0		0
 10.40.1.111	90		90		-0		0
 10.40.1.112	69		69		-0		0
 10.40.1.113	55		55		-0		0
 10.40.10.100	26		26		-0		0
 10.40.10.101	37		37		-0		0
 10.40.11.100	4		4		-0		0
 10.40.11.101	43		43		-0		0
 10.40.11.102	18		18		-0		0
 10.40.12.100	37		37		-0		0
 10.40.12.101	12		12		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	4		4		-0		0
 10.40.13.101	5		5		-0		0
 10.40.13.102	25		25		-0		0
 10.40.13.103	93		93		-0		0
 10.40.13.104	87		87		-0		0
 10.40.13.105	38		38		-0		0
 10.40.15.100	2		2		-0		0
 10.40.15.101	2		2		-0		0
 10.40.16.100	1		1		-0		0
 10.40.16.101	10		10		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	7		7		-0		0
 10.40.20.101	14		14		-0		0
 10.40.21.100	4		4		-0		0
 10.40.21.101	21		21		-0		0
 10.40.21.102	28		28		-0		0
 10.40.21.103	7		7		-0		0
 10.40.22.100	0		0		-0		0
 10.40.22.101	38		38		-0		0
 10.40.22.102	20		20		-0		0
 10.40.22.103	7		7		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	1		1		-0		0
 10.40.25.102	9		9		-0		0
 10.40.25.103	7		7		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	13		13		-0		0
 10.40.26.103	15		15		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	3		3		-0		0
 10.40.27.103	4		4		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	8		8		-0		0
 10.40.30.101	2		2		-0		0
 10.40.4.100	19		19		-0		0
