+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 25/07/2015 22:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-25 22:00:11
Numero BTs: 109
Disponibilidad MUEBLE: 1021188 / 1044313  (0.97785625573942)
Disponibilidad PUERTAS: 1033600 / 1043927  (0.99010754583414)
Disponibilidad FOTOCELULA: 1039143 / 1043927  (0.99541730408352)
Disponibilidad VARIADOR: 1041388 / 1043927  (0.99756783759784)
Disponibilidad LECTOR_QR_ENTRADA: 1041468 / 1042419  (0.99908769890035)
Disponibilidad LECTOR_QR_SALIDA: 1041468 / 1042419  (0.99908769890035)
Disponibilidad VTSC_ENTRADA: 1043043 / 1044313  (0.99878388950439)
Disponibilidad VTSC_SALIDA: 1043042 / 1044313  (0.99878293193707)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 14340 / 14483  (0.99012635503694)
Disponibilidad PUERTAS: 14483 / 14483  (1)
Disponibilidad FOTOCELULA: 14382 / 14483  (0.99302630670441)
Disponibilidad VARIADOR: 14483 / 14483  (1)
Disponibilidad LECTOR_QR_ENTRADA: 14483 / 14483  (1)
Disponibilidad LECTOR_QR_SALIDA: 14483 / 14483  (1)
Disponibilidad VTSC_ENTRADA: 14482 / 14483  (0.99993095353173)
Disponibilidad VTSC_SALIDA: 14481 / 14483  (0.99986190706345)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-25 22:01:14
Numero MAVs: 59
Disponibilidad MAVs: 2015186 / 2070257  (0.97339895481575)
Disponibilidad PaySystem: 2010404 / 2065369  (0.97338732207175)
Disponibilidad Printer: 2042182 / 2065369  (0.98877343467439)
Disponibilidad RFID: 2063536 / 2070257  (0.99675354315913)
Disponibilidad PLC: 2066033 / 2070257  (0.99795967360574)
Disponibilidad Conexion: 2070257 / 2126658  (0.97347904552589)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 55 / 59  (0.93220338983051)
Disponibilidad Printer: 57 / 59  (0.96610169491525)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1448
Validaciones / Aperturas Ultima: 863 / 862  (0.0011587485515643)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	32		32		-0		0
 10.40.1.101	16		16		-0		0
 10.40.1.102	15		15		-0		0
 10.40.1.103	9		9		-0		0
 10.40.1.104	4		4		-0		0
 10.40.1.105	10		10		-0		0
 10.40.1.106	2		2		-0		0
 10.40.1.107	19		19		-0		0
 10.40.1.108	52		52		-0		0
 10.40.1.109	51		51		-0		0
 10.40.1.110	28		28		-0		0
 10.40.1.111	43		43		-0		0
 10.40.1.112	46		46		-0		0
 10.40.1.113	23		23		-0		0
 10.40.10.100	2		2		-0		0
 10.40.10.101	7		7		-0		0
 10.40.11.100	12		12		-0		0
 10.40.11.101	21		21		-0		0
 10.40.11.102	17		17		-0		0
 10.40.12.100	7		7		-0		0
 10.40.12.101	8		8		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	11		11		-0		0
 10.40.13.101	47		47		-0		0
 10.40.13.102	26		26		-0		0
 10.40.13.103	31		31		-0		0
 10.40.13.104	54		54		-0		0
 10.40.13.105	67		67		-0		0
 10.40.15.100	2		2		-0		0
 10.40.15.101	1		1		-0		0
 10.40.16.100	8		8		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	5		5		-0		0
 10.40.20.101	6		6		-0		0
 10.40.21.100	25		25		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	27		27		-0		0
 10.40.21.103	30		30		-0		0
 10.40.22.100	4		4		-0		0
 10.40.22.101	5		5		-0		0
 10.40.22.102	5		5		-0		0
 10.40.22.103	3		3		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	3		3		-0		0
 10.40.30.101	2		2		-0		0
 10.40.4.100	3		3		-0		0
 10.40.4.101	2		2		-0		0
 10.40.4.102	1		1		-0		0
 10.40.5.100	4		4		-0		0
 10.40.5.101	1		0		-0		1
 10.40.5.102	0		0		-0		0
 10.40.5.103	0		0		-0		0
 10.40.6.100	7		7		-0		0
 10.40.6.101	9		9		-0		0
 10.40.7.100	1		1		-0		0
 10.40.7.101	0		0		-0		0
 10.40.7.102	0		0		-0		0
 10.40.7.103	4		4		-0		0
 10.40.7.104	5		5		-0		0
 10.40.7.105	1		1		-0		0
 10.40.8.100	3		3		-0		0
 10.40.8.101	16		16		-0		0
 10.40.8.102	20		20		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	0		0		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-1		1
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-10		10
 10.40.10.101	0		-0		0
 10.40.11.100	0		-0		0
 10.40.11.101	0		-0		0
 10.40.11.102	0		-2		2
 10.40.12.100	0		-1		1
 10.40.12.101	0		-2		2
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
