+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 26/07/2015 09:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-26 09:00:11
Numero BTs: 109
Disponibilidad MUEBLE: 1028249 / 1051488  (0.97789893940777)
Disponibilidad PUERTAS: 1040775 / 1051102  (0.99017507339916)
Disponibilidad FOTOCELULA: 1046250 / 1051102  (0.99538389233395)
Disponibilidad VARIADOR: 1048563 / 1051102  (0.99758443994969)
Disponibilidad LECTOR_QR_ENTRADA: 1048643 / 1049594  (0.9990939353693)
Disponibilidad LECTOR_QR_SALIDA: 1048643 / 1049594  (0.9990939353693)
Disponibilidad VTSC_ENTRADA: 1050217 / 1051488  (0.99879123679966)
Disponibilidad VTSC_SALIDA: 1050216 / 1051488  (0.99879028576646)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 5882 / 5976  (0.98427041499331)
Disponibilidad PUERTAS: 5976 / 5976  (1)
Disponibilidad FOTOCELULA: 5919 / 5976  (0.99046184738956)
Disponibilidad VARIADOR: 5976 / 5976  (1)
Disponibilidad LECTOR_QR_ENTRADA: 5976 / 5976  (1)
Disponibilidad LECTOR_QR_SALIDA: 5976 / 5976  (1)
Disponibilidad VTSC_ENTRADA: 5975 / 5976  (0.99983266398929)
Disponibilidad VTSC_SALIDA: 5976 / 5976  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 107 / 109  (0.98165137614679)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-26 09:01:09
Numero MAVs: 59
Disponibilidad MAVs: 2029984 / 2085569  (0.97334780100778)
Disponibilidad PaySystem: 2025202 / 2080681  (0.97333613369853)
Disponibilidad Printer: 2057326 / 2080681  (0.98877530962219)
Disponibilidad RFID: 2078848 / 2085569  (0.99677737825984)
Disponibilidad PLC: 2081345 / 2085569  (0.9979746534399)
Disponibilidad Conexion: 2085569 / 2142234  (0.97354864127822)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1459
Validaciones / Aperturas Ultima: 366 / 364  (0.0054644808743169)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	11		11		-0		0
 10.40.1.101	5		5		-0		0
 10.40.1.102	3		3		-0		0
 10.40.1.103	6		6		-0		0
 10.40.1.104	2		2		-0		0
 10.40.1.105	5		5		-0		0
 10.40.1.106	1		1		-0		0
 10.40.1.107	15		15		-0		0
 10.40.1.108	24		24		-0		0
 10.40.1.109	17		17		-0		0
 10.40.1.110	10		10		-0		0
 10.40.1.111	19		19		-0		0
 10.40.1.112	11		11		-0		0
 10.40.1.113	8		8		-0		0
 10.40.10.100	3		3		-0		0
 10.40.10.101	3		3		-0		0
 10.40.11.100	2		2		-0		0
 10.40.11.101	6		6		-0		0
 10.40.11.102	2		2		-0		0
 10.40.12.100	2		2		-0		0
 10.40.12.101	10		10		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	4		4		-0		0
 10.40.13.101	6		6		-0		0
 10.40.13.102	8		8		-0		0
 10.40.13.103	19		19		-0		0
 10.40.13.104	27		27		-0		0
 10.40.13.105	17		17		-0		0
 10.40.15.100	4		4		-0		0
 10.40.15.101	15		15		-0		0
 10.40.16.100	4		4		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	3		3		-0		0
 10.40.20.101	7		7		-0		0
 10.40.21.100	4		4		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	15		15		-0		0
 10.40.21.103	18		18		-0		0
 10.40.22.100	4		4		-0		0
 10.40.22.101	4		4		-0		0
 10.40.22.102	1		2		-0		-1
 10.40.22.103	6		6		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	0		0		-0		0
 10.40.30.101	5		5		-0		0
 10.40.4.100	3		3		-0		0
