+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 26/07/2015 21:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-26 21:00:11
Numero BTs: 109
Disponibilidad MUEBLE: 1036016 / 1059336  (0.9779862102298)
Disponibilidad PUERTAS: 1048623 / 1058950  (0.99024788705793)
Disponibilidad FOTOCELULA: 1054017 / 1058950  (0.99534161197413)
Disponibilidad VARIADOR: 1056411 / 1058950  (0.99760234194249)
Disponibilidad LECTOR_QR_ENTRADA: 1056491 / 1057442  (0.99910065989435)
Disponibilidad LECTOR_QR_SALIDA: 1056491 / 1057442  (0.99910065989435)
Disponibilidad VTSC_ENTRADA: 1058063 / 1059336  (0.99879830384316)
Disponibilidad VTSC_SALIDA: 1058063 / 1059336  (0.99879830384316)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 13649 / 13824  (0.98734085648148)
Disponibilidad PUERTAS: 13824 / 13824  (1)
Disponibilidad FOTOCELULA: 13686 / 13824  (0.99001736111111)
Disponibilidad VARIADOR: 13824 / 13824  (1)
Disponibilidad LECTOR_QR_ENTRADA: 13824 / 13824  (1)
Disponibilidad LECTOR_QR_SALIDA: 13824 / 13824  (1)
Disponibilidad VTSC_ENTRADA: 13821 / 13824  (0.99978298611111)
Disponibilidad VTSC_SALIDA: 13823 / 13824  (0.99992766203704)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-26 21:01:10
Numero MAVs: 59
Disponibilidad MAVs: 2046106 / 2102255  (0.97329106126517)
Disponibilidad PaySystem: 2041324 / 2097367  (0.9732793545431)
Disponibilidad Printer: 2073977 / 2097367  (0.98884792218052)
Disponibilidad RFID: 2095534 / 2102255  (0.99680295682493)
Disponibilidad PLC: 2097808 / 2102255  (0.99788465243274)
Disponibilidad Conexion: 2102255 / 2159226  (0.97361508244158)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 57 / 59  (0.96610169491525)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 58 / 59  (0.98305084745763)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1471
Validaciones / Aperturas Ultima: 499 / 499  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	19		19		-0		0
 10.40.1.101	8		8		-0		0
 10.40.1.102	14		14		-0		0
 10.40.1.103	7		7		-0		0
 10.40.1.104	3		3		-0		0
 10.40.1.105	6		6		-0		0
 10.40.1.106	7		7		-0		0
 10.40.1.107	4		4		-0		0
 10.40.1.108	41		41		-0		0
 10.40.1.109	23		23		-0		0
 10.40.1.110	18		18		-0		0
 10.40.1.111	24		24		-0		0
 10.40.1.112	25		25		-0		0
 10.40.1.113	11		11		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	4		4		-0		0
 10.40.11.100	2		2		-0		0
 10.40.11.101	9		9		-0		0
 10.40.11.102	6		6		-0		0
 10.40.12.100	3		3		-0		0
 10.40.12.101	5		5		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	0		0		-0		0
 10.40.13.101	5		5		-0		0
 10.40.13.102	10		10		-0		0
 10.40.13.103	21		21		-0		0
 10.40.13.104	23		23		-0		0
 10.40.13.105	25		25		-0		0
 10.40.15.100	2		2		-0		0
 10.40.15.101	1		1		-0		0
 10.40.16.100	10		10		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	2		2		-0		0
 10.40.20.101	8		8		-0		0
 10.40.21.100	8		8		-0		0
 10.40.21.101	1		1		-0		0
 10.40.21.102	19		19		-0		0
 10.40.21.103	22		22		-0		0
 10.40.22.100	7		7		-0		0
 10.40.22.101	4		4		-0		0
 10.40.22.102	3		3		-0		0
 10.40.22.103	4		4		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	0		0		-0		0
 10.40.30.101	2		2		-0		0
 10.40.4.100	1		1		-0		0
 10.40.4.101	2		2		-0		0
