+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 29/07/2015 13:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-29 13:00:12
Numero BTs: 109
Disponibilidad MUEBLE: 1077070 / 1100786  (0.97845539459986)
Disponibilidad PUERTAS: 1089929 / 1100400  (0.99048436932025)
Disponibilidad FOTOCELULA: 1095324 / 1100400  (0.99538713195202)
Disponibilidad VARIADOR: 1097858 / 1100400  (0.99768993093421)
Disponibilidad LECTOR_QR_ENTRADA: 1097941 / 1098892  (0.99913458283435)
Disponibilidad LECTOR_QR_SALIDA: 1097941 / 1098892  (0.99913458283435)
Disponibilidad VTSC_ENTRADA: 1099509 / 1100786  (0.9988399198391)
Disponibilidad VTSC_SALIDA: 1099505 / 1100786  (0.99883628607195)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 8556 / 8593  (0.99569416967299)
Disponibilidad PUERTAS: 8593 / 8593  (1)
Disponibilidad FOTOCELULA: 8584 / 8593  (0.9989526358664)
Disponibilidad VARIADOR: 8593 / 8593  (1)
Disponibilidad LECTOR_QR_ENTRADA: 8593 / 8593  (1)
Disponibilidad LECTOR_QR_SALIDA: 8593 / 8593  (1)
Disponibilidad VTSC_ENTRADA: 8592 / 8593  (0.99988362620738)
Disponibilidad VTSC_SALIDA: 8593 / 8593  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-29 13:01:19
Numero MAVs: 59
Disponibilidad MAVs: 2130342 / 2190250  (0.97264787124757)
Disponibilidad PaySystem: 2125560 / 2185362  (0.97263519728082)
Disponibilidad Printer: 2160613 / 2185362  (0.98867510279761)
Disponibilidad RFID: 2182998 / 2190250  (0.99668896244721)
Disponibilidad PLC: 2185537 / 2190250  (0.99784819084579)
Disponibilidad Conexion: 2190250 / 2249850  (0.97350934506745)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1535
Validaciones / Aperturas Ultima: 972 / 969  (0.0030864197530864)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	44		44		-0		0
 10.40.1.101	35		35		-0		0
 10.40.1.102	35		35		-0		0
 10.40.1.103	30		30		-0		0
 10.40.1.104	18		18		-0		0
 10.40.1.105	17		17		-0		0
 10.40.1.106	8		8		-0		0
 10.40.1.107	23		23		-0		0
 10.40.1.108	63		63		-0		0
 10.40.1.109	51		51		-0		0
 10.40.1.110	35		35		-0		0
 10.40.1.111	64		64		-0		0
 10.40.1.112	48		48		-0		0
 10.40.1.113	46		46		-0		0
 10.40.10.100	11		11		-0		0
 10.40.10.101	27		27		-0		0
 10.40.11.100	5		5		-0		0
 10.40.11.101	0		0		-0		0
 10.40.11.102	0		0		-0		0
 10.40.12.100	7		7		-0		0
 10.40.12.101	16		16		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	3		3		-0		0
 10.40.13.101	4		4		-0		0
 10.40.13.102	24		24		-0		0
 10.40.13.103	37		37		-0		0
 10.40.13.104	52		52		-0		0
 10.40.13.105	45		45		-0		0
 10.40.15.100	2		2		-0		0
 10.40.15.101	3		3		-0		0
 10.40.16.100	1		1		-0		0
 10.40.16.101	2		2		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	1		1		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	2		2		-0		0
 10.40.20.101	8		8		-0		0
 10.40.21.100	7		7		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	29		29		-0		0
 10.40.21.103	15		15		-0		0
 10.40.22.100	6		6		-0		0
 10.40.22.101	6		6		-0		0
 10.40.22.102	6		6		-0		0
 10.40.22.103	4		4		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	1		1		-0		0
 10.40.25.101	2		2		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	2		2		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	1		1		-0		0
 10.40.30.101	3		3		-0		0
 10.40.4.100	4		0		-0		1
 10.40.4.101	0		0		-0		0
 10.40.4.102	3		3		-0		0
 10.40.5.100	0		0		-0		0
 10.40.5.101	0		0		-0		0
 10.40.5.102	0		0		-0		0
 10.40.5.103	0		0		-0		0
 10.40.6.100	13		13		-0		0
 10.40.6.101	11		11		-0		0
 10.40.7.100	7		7		-0		0
 10.40.7.101	3		3		-0		0
 10.40.7.102	2		2		-0		0
 10.40.7.103	24		24		-0		0
 10.40.7.104	20		21		-0		-0.05
 10.40.7.105	6		6		-0		0
 10.40.8.100	3		3		-0		0
 10.40.8.101	18		18		-0		0
 10.40.8.102	9		9		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	0		0		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-10		10
 10.40.10.101	0		-2		2
