+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 29/07/2015 22:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-29 22:00:11
Numero BTs: 109
Disponibilidad MUEBLE: 1082938 / 1106671  (0.97855460204523)
Disponibilidad PUERTAS: 1095808 / 1106285  (0.9905295651663)
Disponibilidad FOTOCELULA: 1101205 / 1106285  (0.9954080548864)
Disponibilidad VARIADOR: 1103743 / 1106285  (0.99770221959079)
Disponibilidad LECTOR_QR_ENTRADA: 1103826 / 1104777  (0.99913919279637)
Disponibilidad LECTOR_QR_SALIDA: 1103826 / 1104777  (0.99913919279637)
Disponibilidad VTSC_ENTRADA: 1105394 / 1106671  (0.99884608885568)
Disponibilidad VTSC_SALIDA: 1105390 / 1106671  (0.998842474412)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 14424 / 14478  (0.99627020306672)
Disponibilidad PUERTAS: 14472 / 14478  (0.99958557811852)
Disponibilidad FOTOCELULA: 14465 / 14478  (0.99910208592347)
Disponibilidad VARIADOR: 14478 / 14478  (1)
Disponibilidad LECTOR_QR_ENTRADA: 14478 / 14478  (1)
Disponibilidad LECTOR_QR_SALIDA: 14478 / 14478  (1)
Disponibilidad VTSC_ENTRADA: 14477 / 14478  (0.99993092968642)
Disponibilidad VTSC_SALIDA: 14478 / 14478  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-29 22:01:13
Numero MAVs: 59
Disponibilidad MAVs: 2142069 / 2202613  (0.97251264747825)
Disponibilidad PaySystem: 2137287 / 2197725  (0.97249974405351)
Disponibilidad Printer: 2172491 / 2197725  (0.9885181266992)
Disponibilidad RFID: 2195213 / 2202613  (0.99664035397957)
Disponibilidad PLC: 2197900 / 2202613  (0.99786026868996)
Disponibilidad Conexion: 2202613 / 2262494  (0.97353318948028)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 54 / 59  (0.91525423728814)
Disponibilidad Printer: 55 / 59  (0.93220338983051)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1544
Validaciones / Aperturas Ultima: 720 / 720  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	18		18		-0		0
 10.40.1.101	17		17		-0		0
 10.40.1.102	13		13		-0		0
 10.40.1.103	11		11		-0		0
 10.40.1.104	7		7		-0		0
 10.40.1.105	6		6		-0		0
 10.40.1.106	6		6		-0		0
 10.40.1.107	23		23		-0		0
 10.40.1.108	54		54		-0		0
 10.40.1.109	28		28		-0		0
 10.40.1.110	27		27		-0		0
 10.40.1.111	30		30		-0		0
 10.40.1.112	31		31		-0		0
 10.40.1.113	18		18		-0		0
 10.40.10.100	8		8		-0		0
 10.40.10.101	13		13		-0		0
 10.40.11.100	7		7		-0		0
 10.40.11.101	11		11		-0		0
 10.40.11.102	14		14		-0		0
 10.40.12.100	2		2		-0		0
 10.40.12.101	4		4		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	10		10		-0		0
 10.40.13.101	10		10		-0		0
 10.40.13.102	23		23		-0		0
 10.40.13.103	31		31		-0		0
 10.40.13.104	47		47		-0		0
 10.40.13.105	40		40		-0		0
 10.40.15.100	2		2		-0		0
 10.40.15.101	1		1		-0		0
 10.40.16.100	1		1		-0		0
 10.40.16.101	3		3		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	1		1		-0		0
 10.40.18.101	0		1		-0		
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	1		1		-0		0
 10.40.20.101	4		4		-0		0
 10.40.21.100	21		21		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	16		16		-0		0
 10.40.21.103	15		15		-0		0
 10.40.22.100	4		4		-0		0
 10.40.22.101	2		2		-0		0
 10.40.22.102	2		2		-0		0
 10.40.22.103	3		3		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	3		3		-0		0
 10.40.30.101	5		5		-0		0
 10.40.4.100	1		0		-0		1
