+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 29/07/2015 23:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-29 23:00:12
Numero BTs: 109
Disponibilidad MUEBLE: 1083592 / 1107325  (0.97856726796559)
Disponibilidad PUERTAS: 1096462 / 1106939  (0.99053516047406)
Disponibilidad FOTOCELULA: 1101859 / 1106939  (0.99541076789236)
Disponibilidad VARIADOR: 1104397 / 1106939  (0.99770357716189)
Disponibilidad LECTOR_QR_ENTRADA: 1104480 / 1105431  (0.99913970207096)
Disponibilidad LECTOR_QR_SALIDA: 1104480 / 1105431  (0.99913970207096)
Disponibilidad VTSC_ENTRADA: 1106048 / 1107325  (0.99884677037004)
Disponibilidad VTSC_SALIDA: 1106044 / 1107325  (0.99884315806109)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 15078 / 15132  (0.9964314036479)
Disponibilidad PUERTAS: 15126 / 15132  (0.99960348929421)
Disponibilidad FOTOCELULA: 15119 / 15132  (0.99914089347079)
Disponibilidad VARIADOR: 15132 / 15132  (1)
Disponibilidad LECTOR_QR_ENTRADA: 15132 / 15132  (1)
Disponibilidad LECTOR_QR_SALIDA: 15132 / 15132  (1)
Disponibilidad VTSC_ENTRADA: 15131 / 15132  (0.99993391488237)
Disponibilidad VTSC_SALIDA: 15132 / 15132  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-29 23:01:13
Numero MAVs: 59
Disponibilidad MAVs: 2143340 / 2204005  (0.97247510781509)
Disponibilidad PaySystem: 2138558 / 2199117  (0.97246212911819)
Disponibilidad Printer: 2173786 / 2199117  (0.98848128589793)
Disponibilidad RFID: 2196581 / 2204005  (0.99663158658896)
Disponibilidad PLC: 2199292 / 2204005  (0.99786162009614)
Disponibilidad Conexion: 2204005 / 2263910  (0.97353914245708)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 54 / 59  (0.91525423728814)
Disponibilidad Printer: 55 / 59  (0.93220338983051)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1545
Validaciones / Aperturas Ultima: 281 / 280  (0.00355871886121)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	7		7		-0		0
 10.40.1.101	2		2		-0		0
 10.40.1.102	2		2		-0		0
 10.40.1.103	1		1		-0		0
 10.40.1.104	1		1		-0		0
 10.40.1.105	3		3		-0		0
 10.40.1.106	0		0		-0		0
 10.40.1.107	5		5		-0		0
 10.40.1.108	8		8		-0		0
 10.40.1.109	6		6		-0		0
 10.40.1.110	4		4		-0		0
 10.40.1.111	9		9		-0		0
 10.40.1.112	8		8		-0		0
 10.40.1.113	4		4		-0		0
 10.40.10.100	8		8		-0		0
 10.40.10.101	4		4		-0		0
 10.40.11.100	0		0		-0		0
 10.40.11.101	0		0		-0		0
 10.40.11.102	2		2		-0		0
 10.40.12.100	2		2		-0		0
 10.40.12.101	2		2		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	3		3		-0		0
 10.40.13.101	4		4		-0		0
 10.40.13.102	8		8		-0		0
 10.40.13.103	17		17		-0		0
 10.40.13.104	18		18		-0		0
 10.40.13.105	11		11		-0		0
 10.40.15.100	1		1		-0		0
 10.40.15.101	1		1		-0		0
 10.40.16.100	3		3		-0		0
 10.40.16.101	3		3		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	6		6		-0		0
 10.40.20.101	6		6		-0		0
 10.40.21.100	11		11		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	22		22		-0		0
 10.40.21.103	15		15		-0		0
 10.40.22.100	4		4		-0		0
 10.40.22.101	1		1		-0		0
 10.40.22.102	3		3		-0		0
 10.40.22.103	4		4		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	4		4		-0		0
 10.40.30.101	2		2		-0		0
 10.40.4.100	2		2		-0		0
 10.40.4.101	1		0		-0		1
 10.40.4.102	2		2		-0		0
 10.40.5.100	0		0		-0		0
 10.40.5.101	0		0		-0		0
 10.40.5.102	0		0		-0		0
 10.40.5.103	0		0		-0		0
 10.40.6.100	5		5		-0		0
 10.40.6.101	7		7		-0		0
 10.40.7.100	2		2		-0		0
 10.40.7.101	3		3		-0		0
 10.40.7.102	2		2		-0		0
 10.40.7.103	2		2		-0		0
 10.40.7.104	2		2		-0		0
 10.40.7.105	1		1		-0		0
 10.40.8.100	5		5		-0		0
 10.40.8.101	15		15		-0		0
 10.40.8.102	7		7		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	0		0		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-2		2
 10.40.10.101	0		-2		2
 10.40.11.100	0		-2		2
 10.40.11.101	0		-6		6
 10.40.11.102	0		-1		1
 10.40.12.100	0		-2		2
 10.40.12.101	0		-0		0
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-2		2
 10.40.13.103	0		-0		0
 10.40.13.104	0		-0		0
 10.40.13.105	0		-2		2
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-2		2
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-2		2
 10.40.2.101	0		-0		0
 10.40.20.100	0		-0		0
 10.40.20.101	0		-4		4
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-0		0
 10.40.23.100	0		-0		0
 10.40.23.101	0		-2		2
 10.40.23.102	0		-0		0
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-2		2
 10.40.25.102	0		-2		2
 10.40.25.103	0		-1		1
 10.40.26.100	0		-0		0
 10.40.26.101	0		-2		2
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-0		0
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-0		0
 10.40.3.102	0		-2		2
 10.40.3.103	0		-0		0
 10.40.30.100	0		-2		2
 10.40.30.101	0		-2		2
 10.40.4.100	0		-2		2
 10.40.4.101	0		-0		0
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-2		2
 10.40.5.102	0		-4		4
 10.40.5.103	0		-2		2
 10.40.6.100	0		-0		0
 10.40.6.101	0		-0		0
 10.40.7.100	0		-3		3
 10.40.7.101	0		-2		2
 10.40.7.102	0		-4		4
 10.40.7.103	0		-0		0
 10.40.7.104	0		-2		2
 10.40.7.105	0		-2		2
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-0		0
 10.40.9.100	0		-2		2
 10.40.9.101	0		-0		0
 10.40.9.102	0		-0		0
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-07-29 22:57:57
Validaciones	Puerta Abierta	Porc.
281	280	0.99644128113879
IP	Valid	Puert	Porc
10.40.1.100	7	7	1
10.40.1.101	2	2	1
10.40.1.102	2	2	1
10.40.1.103	1	1	1
10.40.1.104	1	1	1
10.40.1.105	3	3	1
10.40.1.106	0	0	NULL
10.40.1.107	5	5	1
10.40.1.108	8	8	1
10.40.1.109	6	6	1
10.40.1.110	4	4	1
10.40.1.111	9	9	1
10.40.1.112	8	8	1
10.40.1.113	4	4	1
10.40.10.100	8	8	1
10.40.10.101	4	4	1
10.40.11.100	0	0	NULL
10.40.11.101	0	0	NULL
10.40.11.102	2	2	1
10.40.12.100	2	2	1
10.40.12.101	2	2	1
10.40.12.102	0	0	NULL
10.40.13.100	3	3	1
10.40.13.101	4	4	1
10.40.13.102	8	8	1
10.40.13.103	17	17	1
10.40.13.104	18	18	1
10.40.13.105	11	11	1
10.40.15.100	1	1	1
10.40.15.101	1	1	1
10.40.16.100	3	3	1
10.40.16.101	3	3	1
10.40.17.100	0	0	NULL
10.40.17.101	0	0	NULL
10.40.17.102	0	0	NULL
10.40.18.100	0	0	NULL
10.40.18.101	0	0	NULL
10.40.18.102	0	0	NULL
10.40.2.100	0	0	NULL
10.40.2.101	0	0	NULL
10.40.20.100	6	6	1
10.40.20.101	6	6	1
10.40.21.100	11	11	1
10.40.21.101	0	0	NULL
10.40.21.102	22	22	1
10.40.21.103	15	15	1
10.40.22.100	4	4	1
10.40.22.101	1	1	1
10.40.22.102	3	3	1
10.40.22.103	4	4	1
10.40.23.100	0	0	NULL
10.40.23.101	0	0	NULL
10.40.23.102	0	0	NULL
10.40.23.103	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	0	0	NULL
10.40.25.101	0	0	NULL
10.40.25.102	0	0	NULL
10.40.25.103	0	0	NULL
10.40.26.100	0	0	NULL
10.40.26.101	0	0	NULL
10.40.26.102	0	0	NULL
10.40.26.103	0	0	NULL
10.40.27.100	0	0	NULL
10.40.27.101	0	0	NULL
10.40.27.102	0	0	NULL
10.40.27.103	0	0	NULL
10.40.28.100	0	0	NULL
10.40.28.101	0	0	NULL
10.40.28.102	0	0	NULL
10.40.28.103	0	0	NULL
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	0	0	NULL
10.40.29.105	0	0	NULL
10.40.29.106	0	0	NULL
10.40.29.107	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.102	0	0	NULL
10.40.3.103	0	0	NULL
10.40.30.100	4	4	1
10.40.30.101	2	2	1
10.40.4.100	2	2	1
10.40.4.101	1	0	0
10.40.4.102	2	2	1
10.40.5.100	0	0	NULL
10.40.5.101	0	0	NULL
10.40.5.102	0	0	NULL
10.40.5.103	0	0	NULL
10.40.6.100	5	5	1
10.40.6.101	7	7	1
10.40.7.100	2	2	1
10.40.7.101	3	3	1
10.40.7.102	2	2	1
10.40.7.103	2	2	1
10.40.7.104	2	2	1
10.40.7.105	1	1	1
10.40.8.100	5	5	1
10.40.8.101	15	15	1
10.40.8.102	7	7	1
10.40.9.100	0	0	NULL
10.40.9.101	0	0	NULL
10.40.9.102	0	0	NULL
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
