+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 30/07/2015 20:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-07-30 20:00:11
Numero BTs: 109
Disponibilidad MUEBLE: 1097243 / 1121040  (0.97877238992364)
Disponibilidad PUERTAS: 1110177 / 1120654  (0.9906509948655)
Disponibilidad FOTOCELULA: 1115567 / 1120654  (0.99546068634922)
Disponibilidad VARIADOR: 1118112 / 1120654  (0.99773168167873)
Disponibilidad LECTOR_QR_ENTRADA: 1118195 / 1119146  (0.99915024491889)
Disponibilidad LECTOR_QR_SALIDA: 1118195 / 1119146  (0.99915024491889)
Disponibilidad VTSC_ENTRADA: 1119763 / 1121040  (0.99886087918362)
Disponibilidad VTSC_SALIDA: 1119759 / 1121040  (0.99885731106829)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 13107 / 13170  (0.99521640091116)
Disponibilidad PUERTAS: 13170 / 13170  (1)
Disponibilidad FOTOCELULA: 13163 / 13170  (0.99946848899013)
Disponibilidad VARIADOR: 13170 / 13170  (1)
Disponibilidad LECTOR_QR_ENTRADA: 13170 / 13170  (1)
Disponibilidad LECTOR_QR_SALIDA: 13170 / 13170  (1)
Disponibilidad VTSC_ENTRADA: 13170 / 13170  (1)
Disponibilidad VTSC_SALIDA: 13170 / 13170  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-07-30 20:01:16
Numero MAVs: 59
Disponibilidad MAVs: 2171261 / 2233237  (0.97224835519025)
Disponibilidad PaySystem: 2166479 / 2228349  (0.97223504935717)
Disponibilidad Printer: 2202419 / 2228349  (0.98836358218573)
Disponibilidad RFID: 2225307 / 2233237  (0.99644910056568)
Disponibilidad PLC: 2228524 / 2233237  (0.9978896104623)
Disponibilidad Conexion: 2233237 / 2293646  (0.97366245706617)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 57 / 59  (0.96610169491525)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=1566
Validaciones / Aperturas Ultima: 1326 / 1327  (-0.00075414781297134)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	69		69		-0		0
 10.40.1.101	49		49		-0		0
 10.40.1.102	37		37		-0		0
 10.40.1.103	28		28		-0		0
 10.40.1.104	22		22		-0		0
 10.40.1.105	23		23		-0		0
 10.40.1.106	8		8		-0		0
 10.40.1.107	39		39		-0		0
 10.40.1.108	83		83		-0		0
 10.40.1.109	66		66		-0		0
 10.40.1.110	68		68		-0		0
 10.40.1.111	20		20		-0		0
 10.40.1.112	64		64		-0		0
 10.40.1.113	83		83		-0		0
 10.40.10.100	16		16		-0		0
 10.40.10.101	19		19		-0		0
 10.40.11.100	4		4		-0		0
 10.40.11.101	24		24		-0		0
 10.40.11.102	14		14		-0		0
 10.40.12.100	9		9		-0		0
 10.40.12.101	4		4		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	9		9		-0		0
 10.40.13.101	16		16		-0		0
 10.40.13.102	31		31		-0		0
 10.40.13.103	53		53		-0		0
 10.40.13.104	67		67		-0		0
 10.40.13.105	44		44		-0		0
 10.40.15.100	4		4		-0		0
 10.40.15.101	1		1		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	4		4		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	6		6		-0		0
 10.40.20.101	6		6		-0		0
 10.40.21.100	22		22		-0		0
 10.40.21.101	18		18		-0		0
 10.40.21.102	28		28		-0		0
 10.40.21.103	15		15		-0		0
 10.40.22.100	10		10		-0		0
 10.40.22.101	13		13		-0		0
 10.40.22.102	12		12		-0		0
 10.40.22.103	4		4		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	1		1		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	1		1		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	1		1		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	2		2		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	3		3		-0		0
 10.40.30.101	2		2		-0		0
 10.40.4.100	0		0		-0		0
