+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 02/09/2015 20:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-02 20:00:12
Numero BTs: 109
Disponibilidad MUEBLE: 1533969 / 1565192  (0.98005164861563)
Disponibilidad PUERTAS: 1551901 / 1564806  (0.99175297129484)
Disponibilidad FOTOCELULA: 1557544 / 1564806  (0.99535916912384)
Disponibilidad VARIADOR: 1561887 / 1564806  (0.9981345930422)
Disponibilidad LECTOR_QR_ENTRADA: 1562339 / 1563298  (0.9993865532995)
Disponibilidad LECTOR_QR_SALIDA: 1562339 / 1563298  (0.9993865532995)
Disponibilidad VTSC_ENTRADA: 1563876 / 1565192  (0.99915920858272)
Disponibilidad VTSC_SALIDA: 1563743 / 1565192  (0.99907423498203)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 12773 / 12930  (0.98785769528229)
Disponibilidad PUERTAS: 12919 / 12930  (0.99914926527456)
Disponibilidad FOTOCELULA: 12883 / 12930  (0.99636504253674)
Disponibilidad VARIADOR: 12929 / 12930  (0.99992266047951)
Disponibilidad LECTOR_QR_ENTRADA: 12929 / 12930  (0.99992266047951)
Disponibilidad LECTOR_QR_SALIDA: 12929 / 12930  (0.99992266047951)
Disponibilidad VTSC_ENTRADA: 12927 / 12930  (0.99976798143852)
Disponibilidad VTSC_SALIDA: 12928 / 12930  (0.99984532095901)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-02 20:01:05
Numero MAVs: 59
Disponibilidad MAVs: 3079807 / 3193161  (0.96450100699589)
Disponibilidad PaySystem: 3075025 / 3188273  (0.96447982967582)
Disponibilidad Printer: 3144217 / 3188273  (0.98618186083814)
Disponibilidad RFID: 3165873 / 3193161  (0.99145423610022)
Disponibilidad PLC: 3187454 / 3193161  (0.99821274279624)
Disponibilidad Conexion: 3193161 / 3276195  (0.97465535476368)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2260
Validaciones / Aperturas Ultima: 967 / 965  (0.0020682523267839)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	54		54		-0		0
 10.40.1.101	36		36		-0		0
 10.40.1.102	27		27		-0		0
 10.40.1.103	32		32		-0		0
 10.40.1.104	21		21		-0		0
 10.40.1.105	25		26		-0		-0.04
 10.40.1.106	12		13		-0		-0.083333333333333
 10.40.1.107	23		24		-0		-0.043478260869565
 10.40.1.108	86		86		-0		0
 10.40.1.109	77		77		-0		0
 10.40.1.110	61		61		-0		0
 10.40.1.111	51		51		-0		0
 10.40.1.112	41		41		-0		0
 10.40.1.113	44		44		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	4		4		-0		0
 10.40.11.100	8		8		-0		0
 10.40.11.101	20		20		-0		0
 10.40.11.102	20		20		-0		0
 10.40.12.100	7		7		-0		0
 10.40.12.101	5		0		-0		1
 10.40.12.102	0		0		-0		0
 10.40.13.100	10		10		-0		0
 10.40.13.101	16		16		-0		0
 10.40.13.102	17		17		-0		0
 10.40.13.103	54		54		-0		0
 10.40.13.104	54		54		-0		0
 10.40.13.105	42		42		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	10		10		-0		0
 10.40.22.101	9		9		-0		0
 10.40.22.102	1		1		-0		0
 10.40.22.103	3		3		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	2		2		-0		0
 10.40.24.103	2		2		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	6		6		-0		0
 10.40.26.101	2		2		-0		0
 10.40.26.102	1		1		-0		0
 10.40.26.103	1		1		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	1		1		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	2		2		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	4		4		-0		0
 10.40.30.101	9		9		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
