+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 03/09/2015 18:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-03 18:00:11
Numero BTs: 109
Disponibilidad MUEBLE: 1547794 / 1579259  (0.9800760989806)
Disponibilidad PUERTAS: 1565802 / 1578875  (0.9917200538358)
Disponibilidad FOTOCELULA: 1571591 / 1578875  (0.99538658855198)
Disponibilidad VARIADOR: 1575738 / 1578875  (0.99801314226902)
Disponibilidad LECTOR_QR_ENTRADA: 1576407 / 1577367  (0.99939139084309)
Disponibilidad LECTOR_QR_SALIDA: 1576407 / 1577367  (0.99939139084309)
Disponibilidad VTSC_ENTRADA: 1577943 / 1579261  (0.9991654324396)
Disponibilidad VTSC_SALIDA: 1577810 / 1579261  (0.99908121583449)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 11367 / 11608  (0.97923845623708)
Disponibilidad PUERTAS: 11440 / 11608  (0.9855272226051)
Disponibilidad FOTOCELULA: 11589 / 11608  (0.99836319779462)
Disponibilidad VARIADOR: 11390 / 11608  (0.98121984838043)
Disponibilidad LECTOR_QR_ENTRADA: 11607 / 11608  (0.99991385251551)
Disponibilidad LECTOR_QR_SALIDA: 11607 / 11608  (0.99991385251551)
Disponibilidad VTSC_ENTRADA: 11606 / 11608  (0.99982770503101)
Disponibilidad VTSC_SALIDA: 11606 / 11608  (0.99982770503101)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 108 / 109  (0.99082568807339)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-03 18:02:54
Numero MAVs: 59
Disponibilidad MAVs: 3109205 / 3223685  (0.96448784543155)
Disponibilidad PaySystem: 3104439 / 3218814  (0.96446672594316)
Disponibilidad Printer: 3174282 / 3218833  (0.98615926952408)
Disponibilidad RFID: 3195922 / 3223739  (0.99137119971561)
Disponibilidad PLC: 3218016 / 3223739  (0.99822473221312)
Disponibilidad Conexion: 3223739 / 3307335  (0.97472406030838)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 53 / 59  (0.89830508474576)
Disponibilidad Printer: 54 / 59  (0.91525423728814)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2282
Validaciones / Aperturas Ultima: 1053 / 1039  (0.01329534662868)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	75		75		-0		0
 10.40.1.101	33		33		-0		0
 10.40.1.102	24		24		-0		0
 10.40.1.103	38		38		-0		0
 10.40.1.104	30		30		-0		0
 10.40.1.105	41		41		-0		0
 10.40.1.106	32		32		-0		0
 10.40.1.107	1		1		-0		0
 10.40.1.108	58		58		-0		0
 10.40.1.109	72		72		-0		0
 10.40.1.110	60		60		-0		0
 10.40.1.111	15		15		-0		0
 10.40.1.112	64		64		-0		0
 10.40.1.113	59		59		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	16		16		-0		0
 10.40.11.100	7		7		-0		0
 10.40.11.101	35		35		-0		0
 10.40.11.102	22		22		-0		0
 10.40.12.100	8		8		-0		0
 10.40.12.101	18		12		-0		0.33333333333333
 10.40.12.102	0		0		-0		0
 10.40.13.100	8		0		-0		1
 10.40.13.101	0		0		-0		0
 10.40.13.102	27		27		-0		0
 10.40.13.103	76		76		-0		0
 10.40.13.104	63		63		-0		0
 10.40.13.105	59		59		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	11		11		-0		0
 10.40.22.101	10		10		-0		0
 10.40.22.102	7		7		-0		0
 10.40.22.103	0		0		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	9		9		-0		0
 10.40.26.101	9		9		-0		0
 10.40.26.102	2		2		-0		0
 10.40.26.103	2		2		-0		0
 10.40.27.100	2		2		-0		0
 10.40.27.101	2		2		-0		0
 10.40.27.102	1		1		-0		0
 10.40.27.103	1		1		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	3		3		-0		0
 10.40.30.101	2		2		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	0		0		-0		0
