+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 05/09/2015 14:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-05 14:00:12
Numero BTs: 109
Disponibilidad MUEBLE: 1574539 / 1606695  (0.97998624505584)
Disponibilidad PUERTAS: 1593063 / 1606329  (0.991741417854)
Disponibilidad FOTOCELULA: 1598659 / 1606349  (0.99521274642061)
Disponibilidad VARIADOR: 1603184 / 1606349  (0.99802969342279)
Disponibilidad LECTOR_QR_ENTRADA: 1603878 / 1604841  (0.99939994055486)
Disponibilidad LECTOR_QR_SALIDA: 1603878 / 1604841  (0.99939994055486)
Disponibilidad VTSC_ENTRADA: 1605409 / 1606735  (0.9991747238966)
Disponibilidad VTSC_SALIDA: 1605278 / 1606735  (0.99909319209453)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 8429 / 8619  (0.97795567931315)
Disponibilidad PUERTAS: 8570 / 8619  (0.9943148857176)
Disponibilidad FOTOCELULA: 8529 / 8619  (0.98955795335886)
Disponibilidad VARIADOR: 8618 / 8619  (0.99988397725954)
Disponibilidad LECTOR_QR_ENTRADA: 8618 / 8619  (0.99988397725954)
Disponibilidad LECTOR_QR_SALIDA: 8618 / 8619  (0.99988397725954)
Disponibilidad VTSC_ENTRADA: 8615 / 8619  (0.99953590903817)
Disponibilidad VTSC_SALIDA: 8618 / 8619  (0.99988397725954)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-05 14:01:08
Numero MAVs: 59
Disponibilidad MAVs: 3165646 / 3283247  (0.96418149472154)
Disponibilidad PaySystem: 3160864 / 3278359  (0.96416042294331)
Disponibilidad Printer: 3232417 / 3278359  (0.98598628155123)
Disponibilidad RFID: 3254173 / 3283247  (0.99114474177544)
Disponibilidad PLC: 3277524 / 3283247  (0.99825690848115)
Disponibilidad Conexion: 3283247 / 3369526  (0.97439432133778)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2325
Validaciones / Aperturas Ultima: 597 / 601  (-0.0067001675041876)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	64		64		-0		0
 10.40.1.101	28		28		-0		0
 10.40.1.102	24		24		-0		0
 10.40.1.103	30		30		-0		0
 10.40.1.104	23		23		-0		0
 10.40.1.105	22		22		-0		0
 10.40.1.106	15		15		-0		0
 10.40.1.107	3		3		-0		0
 10.40.1.108	44		44		-0		0
 10.40.1.109	37		37		-0		0
 10.40.1.110	29		29		-0		0
 10.40.1.111	0		0		-0		0
 10.40.1.112	0		0		-0		0
 10.40.1.113	37		37		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	6		6		-0		0
 10.40.11.100	3		3		-0		0
 10.40.11.101	23		23		-0		0
 10.40.11.102	14		14		-0		0
 10.40.12.100	0		0		-0		0
 10.40.12.101	0		0		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	3		3		-0		0
 10.40.13.101	8		8		-0		0
 10.40.13.102	11		11		-0		0
 10.40.13.103	28		28		-0		0
 10.40.13.104	32		32		-0		0
 10.40.13.105	24		24		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	1		1		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	11		11		-0		0
 10.40.22.101	10		10		-0		0
 10.40.22.102	3		3		-0		0
 10.40.22.103	3		3		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	1		1		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	1		1		-0		0
 10.40.26.101	1		1		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	1		1		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	1		1		-0		0
 10.40.30.100	0		0		-0		0
 10.40.30.101	1		1		-0		0
 10.40.4.100	1		1		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	0		0		-0		0
 10.40.5.100	0		0		-0		0
