+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 07/09/2015 12:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-07 12:00:11
Numero BTs: 109
Disponibilidad MUEBLE: 1602372 / 1635352  (0.97983308792236)
Disponibilidad PUERTAS: 1621531 / 1634966  (0.99178270373818)
Disponibilidad FOTOCELULA: 1627034 / 1634966  (0.99514852296623)
Disponibilidad VARIADOR: 1631424 / 1634966  (0.99783359409309)
Disponibilidad LECTOR_QR_ENTRADA: 1632493 / 1633458  (0.99940922876499)
Disponibilidad LECTOR_QR_SALIDA: 1632493 / 1633458  (0.99940922876499)
Disponibilidad VTSC_ENTRADA: 1634020 / 1635352  (0.99918549645581)
Disponibilidad VTSC_SALIDA: 1633890 / 1635352  (0.99910600286666)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 7657 / 7788  (0.9831792501284)
Disponibilidad PUERTAS: 7787 / 7788  (0.99987159732922)
Disponibilidad FOTOCELULA: 7739 / 7788  (0.993708269132)
Disponibilidad VARIADOR: 7706 / 7788  (0.9894709809964)
Disponibilidad LECTOR_QR_ENTRADA: 7787 / 7788  (0.99987159732922)
Disponibilidad LECTOR_QR_SALIDA: 7787 / 7788  (0.99987159732922)
Disponibilidad VTSC_ENTRADA: 7786 / 7788  (0.99974319465845)
Disponibilidad VTSC_SALIDA: 7786 / 7788  (0.99974319465845)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-07 12:01:01
Numero MAVs: 59
Disponibilidad MAVs: 3225758 / 3346054  (0.96404839850164)
Disponibilidad PaySystem: 3220976 / 3341166  (0.96402752811444)
Disponibilidad Printer: 3294199 / 3341166  (0.98594293130003)
Disponibilidad RFID: 3315875 / 3346054  (0.99098071937871)
Disponibilidad PLC: 3340331 / 3346054  (0.99828962712497)
Disponibilidad Conexion: 3346054 / 3434660  (0.97420239557918)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2372
Validaciones / Aperturas Ultima: 976 / 978  (-0.0020491803278689)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	88		88		-0		0
 10.40.1.101	61		61		-0		0
 10.40.1.102	39		39		-0		0
 10.40.1.103	42		42		-0		0
 10.40.1.104	34		34		-0		0
 10.40.1.105	30		30		-0		0
 10.40.1.106	18		18		-0		0
 10.40.1.107	33		33		-0		0
 10.40.1.108	63		63		-0		0
 10.40.1.109	54		54		-0		0
 10.40.1.110	45		45		-0		0
 10.40.1.111	0		0		-0		0
 10.40.1.112	44		44		-0		0
 10.40.1.113	61		61		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	7		7		-0		0
 10.40.11.100	4		4		-0		0
 10.40.11.101	25		25		-0		0
 10.40.11.102	9		9		-0		0
 10.40.12.100	0		0		-0		0
 10.40.12.101	0		0		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	7		7		-0		0
 10.40.13.101	17		17		-0		0
 10.40.13.102	30		30		-0		0
 10.40.13.103	68		68		-0		0
 10.40.13.104	59		59		-0		0
 10.40.13.105	48		48		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	7		7		-0		0
 10.40.22.101	6		6		-0		0
 10.40.22.102	2		2		-0		0
 10.40.22.103	1		1		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	4		4		-0		0
 10.40.26.101	3		3		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	3		3		-0		0
 10.40.27.100	5		5		-0		0
 10.40.27.101	2		2		-0		0
 10.40.27.102	6		6		-0		0
 10.40.27.103	1		1		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	1		1		-0		0
 10.40.30.100	3		3		-0		0
 10.40.30.101	1		1		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	0		0		-0		0
