+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 08/09/2015 16:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-08 16:00:11
Numero BTs: 109
Disponibilidad MUEBLE: 1620145 / 1653315  (0.9799372775303)
Disponibilidad PUERTAS: 1639393 / 1652929  (0.9918109005287)
Disponibilidad FOTOCELULA: 1644984 / 1652929  (0.99519338096192)
Disponibilidad VARIADOR: 1649230 / 1652929  (0.99776215433331)
Disponibilidad LECTOR_QR_ENTRADA: 1650455 / 1651421  (0.99941504922125)
Disponibilidad LECTOR_QR_SALIDA: 1650455 / 1651421  (0.99941504922125)
Disponibilidad VTSC_ENTRADA: 1651981 / 1653315  (0.99919313621421)
Disponibilidad VTSC_SALIDA: 1651849 / 1653315  (0.99911329661922)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 10239 / 10366  (0.98774840825777)
Disponibilidad PUERTAS: 10309 / 10366  (0.99450125409994)
Disponibilidad FOTOCELULA: 10357 / 10366  (0.99913177696315)
Disponibilidad VARIADOR: 10267 / 10366  (0.99044954659464)
Disponibilidad LECTOR_QR_ENTRADA: 10365 / 10366  (0.99990353077368)
Disponibilidad LECTOR_QR_SALIDA: 10365 / 10366  (0.99990353077368)
Disponibilidad VTSC_ENTRADA: 10365 / 10366  (0.99990353077368)
Disponibilidad VTSC_SALIDA: 10363 / 10366  (0.99971059232105)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-08 16:01:06
Numero MAVs: 59
Disponibilidad MAVs: 3262391 / 3384976  (0.9637855630291)
Disponibilidad PaySystem: 3257609 / 3380088  (0.96376455287555)
Disponibilidad Printer: 3332657 / 3380088  (0.98596752510586)
Disponibilidad RFID: 3353973 / 3384976  (0.99084099857724)
Disponibilidad PLC: 3378923 / 3384976  (0.9982118041605)
Disponibilidad Conexion: 3384976 / 3474308  (0.97428782940373)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 56 / 59  (0.94915254237288)
Disponibilidad Printer: 57 / 59  (0.96610169491525)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2400
Validaciones / Aperturas Ultima: 1244 / 1244  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	69		69		-0		0
 10.40.1.101	64		64		-0		0
 10.40.1.102	39		39		-0		0
 10.40.1.103	41		41		-0		0
 10.40.1.104	42		42		-0		0
 10.40.1.105	36		36		-0		0
 10.40.1.106	16		16		-0		0
 10.40.1.107	0		0		-0		0
 10.40.1.108	90		90		-0		0
 10.40.1.109	98		98		-0		0
 10.40.1.110	111		111		-0		0
 10.40.1.111	1		1		-0		0
 10.40.1.112	76		76		-0		0
 10.40.1.113	99		99		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	15		15		-0		0
 10.40.11.100	12		12		-0		0
 10.40.11.101	38		38		-0		0
 10.40.11.102	27		27		-0		0
 10.40.12.100	0		0		-0		0
 10.40.12.101	1		1		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	10		10		-0		0
 10.40.13.101	9		9		-0		0
 10.40.13.102	30		30		-0		0
 10.40.13.103	67		67		-0		0
 10.40.13.104	78		78		-0		0
 10.40.13.105	42		42		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	15		15		-0		0
 10.40.22.101	0		0		-0		0
 10.40.22.102	0		0		-0		0
 10.40.22.103	0		0		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	1		1		-0		0
 10.40.23.102	1		1		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	1		1		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	6		6		-0		0
 10.40.26.101	2		2		-0		0
 10.40.26.102	8		8		-0		0
 10.40.26.103	5		5		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	1		1		-0		0
 10.40.27.102	2		2		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	1		1		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	2		2		-0		0
 10.40.30.101	0		0		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	0		0		-0		0
