+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 09/09/2015 11:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-09 11:00:23
Numero BTs: 109
Disponibilidad MUEBLE: 1630683 / 1663938  (0.9800142793782)
Disponibilidad PUERTAS: 1650003 / 1663552  (0.9918553793329)
Disponibilidad FOTOCELULA: 1655575 / 1663552  (0.99520483880275)
Disponibilidad VARIADOR: 1659853 / 1663552  (0.99777644461971)
Disponibilidad LECTOR_QR_ENTRADA: 1661078 / 1662044  (0.99941878795026)
Disponibilidad LECTOR_QR_SALIDA: 1661078 / 1662044  (0.99941878795026)
Disponibilidad VTSC_ENTRADA: 1662602 / 1663938  (0.99919708546833)
Disponibilidad VTSC_SALIDA: 1662471 / 1663938  (0.99911835657338)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 5571 / 5594  (0.99588845191276)
Disponibilidad PUERTAS: 5594 / 5594  (1)
Disponibilidad FOTOCELULA: 5586 / 5594  (0.99856989631748)
Disponibilidad VARIADOR: 5594 / 5594  (1)
Disponibilidad LECTOR_QR_ENTRADA: 5594 / 5594  (1)
Disponibilidad LECTOR_QR_SALIDA: 5594 / 5594  (1)
Disponibilidad VTSC_ENTRADA: 5592 / 5594  (0.99964247407937)
Disponibilidad VTSC_SALIDA: 5593 / 5594  (0.99982123703969)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-09 11:06:16
Numero MAVs: 59
Disponibilidad MAVs: 3284384 / 3408134  (0.96368980797117)
Disponibilidad PaySystem: 3279602 / 3403246  (0.9636688032543)
Disponibilidad Printer: 3355164 / 3403246  (0.98587172364266)
Disponibilidad RFID: 3376731 / 3408134  (0.99078586698762)
Disponibilidad PLC: 3402081 / 3408134  (0.99822395480929)
Disponibilidad Conexion: 3408134 / 3497908  (0.97433494534447)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 52 / 59  (0.88135593220339)
Disponibilidad Printer: 54 / 59  (0.91525423728814)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2416
Validaciones / Aperturas Ultima: 889 / 864  (0.028121484814398)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	80		80		-0		0
 10.40.1.101	47		47		-0		0
 10.40.1.102	54		54		-0		0
 10.40.1.103	45		45		-0		0
 10.40.1.104	40		40		-0		0
 10.40.1.105	33		33		-0		0
 10.40.1.106	20		20		-0		0
 10.40.1.107	1		1		-0		0
 10.40.1.108	87		87		-0		0
 10.40.1.109	63		63		-0		0
 10.40.1.110	46		46		-0		0
 10.40.1.111	1		1		-0		0
 10.40.1.112	68		68		-0		0
 10.40.1.113	26		0		-0		1
 10.40.10.100	0		0		-0		0
 10.40.10.101	7		7		-0		0
 10.40.11.100	3		3		-0		0
 10.40.11.101	28		28		-0		0
 10.40.11.102	13		13		-0		0
 10.40.12.100	0		0		-0		0
 10.40.12.101	0		0		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	6		6		-0		0
 10.40.13.101	16		16		-0		0
 10.40.13.102	15		15		-0		0
 10.40.13.103	40		41		-0		-0.025
 10.40.13.104	65		65		-0		0
 10.40.13.105	34		34		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	0		0		-0		0
 10.40.22.101	0		0		-0		0
 10.40.22.102	0		0		-0		0
 10.40.22.103	0		0		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	3		3		-0		0
 10.40.26.101	4		4		-0		0
 10.40.26.102	1		1		-0		0
 10.40.26.103	3		3		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	3		3		-0		0
 10.40.27.102	6		6		-0		0
 10.40.27.103	3		3		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	0		0		-0		0
 10.40.30.101	2		2		-0		0
 10.40.4.100	1		1		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	0		0		-0		0
 10.40.5.100	0		0		-0		0
 10.40.5.101	0		0		-0		0
 10.40.5.102	0		0		-0		0
 10.40.5.103	0		0		-0		0
 10.40.6.100	0		0		-0		0
