+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 14/09/2015 09:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-14 09:00:19
Numero BTs: 109
Disponibilidad MUEBLE: 1704597 / 1739240  (0.98008152986362)
Disponibilidad PUERTAS: 1725003 / 1738854  (0.99203440886929)
Disponibilidad FOTOCELULA: 1730263 / 1738854  (0.99505938968999)
Disponibilidad VARIADOR: 1735109 / 1738854  (0.99784628266663)
Disponibilidad LECTOR_QR_ENTRADA: 1736375 / 1737346  (0.99944110154224)
Disponibilidad LECTOR_QR_SALIDA: 1736375 / 1737346  (0.99944110154224)
Disponibilidad VTSC_ENTRADA: 1737895 / 1739240  (0.99922667371956)
Disponibilidad VTSC_SALIDA: 1737379 / 1739240  (0.99892999241048)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 5602 / 5738  (0.97629836179854)
Disponibilidad PUERTAS: 5727 / 5738  (0.99808295573371)
Disponibilidad FOTOCELULA: 5669 / 5738  (0.98797490414779)
Disponibilidad VARIADOR: 5737 / 5738  (0.99982572324852)
Disponibilidad LECTOR_QR_ENTRADA: 5737 / 5738  (0.99982572324852)
Disponibilidad LECTOR_QR_SALIDA: 5737 / 5738  (0.99982572324852)
Disponibilidad VTSC_ENTRADA: 5736 / 5738  (0.99965144649704)
Disponibilidad VTSC_SALIDA: 5682 / 5738  (0.99024050191704)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 108 / 109  (0.99082568807339)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-14 09:05:05
Numero MAVs: 59
Disponibilidad MAVs: 3436820 / 3572237  (0.96209182089542)
Disponibilidad PaySystem: 3432074 / 3567391  (0.96206835751954)
Disponibilidad Printer: 3515347 / 3567415  (0.98540455764188)
Disponibilidad RFID: 3537882 / 3572326  (0.99035810281592)
Disponibilidad PLC: 3566257 / 3572326  (0.99830110689786)
Disponibilidad Conexion: 3572326 / 3664996  (0.97471484279928)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 52 / 59  (0.88135593220339)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 58 / 59  (0.98305084745763)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2534
Validaciones / Aperturas Ultima: 234 / 235  (-0.0042735042735043)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	0		0		-0		0
 10.40.1.101	0		0		-0		0
 10.40.1.102	1		1		-0		0
 10.40.1.103	0		0		-0		0
 10.40.1.104	1		1		-0		0
 10.40.1.105	0		0		-0		0
 10.40.1.106	1		1		-0		0
 10.40.1.107	0		0		-0		0
 10.40.1.108	0		0		-0		0
 10.40.1.109	1		1		-0		0
 10.40.1.110	0		0		-0		0
 10.40.1.111	0		0		-0		0
 10.40.1.112	0		0		-0		0
 10.40.1.113	0		0		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	10		10		-0		0
 10.40.11.100	6		6		-0		0
 10.40.11.101	56		56		-0		0
 10.40.11.102	19		19		-0		0
 10.40.12.100	2		2		-0		0
 10.40.12.101	1		1		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	0		0		-0		0
 10.40.13.101	0		0		-0		0
 10.40.13.102	0		0		-0		0
 10.40.13.103	0		0		-0		0
 10.40.13.104	0		0		-0		0
 10.40.13.105	0		0		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	3		3		-0		0
 10.40.18.101	3		3		-0		0
 10.40.18.102	1		1		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		1		-0		
 10.40.20.101	0		0		-0		0
 10.40.21.100	0		0		-0		0
 10.40.21.101	0		0		-0		0
 10.40.21.102	0		0		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	1		1		-0		0
 10.40.22.101	1		1		-0		0
 10.40.22.102	0		0		-0		0
 10.40.22.103	0		0		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	1		1		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	1		1		-0		0
 10.40.26.101	6		6		-0		0
 10.40.26.102	25		25		-0		0
 10.40.26.103	24		24		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	9		9		-0		0
 10.40.27.102	7		7		-0		0
 10.40.27.103	9		9		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	2		2		-0		0
 10.40.28.103	1		1		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	1		1		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	2		2		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	1		1		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	10		10		-0		0
 10.40.30.101	8		8		-0		0
 10.40.4.100	1		1		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	0		0		-0		0
 10.40.5.100	0		0		-0		0
 10.40.5.101	0		0		-0		0
