+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 14/09/2015 20:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-14 20:00:23
Numero BTs: 109
Disponibilidad MUEBLE: 1711437 / 1746211  (0.98008602625914)
Disponibilidad PUERTAS: 1731974 / 1745825  (0.9920662151132)
Disponibilidad FOTOCELULA: 1737176 / 1745825  (0.99504589520714)
Disponibilidad VARIADOR: 1742069 / 1745825  (0.99784858161614)
Disponibilidad LECTOR_QR_ENTRADA: 1743346 / 1744317  (0.99944333512773)
Disponibilidad LECTOR_QR_SALIDA: 1743346 / 1744317  (0.99944333512773)
Disponibilidad VTSC_ENTRADA: 1744865 / 1746211  (0.99922918822525)
Disponibilidad VTSC_SALIDA: 1744290 / 1746211  (0.99889990384896)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 12442 / 12709  (0.97899126603195)
Disponibilidad PUERTAS: 12698 / 12709  (0.99913447163427)
Disponibilidad FOTOCELULA: 12582 / 12709  (0.99000708159572)
Disponibilidad VARIADOR: 12697 / 12709  (0.99905578723739)
Disponibilidad LECTOR_QR_ENTRADA: 12708 / 12709  (0.99992131560312)
Disponibilidad LECTOR_QR_SALIDA: 12708 / 12709  (0.99992131560312)
Disponibilidad VTSC_ENTRADA: 12706 / 12709  (0.99976394680935)
Disponibilidad VTSC_SALIDA: 12593 / 12709  (0.99087260996144)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 108 / 109  (0.99082568807339)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-14 20:01:26
Numero MAVs: 59
Disponibilidad MAVs: 3450902 / 3587516  (0.96191961234459)
Disponibilidad PaySystem: 3446152 / 3582666  (0.96189597355712)
Disponibilidad Printer: 3530236 / 3582677  (0.98536262130245)
Disponibilidad RFID: 3552929 / 3587593  (0.99033781145186)
Disponibilidad PLC: 3581493 / 3587604  (0.99829663474564)
Disponibilidad Conexion: 3587604 / 3680572  (0.97474088266715)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 55 / 59  (0.93220338983051)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2545
Validaciones / Aperturas Ultima: 1114 / 1104  (0.0089766606822262)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	88		88		-0		0
 10.40.1.101	61		61		-0		0
 10.40.1.102	42		42		-0		0
 10.40.1.103	4		4		-0		0
 10.40.1.104	39		39		-0		0
 10.40.1.105	36		36		-0		0
 10.40.1.106	13		13		-0		0
 10.40.1.107	1		1		-0		0
 10.40.1.108	0		0		-0		0
 10.40.1.109	112		112		-0		0
 10.40.1.110	94		94		-0		0
 10.40.1.111	67		67		-0		0
 10.40.1.112	3		3		-0		0
 10.40.1.113	46		46		-0		0
 10.40.10.100	3		3		-0		0
 10.40.10.101	29		29		-0		0
 10.40.11.100	7		7		-0		0
 10.40.11.101	28		28		-0		0
 10.40.11.102	28		28		-0		0
 10.40.12.100	3		3		-0		0
 10.40.12.101	8		8		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	9		9		-0		0
 10.40.13.101	22		22		-0		0
 10.40.13.102	28		28		-0		0
 10.40.13.103	45		45		-0		0
 10.40.13.104	48		48		-0		0
 10.40.13.105	43		43		-0		0
 10.40.15.100	1		1		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	11		12		-0		-0.090909090909091
 10.40.21.101	13		13		-0		0
 10.40.21.102	29		29		-0		0
 10.40.21.103	20		20		-0		0
 10.40.22.100	17		17		-0		0
 10.40.22.101	10		10		-0		0
 10.40.22.102	4		4		-0		0
 10.40.22.103	4		4		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	3		3		-0		0
 10.40.26.101	5		5		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	1		1		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	1		1		-0		0
 10.40.27.102	2		2		-0		0
 10.40.27.103	2		2		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	0		0		-0		0
 10.40.30.101	7		7		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	0		0		-0		0
