+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 15/09/2015 09:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-15 09:00:23
Numero BTs: 109
Disponibilidad MUEBLE: 1719502 / 1754449  (0.98008092569234)
Disponibilidad PUERTAS: 1740142 / 1754063  (0.99206356898241)
Disponibilidad FOTOCELULA: 1745315 / 1754063  (0.99501272189197)
Disponibilidad VARIADOR: 1750294 / 1754063  (0.99785127444111)
Disponibilidad LECTOR_QR_ENTRADA: 1751583 / 1752555  (0.99944538117206)
Disponibilidad LECTOR_QR_SALIDA: 1751583 / 1752555  (0.99944538117206)
Disponibilidad VTSC_ENTRADA: 1753102 / 1754449  (0.9992322375857)
Disponibilidad VTSC_SALIDA: 1752449 / 1754449  (0.99886004095873)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 5685 / 5800  (0.9801724137931)
Disponibilidad PUERTAS: 5747 / 5800  (0.99086206896552)
Disponibilidad FOTOCELULA: 5742 / 5800  (0.99)
Disponibilidad VARIADOR: 5787 / 5800  (0.99775862068966)
Disponibilidad LECTOR_QR_ENTRADA: 5799 / 5800  (0.9998275862069)
Disponibilidad LECTOR_QR_SALIDA: 5799 / 5800  (0.9998275862069)
Disponibilidad VTSC_ENTRADA: 5799 / 5800  (0.9998275862069)
Disponibilidad VTSC_SALIDA: 5744 / 5800  (0.99034482758621)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 105 / 109  (0.96330275229358)
Disponibilidad PUERTAS: 106 / 109  (0.97247706422018)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 105 / 109  (0.96330275229358)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 108 / 109  (0.99082568807339)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-15 09:05:25
Numero MAVs: 59
Disponibilidad MAVs: 3467620 / 3605570  (0.96173975266047)
Disponibilidad PaySystem: 3462838 / 3600682  (0.96171725245384)
Disponibilidad Printer: 3548054 / 3600682  (0.98538388005383)
Disponibilidad RFID: 3570900 / 3605570  (0.99038432203507)
Disponibilidad PLC: 3599483 / 3605590  (0.99830624114223)
Disponibilidad Conexion: 3605610 / 3698889  (0.97478188720992)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 54 / 59  (0.91525423728814)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2558
Validaciones / Aperturas Ultima: 1988 / 1984  (0.0020120724346076)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	123		123		-0		0
 10.40.1.101	103		104		-0		-0.0097087378640777
 10.40.1.102	95		95		-0		0
 10.40.1.103	91		91		-0		0
 10.40.1.104	84		84		-0		0
 10.40.1.105	80		81		-0		-0.0125
 10.40.1.106	47		47		-0		0
 10.40.1.107	46		46		-0		0
 10.40.1.108	0		0		-0		0
 10.40.1.109	95		95		-0		0
 10.40.1.110	80		80		-0		0
 10.40.1.111	31		31		-0		0
 10.40.1.112	21		21		-0		0
 10.40.1.113	80		80		-0		0
 10.40.10.100	21		21		-0		0
 10.40.10.101	43		43		-0		0
 10.40.11.100	5		5		-0		0
 10.40.11.101	42		42		-0		0
 10.40.11.102	17		17		-0		0
 10.40.12.100	30		30		-0		0
 10.40.12.101	14		14		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	7		7		-0		0
 10.40.13.101	15		15		-0		0
 10.40.13.102	30		30		-0		0
 10.40.13.103	99		99		-0		0
 10.40.13.104	94		94		-0		0
 10.40.13.105	47		47		-0		0
 10.40.15.100	8		8		-0		0
 10.40.15.101	1		1		-0		0
 10.40.16.100	4		4		-0		0
 10.40.16.101	11		11		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	3		3		-0		0
 10.40.18.101	1		1		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	0		0		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	3		3		-0		0
 10.40.20.101	6		6		-0		0
 10.40.21.100	13		13		-0		0
 10.40.21.101	21		21		-0		0
 10.40.21.102	43		43		-0		0
 10.40.21.103	25		25		-0		0
 10.40.22.100	43		43		-0		0
 10.40.22.101	40		40		-0		0
 10.40.22.102	28		28		-0		0
 10.40.22.103	11		11		-0		0
 10.40.23.100	0		0		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	1		1		-0		0
 10.40.25.101	7		0		-0		1
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	1		1		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	15		15		-0		0
 10.40.26.103	24		24		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	3		4		-0		-0.33333333333333
 10.40.27.102	6		6		-0		0
 10.40.27.103	4		4		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	7		7		-0		0
 10.40.30.101	5		5		-0		0
 10.40.4.100	0		0		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	0		0		-0		0
 10.40.5.100	0		0		-0		0
 10.40.5.101	0		0		-0		0
 10.40.5.102	1		1		-0		0
 10.40.5.103	0		0		-0		0
 10.40.6.100	22		22		-0		0
 10.40.6.101	20		20		-0		0
 10.40.7.100	18		18		-0		0
 10.40.7.101	2		2		-0		0
 10.40.7.102	6		6		-0		0
 10.40.7.103	43		43		-0		0
 10.40.7.104	49		49		-0		0
 10.40.7.105	35		35		-0		0
 10.40.8.100	1		1		-0		0
 10.40.8.101	11		11		-0		0
 10.40.8.102	6		6		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	0		0		-0		0
 10.40.9.102	0		0		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-0		0
 10.40.10.101	0		-0		0
 10.40.11.100	0		-0		0
 10.40.11.101	0		-0		0
 10.40.11.102	0		-0		0
 10.40.12.100	0		-0		0
 10.40.12.101	0		-4		4
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-0		0
 10.40.13.104	0		-8		8
 10.40.13.105	0		-0		0
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-0		0
 10.40.2.101	0		-0		0
 10.40.20.100	0		-0		0
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-0		0
 10.40.23.100	0		-0		0
 10.40.23.101	0		-0		0
 10.40.23.102	0		-0		0
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-0		0
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-0		0
 10.40.3.102	0		-2		2
 10.40.3.103	0		-1		1
 10.40.30.100	0		-0		0
 10.40.30.101	0		-0		0
 10.40.4.100	0		-2		2
 10.40.4.101	0		-6		6
 10.40.4.102	0		-5		5
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-4		4
 10.40.6.101	0		-2		2
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-3		3
 10.40.7.103	0		-0		0
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-0		0
 10.40.9.100	0		-4		4
 10.40.9.101	0		-0		0
 10.40.9.102	0		-0		0
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-09-15 09:00:30
Validaciones	Puerta Abierta	Porc.
1988	1984	0.997987927565392
IP	Valid	Puert	Porc
10.40.1.100	123	123	1
10.40.1.101	103	104	1.00970873786408
10.40.1.102	95	95	1
10.40.1.103	91	91	1
10.40.1.104	84	84	1
10.40.1.105	80	81	1.0125
10.40.1.106	47	47	1
10.40.1.107	46	46	1
10.40.1.108	0	0	NULL
10.40.1.109	95	95	1
10.40.1.110	80	80	1
10.40.1.111	31	31	1
10.40.1.112	21	21	1
10.40.1.113	80	80	1
10.40.10.100	21	21	1
10.40.10.101	43	43	1
10.40.11.100	5	5	1
10.40.11.101	42	42	1
10.40.11.102	17	17	1
10.40.12.100	30	30	1
10.40.12.101	14	14	1
10.40.12.102	0	0	NULL
10.40.13.100	7	7	1
10.40.13.101	15	15	1
10.40.13.102	30	30	1
10.40.13.103	99	99	1
10.40.13.104	94	94	1
10.40.13.105	47	47	1
10.40.15.100	8	8	1
10.40.15.101	1	1	1
10.40.16.100	4	4	1
10.40.16.101	11	11	1
10.40.17.100	0	0	NULL
10.40.17.101	0	0	NULL
10.40.17.102	0	0	NULL
10.40.18.100	3	3	1
10.40.18.101	1	1	1
10.40.18.102	0	0	NULL
10.40.2.100	0	0	NULL
10.40.2.101	0	0	NULL
10.40.20.100	3	3	1
10.40.20.101	6	6	1
10.40.21.100	13	13	1
10.40.21.101	21	21	1
10.40.21.102	43	43	1
10.40.21.103	25	25	1
10.40.22.100	43	43	1
10.40.22.101	40	40	1
10.40.22.102	28	28	1
10.40.22.103	11	11	1
10.40.23.100	0	0	NULL
10.40.23.101	0	0	NULL
10.40.23.102	0	0	NULL
10.40.23.103	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	1	1	1
10.40.25.101	7	0	0
10.40.25.102	0	0	NULL
10.40.25.103	0	0	NULL
10.40.26.100	1	1	1
10.40.26.101	0	0	NULL
10.40.26.102	15	15	1
10.40.26.103	24	24	1
10.40.27.100	0	0	NULL
10.40.27.101	3	4	1.33333333333333
10.40.27.102	6	6	1
10.40.27.103	4	4	1
10.40.28.100	0	0	NULL
10.40.28.101	0	0	NULL
10.40.28.102	0	0	NULL
10.40.28.103	0	0	NULL
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	0	0	NULL
10.40.29.105	0	0	NULL
10.40.29.106	0	0	NULL
10.40.29.107	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.102	0	0	NULL
10.40.3.103	0	0	NULL
10.40.30.100	7	7	1
10.40.30.101	5	5	1
10.40.4.100	0	0	NULL
10.40.4.101	0	0	NULL
10.40.4.102	0	0	NULL
10.40.5.100	0	0	NULL
10.40.5.101	0	0	NULL
10.40.5.102	1	1	1
10.40.5.103	0	0	NULL
10.40.6.100	22	22	1
10.40.6.101	20	20	1
10.40.7.100	18	18	1
10.40.7.101	2	2	1
10.40.7.102	6	6	1
10.40.7.103	43	43	1
10.40.7.104	49	49	1
10.40.7.105	35	35	1
10.40.8.100	1	1	1
10.40.8.101	11	11	1
10.40.8.102	6	6	1
10.40.9.100	0	0	NULL
10.40.9.101	0	0	NULL
10.40.9.102	0	0	NULL
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
