+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 16/09/2015 07:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-16 07:00:19
Numero BTs: 109
Disponibilidad MUEBLE: 1733279 / 1768431  (0.98012249276336)
Disponibilidad PUERTAS: 1754032 / 1768045  (0.9920742967515)
Disponibilidad FOTOCELULA: 1759287 / 1768045  (0.99504650616924)
Disponibilidad VARIADOR: 1764192 / 1768045  (0.99782075682463)
Disponibilidad LECTOR_QR_ENTRADA: 1765564 / 1766537  (0.99944920485673)
Disponibilidad LECTOR_QR_SALIDA: 1765566 / 1766538  (0.99944977124749)
Disponibilidad VTSC_ENTRADA: 1767094 / 1768441  (0.99923831216309)
Disponibilidad VTSC_SALIDA: 1766427 / 1768449  (0.99885662521226)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 4487 / 4547  (0.9868044864746)
Disponibilidad PUERTAS: 4537 / 4555  (0.996048298573)
Disponibilidad FOTOCELULA: 4569 / 4566  (1.0006570302234)
Disponibilidad VARIADOR: 4533 / 4573  (0.99125300677892)
Disponibilidad LECTOR_QR_ENTRADA: 4581 / 4582  (0.99978175469227)
Disponibilidad LECTOR_QR_SALIDA: 4581 / 4582  (0.99978175469227)
Disponibilidad VTSC_ENTRADA: 4580 / 4582  (0.99956350938455)
Disponibilidad VTSC_SALIDA: 4580 / 4582  (0.99956350938455)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 107 / 109  (0.98165137614679)
Disponibilidad PUERTAS: 108 / 109  (0.99082568807339)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 108 / 109  (0.99082568807339)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-16 07:01:10
Numero MAVs: 59
Disponibilidad MAVs: 3495642 / 3636133  (0.96136252441811)
Disponibilidad PaySystem: 3490891 / 3631275  (0.96134030058313)
Disponibilidad Printer: 3577645 / 3631302  (0.98522375720885)
Disponibilidad RFID: 3601538 / 3636210  (0.99046479713768)
Disponibilidad PLC: 3629871 / 3636238  (0.99824901450345)
Disponibilidad Conexion: 3636246 / 3730066  (0.97484763004193)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 55 / 59  (0.93220338983051)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 58 / 59  (0.98305084745763)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2580
Validaciones / Aperturas Ultima: 766 / 766  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	25		25		-0		0
 10.40.1.101	5		5		-0		0
 10.40.1.102	6		6		-0		0
 10.40.1.103	5		5		-0		0
 10.40.1.104	2		2		-0		0
 10.40.1.105	2		2		-0		0
 10.40.1.106	1		1		-0		0
 10.40.1.107	25		25		-0		0
 10.40.1.108	1		1		-0		0
 10.40.1.109	35		35		-0		0
 10.40.1.110	32		32		-0		0
 10.40.1.111	16		16		-0		0
 10.40.1.112	2		2		-0		0
 10.40.1.113	20		20		-0		0
 10.40.10.100	9		9		-0		0
 10.40.10.101	11		11		-0		0
 10.40.11.100	5		5		-0		0
 10.40.11.101	27		27		-0		0
 10.40.11.102	0		0		-0		0
 10.40.12.100	13		13		-0		0
 10.40.12.101	12		12		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	4		4		-0		0
 10.40.13.101	3		3		-0		0
 10.40.13.102	12		12		-0		0
 10.40.13.103	87		87		-0		0
 10.40.13.104	54		54		-0		0
 10.40.13.105	40		40		-0		0
 10.40.15.100	1		1		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	1		1		-0		0
 10.40.16.101	3		3		-0		0
 10.40.17.100	2		2		-0		0
 10.40.17.101	12		12		-0		0
 10.40.17.102	4		4		-0		0
 10.40.18.100	12		12		-0		0
 10.40.18.101	3		3		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	4		4		-0		0
 10.40.2.101	1		1		-0		0
 10.40.20.100	5		5		-0		0
 10.40.20.101	5		5		-0		0
 10.40.21.100	3		3		-0		0
 10.40.21.101	10		10		-0		0
 10.40.21.102	31		31		-0		0
 10.40.21.103	8		8		-0		0
 10.40.22.100	4		4		-0		0
 10.40.22.101	7		7		-0		0
 10.40.22.102	3		3		-0		0
 10.40.22.103	3		3		-0		0
 10.40.23.100	13		13		-0		0
 10.40.23.101	6		6		-0		0
 10.40.23.102	3		3		-0		0
 10.40.23.103	2		2		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	1		1		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	3		3		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	1		1		-0		0
 10.40.26.103	2		2		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	1		1		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	3		3		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	2		2		-0		0
 10.40.29.105	2		2		-0		0
 10.40.29.106	2		2		-0		0
 10.40.29.107	2		2		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	1		1		-0		0
 10.40.3.102	2		2		-0		0
 10.40.3.103	1		1		-0		0
 10.40.30.100	0		0		-0		0
 10.40.30.101	4		4		-0		0
 10.40.4.100	2		2		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	2		2		-0		0
 10.40.5.100	2		2		-0		0
