+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 20/09/2015 12:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-20 12:00:21
Numero BTs: 109
Disponibilidad MUEBLE: 1796895 / 1833035  (0.98028406440684)
Disponibilidad PUERTAS: 1817822 / 1832649  (0.99190952550106)
Disponibilidad FOTOCELULA: 1823731 / 1832649  (0.99513381995134)
Disponibilidad VARIADOR: 1828389 / 1832649  (0.9976754959624)
Disponibilidad LECTOR_QR_ENTRADA: 1830166 / 1831141  (0.99946754509893)
Disponibilidad LECTOR_QR_SALIDA: 1830166 / 1831141  (0.99946754509893)
Disponibilidad VTSC_ENTRADA: 1831677 / 1833035  (0.99925915217113)
Disponibilidad VTSC_SALIDA: 1831005 / 1833035  (0.99889254705993)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 7263 / 7713  (0.9416569428238)
Disponibilidad PUERTAS: 7275 / 7713  (0.94321275768184)
Disponibilidad FOTOCELULA: 7709 / 7713  (0.99948139504732)
Disponibilidad VARIADOR: 7420 / 7713  (0.96201218721639)
Disponibilidad LECTOR_QR_ENTRADA: 7713 / 7713  (1)
Disponibilidad LECTOR_QR_SALIDA: 7713 / 7713  (1)
Disponibilidad VTSC_ENTRADA: 7712 / 7713  (0.99987034876183)
Disponibilidad VTSC_SALIDA: 7713 / 7713  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 103 / 109  (0.94495412844037)
Disponibilidad PUERTAS: 103 / 109  (0.94495412844037)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 105 / 109  (0.96330275229358)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-20 12:06:05
Numero MAVs: 59
Disponibilidad MAVs: 3628602 / 3776798  (0.96076147043077)
Disponibilidad PaySystem: 3623820 / 3771910  (0.9607387238826)
Disponibilidad Printer: 3715085 / 3771910  (0.98493468826138)
Disponibilidad RFID: 3740587 / 3776798  (0.99041224868261)
Disponibilidad PLC: 3770133 / 3776798  (0.99823527760817)
Disponibilidad Conexion: 3776798 / 3873082  (0.97514021133557)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 55 / 59  (0.93220338983051)
Disponibilidad Printer: 58 / 59  (0.98305084745763)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2681
Validaciones / Aperturas Ultima: 792 / 792  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	25		25		-0		0
 10.40.1.101	11		11		-0		0
 10.40.1.102	14		14		-0		0
 10.40.1.103	11		11		-0		0
 10.40.1.104	9		9		-0		0
 10.40.1.105	11		11		-0		0
 10.40.1.106	3		3		-0		0
 10.40.1.107	12		12		-0		0
 10.40.1.108	0		0		-0		0
 10.40.1.109	45		45		-0		0
 10.40.1.110	29		29		-0		0
 10.40.1.111	34		34		-0		0
 10.40.1.112	25		25		-0		0
 10.40.1.113	20		20		-0		0
 10.40.10.100	17		17		-0		0
 10.40.10.101	13		13		-0		0
 10.40.11.100	7		7		-0		0
 10.40.11.101	26		26		-0		0
 10.40.11.102	13		13		-0		0
 10.40.12.100	6		6		-0		0
 10.40.12.101	8		8		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	3		3		-0		0
 10.40.13.101	0		0		-0		0
 10.40.13.102	9		9		-0		0
 10.40.13.103	27		27		-0		0
 10.40.13.104	28		28		-0		0
 10.40.13.105	23		23		-0		0
 10.40.15.100	2		2		-0		0
 10.40.15.101	3		3		-0		0
 10.40.16.100	1		1		-0		0
 10.40.16.101	4		4		-0		0
 10.40.17.100	6		6		-0		0
 10.40.17.101	12		12		-0		0
 10.40.17.102	10		10		-0		0
 10.40.18.100	6		6		-0		0
 10.40.18.101	5		5		-0		0
 10.40.18.102	1		1		-0		0
 10.40.2.100	5		5		-0		0
 10.40.2.101	1		1		-0		0
 10.40.20.100	1		1		-0		0
 10.40.20.101	6		6		-0		0
 10.40.21.100	9		9		-0		0
 10.40.21.101	18		18		-0		0
 10.40.21.102	27		27		-0		0
 10.40.21.103	8		8		-0		0
 10.40.22.100	11		11		-0		0
 10.40.22.101	4		4		-0		0
 10.40.22.102	7		7		-0		0
 10.40.22.103	6		6		-0		0
 10.40.23.100	6		6		-0		0
 10.40.23.101	5		5		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	4		4		-0		0
 10.40.30.101	2		2		-0		0
 10.40.4.100	3		3		-0		0
 10.40.4.101	0		0		-0		0
 10.40.4.102	5		5		-0		0
 10.40.5.100	1		1		-0		0
 10.40.5.101	2		2		-0		0
 10.40.5.102	1		1		-0		0
 10.40.5.103	1		1		-0		0
 10.40.6.100	11		11		-0		0
 10.40.6.101	13		13		-0		0
 10.40.7.100	9		9		-0		0
 10.40.7.101	4		4		-0		0
 10.40.7.102	6		6		-0		0
 10.40.7.103	13		13		-0		0
 10.40.7.104	6		6		-0		0
 10.40.7.105	5		5		-0		0
 10.40.8.100	1		1		-0		0
 10.40.8.101	5		5		-0		0
 10.40.8.102	0		0		-0		0
 10.40.9.100	9		9		-0		0
 10.40.9.101	61		61		-0		0
 10.40.9.102	37		37		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-2		2
 10.40.10.101	0		-0		0
 10.40.11.100	0		-0		0
 10.40.11.101	0		-0		0
 10.40.11.102	0		-6		6
 10.40.12.100	0		-0		0
 10.40.12.101	0		-0		0
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-2		2
 10.40.13.104	0		-0		0
 10.40.13.105	0		-0		0
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-0		0
 10.40.2.101	0		-2		2
 10.40.20.100	0		-0		0
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-0		0
 10.40.23.100	0		-0		0
 10.40.23.101	0		-0		0
 10.40.23.102	0		-2		2
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-2		2
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-2		2
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-0		0
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-6		6
 10.40.3.102	0		-0		0
 10.40.3.103	0		-2		2
 10.40.30.100	0		-0		0
 10.40.30.101	0		-2		2
 10.40.4.100	0		-4		4
 10.40.4.101	0		-0		0
 10.40.4.102	0		-0		0
 10.40.5.100	0		-2		2
 10.40.5.101	0		-6		6
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-0		0
