+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 20/09/2015 20:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-20 20:00:23
Numero BTs: 109
Disponibilidad MUEBLE: 1801675 / 1838122  (0.98017160993666)
Disponibilidad PUERTAS: 1822621 / 1837736  (0.99177520601436)
Disponibilidad FOTOCELULA: 1828806 / 1837736  (0.99514076015271)
Disponibilidad VARIADOR: 1833278 / 1837736  (0.99757418911095)
Disponibilidad LECTOR_QR_ENTRADA: 1835253 / 1836228  (0.99946902018704)
Disponibilidad LECTOR_QR_SALIDA: 1835253 / 1836228  (0.99946902018704)
Disponibilidad VTSC_ENTRADA: 1836764 / 1838122  (0.99926120246643)
Disponibilidad VTSC_SALIDA: 1836092 / 1838122  (0.99889561193435)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 12043 / 12800  (0.940859375)
Disponibilidad PUERTAS: 12074 / 12800  (0.94328125)
Disponibilidad FOTOCELULA: 12784 / 12800  (0.99875)
Disponibilidad VARIADOR: 12309 / 12800  (0.961640625)
Disponibilidad LECTOR_QR_ENTRADA: 12800 / 12800  (1)
Disponibilidad LECTOR_QR_SALIDA: 12800 / 12800  (1)
Disponibilidad VTSC_ENTRADA: 12799 / 12800  (0.999921875)
Disponibilidad VTSC_SALIDA: 12800 / 12800  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 101 / 109  (0.92660550458716)
Disponibilidad PUERTAS: 103 / 109  (0.94495412844037)
Disponibilidad FOTOCELULA: 107 / 109  (0.98165137614679)
Disponibilidad VARIADOR: 105 / 109  (0.96330275229358)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-20 20:05:03
Numero MAVs: 59
Disponibilidad MAVs: 3638991 / 3787850  (0.96070092532703)
Disponibilidad PaySystem: 3634240 / 3783002  (0.96067620371335)
Disponibilidad Printer: 3726192 / 3783024  (0.98497709768693)
Disponibilidad RFID: 3751529 / 3787934  (0.99038922008673)
Disponibilidad PLC: 3781189 / 3787934  (0.99821934595481)
Disponibilidad Conexion: 3787934 / 3884410  (0.9751632809101)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 55 / 59  (0.93220338983051)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 58 / 59  (0.98305084745763)
Disponibilidad PLC: 58 / 59  (0.98305084745763)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2689
Validaciones / Aperturas Ultima: 689 / 689  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	33		33		-0		0
 10.40.1.101	19		19		-0		0
 10.40.1.102	11		11		-0		0
 10.40.1.103	9		9		-0		0
 10.40.1.104	1		1		-0		0
 10.40.1.105	3		3		-0		0
 10.40.1.106	2		2		-0		0
 10.40.1.107	12		12		-0		0
 10.40.1.108	0		0		-0		0
 10.40.1.109	39		39		-0		0
 10.40.1.110	24		24		-0		0
 10.40.1.111	39		39		-0		0
 10.40.1.112	37		37		-0		0
 10.40.1.113	25		25		-0		0
 10.40.10.100	5		5		-0		0
 10.40.10.101	3		3		-0		0
 10.40.11.100	1		1		-0		0
 10.40.11.101	22		22		-0		0
 10.40.11.102	5		5		-0		0
 10.40.12.100	4		4		-0		0
 10.40.12.101	11		11		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	7		7		-0		0
 10.40.13.101	0		0		-0		0
 10.40.13.102	5		5		-0		0
 10.40.13.103	26		26		-0		0
 10.40.13.104	39		39		-0		0
 10.40.13.105	23		23		-0		0
 10.40.15.100	2		2		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	2		2		-0		0
 10.40.17.100	7		7		-0		0
 10.40.17.101	3		3		-0		0
 10.40.17.102	5		5		-0		0
 10.40.18.100	11		11		-0		0
 10.40.18.101	5		5		-0		0
 10.40.18.102	5		5		-0		0
 10.40.2.100	3		3		-0		0
 10.40.2.101	5		5		-0		0
 10.40.20.100	22		22		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	17		17		-0		0
 10.40.21.101	20		20		-0		0
 10.40.21.102	29		29		-0		0
 10.40.21.103	14		14		-0		0
 10.40.22.100	14		14		-0		0
 10.40.22.101	7		7		-0		0
 10.40.22.102	3		3		-0		0
 10.40.22.103	7		7		-0		0
 10.40.23.100	3		3		-0		0
 10.40.23.101	4		4		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	1		1		-0		0
 10.40.30.101	1		1		-0		0
 10.40.4.100	4		4		-0		0
 10.40.4.101	2		2		-0		0
 10.40.4.102	9		9		-0		0
 10.40.5.100	7		7		-0		0
 10.40.5.101	6		6		-0		0
 10.40.5.102	4		4		-0		0
 10.40.5.103	4		4		-0		0
 10.40.6.100	4		4		-0		0
 10.40.6.101	3		3		-0		0
 10.40.7.100	2		2		-0		0
 10.40.7.101	2		2		-0		0
 10.40.7.102	1		1		-0		0
 10.40.7.103	6		6		-0		0
 10.40.7.104	9		9		-0		0
 10.40.7.105	1		1		-0		0
 10.40.8.100	2		2		-0		0
 10.40.8.101	10		10		-0		0
 10.40.8.102	0		0		-0		0
 10.40.9.100	0		0		-0		0
 10.40.9.101	13		13		-0		0
 10.40.9.102	5		5		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-2		2
 10.40.10.101	0		-0		0
 10.40.11.100	0		-0		0
 10.40.11.101	0		-0		0
 10.40.11.102	0		-0		0
 10.40.12.100	0		-2		2
 10.40.12.101	0		-3		3
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-2		2
 10.40.13.104	0		-6		6
 10.40.13.105	0		-0		0
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-0		0
 10.40.2.101	0		-2		2
 10.40.20.100	0		-5		5
 10.40.20.101	0		-7		7
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-0		0
 10.40.23.100	0		-0		0
 10.40.23.101	0		-0		0
 10.40.23.102	0		-2		2
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-0		0
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-0		0
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-6		6
 10.40.3.102	0		-0		0
 10.40.3.103	0		-4		4
 10.40.30.100	0		-0		0
 10.40.30.101	0		-2		2
 10.40.4.100	0		-4		4
 10.40.4.101	0		-0		0
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-0		0
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-0		0
 10.40.7.103	0		-0		0
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-0		0
 10.40.8.102	0		-0		0
 10.40.9.100	0		-0		0
 10.40.9.101	0		-0		0
 10.40.9.102	0		-2		2
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-09-20 19:59:32
Validaciones	Puerta Abierta	Porc.
689	689	1
IP	Valid	Puert	Porc
10.40.1.100	33	33	1
10.40.1.101	19	19	1
10.40.1.102	11	11	1
10.40.1.103	9	9	1
10.40.1.104	1	1	1
10.40.1.105	3	3	1
10.40.1.106	2	2	1
10.40.1.107	12	12	1
10.40.1.108	0	0	NULL
10.40.1.109	39	39	1
10.40.1.110	24	24	1
10.40.1.111	39	39	1
10.40.1.112	37	37	1
10.40.1.113	25	25	1
10.40.10.100	5	5	1
10.40.10.101	3	3	1
10.40.11.100	1	1	1
10.40.11.101	22	22	1
10.40.11.102	5	5	1
10.40.12.100	4	4	1
10.40.12.101	11	11	1
10.40.12.102	0	0	NULL
10.40.13.100	7	7	1
10.40.13.101	0	0	NULL
10.40.13.102	5	5	1
10.40.13.103	26	26	1
10.40.13.104	39	39	1
10.40.13.105	23	23	1
10.40.15.100	2	2	1
10.40.15.101	0	0	NULL
10.40.16.100	0	0	NULL
10.40.16.101	2	2	1
10.40.17.100	7	7	1
10.40.17.101	3	3	1
10.40.17.102	5	5	1
10.40.18.100	11	11	1
10.40.18.101	5	5	1
10.40.18.102	5	5	1
10.40.2.100	3	3	1
10.40.2.101	5	5	1
10.40.20.100	22	22	1
10.40.20.101	0	0	NULL
10.40.21.100	17	17	1
10.40.21.101	20	20	1
10.40.21.102	29	29	1
10.40.21.103	14	14	1
10.40.22.100	14	14	1
10.40.22.101	7	7	1
10.40.22.102	3	3	1
10.40.22.103	7	7	1
10.40.23.100	3	3	1
10.40.23.101	4	4	1
10.40.23.102	0	0	NULL
10.40.23.103	0	0	NULL
10.40.24.100	0	0	NULL
10.40.24.101	0	0	NULL
10.40.24.102	0	0	NULL
10.40.24.103	0	0	NULL
10.40.25.100	0	0	NULL
10.40.25.101	0	0	NULL
10.40.25.102	0	0	NULL
10.40.25.103	0	0	NULL
10.40.26.100	0	0	NULL
10.40.26.101	0	0	NULL
10.40.26.102	0	0	NULL
10.40.26.103	0	0	NULL
10.40.27.100	0	0	NULL
10.40.27.101	0	0	NULL
10.40.27.102	0	0	NULL
10.40.27.103	0	0	NULL
10.40.28.100	0	0	NULL
10.40.28.101	0	0	NULL
10.40.28.102	0	0	NULL
10.40.28.103	0	0	NULL
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	0	0	NULL
10.40.29.105	0	0	NULL
10.40.29.106	0	0	NULL
10.40.29.107	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.102	0	0	NULL
10.40.3.103	0	0	NULL
10.40.30.100	1	1	1
10.40.30.101	1	1	1
10.40.4.100	4	4	1
10.40.4.101	2	2	1
10.40.4.102	9	9	1
10.40.5.100	7	7	1
10.40.5.101	6	6	1
10.40.5.102	4	4	1
10.40.5.103	4	4	1
10.40.6.100	4	4	1
10.40.6.101	3	3	1
10.40.7.100	2	2	1
10.40.7.101	2	2	1
10.40.7.102	1	1	1
10.40.7.103	6	6	1
10.40.7.104	9	9	1
10.40.7.105	1	1	1
10.40.8.100	2	2	1
10.40.8.101	10	10	1
10.40.8.102	0	0	NULL
10.40.9.100	0	0	NULL
10.40.9.101	13	13	1
10.40.9.102	5	5	1
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
