+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 21/09/2015 12:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-21 12:00:21
Numero BTs: 109
Disponibilidad MUEBLE: 1811105 / 1848190  (0.97993442232671)
Disponibilidad PUERTAS: 1832166 / 1847804  (0.99153698119498)
Disponibilidad FOTOCELULA: 1838767 / 1847804  (0.9951093297774)
Disponibilidad VARIADOR: 1843063 / 1847804  (0.9974342516847)
Disponibilidad LECTOR_QR_ENTRADA: 1845321 / 1846296  (0.99947191566249)
Disponibilidad LECTOR_QR_SALIDA: 1845321 / 1846296  (0.99947191566249)
Disponibilidad VTSC_ENTRADA: 1846832 / 1848190  (0.99926522705999)
Disponibilidad VTSC_SALIDA: 1846158 / 1848190  (0.99890054593954)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 7172 / 7631  (0.93985060935657)
Disponibilidad PUERTAS: 7262 / 7631  (0.95164460752195)
Disponibilidad FOTOCELULA: 7549 / 7631  (0.9892543572271)
Disponibilidad VARIADOR: 7440 / 7631  (0.97497051500459)
Disponibilidad LECTOR_QR_ENTRADA: 7631 / 7631  (1)
Disponibilidad LECTOR_QR_SALIDA: 7631 / 7631  (1)
Disponibilidad VTSC_ENTRADA: 7631 / 7631  (1)
Disponibilidad VTSC_SALIDA: 7629 / 7631  (0.99973791115188)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-21 12:05:09
Numero MAVs: 59
Disponibilidad MAVs: 3659551 / 3809790  (0.96056501801937)
Disponibilidad PaySystem: 3654803 / 3804934  (0.9605430738089)
Disponibilidad Printer: 3748094 / 3804964  (0.98505373506819)
Disponibilidad RFID: 3773222 / 3809860  (0.99038337366727)
Disponibilidad PLC: 3802787 / 3809860  (0.99814350133601)
Disponibilidad Conexion: 3809860 / 3907066  (0.97512046123613)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 57 / 59  (0.96610169491525)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2705
Validaciones / Aperturas Ultima: 1309 / 1310  (-0.00076394194041253)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	46		46		-0		0
 10.40.1.101	28		28		-0		0
 10.40.1.102	34		34		-0		0
 10.40.1.103	33		33		-0		0
 10.40.1.104	45		45		-0		0
 10.40.1.105	32		32		-0		0
 10.40.1.106	21		21		-0		0
 10.40.1.107	55		55		-0		0
 10.40.1.108	0		0		-0		0
 10.40.1.109	47		48		-0		-0.021276595744681
 10.40.1.110	69		69		-0		0
 10.40.1.111	51		51		-0		0
 10.40.1.112	53		53		-0		0
 10.40.1.113	26		26		-0		0
 10.40.10.100	18		18		-0		0
 10.40.10.101	12		12		-0		0
 10.40.11.100	4		4		-0		0
 10.40.11.101	15		15		-0		0
 10.40.11.102	13		13		-0		0
 10.40.12.100	8		8		-0		0
 10.40.12.101	10		10		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	7		7		-0		0
 10.40.13.101	6		6		-0		0
 10.40.13.102	22		22		-0		0
 10.40.13.103	66		66		-0		0
 10.40.13.104	71		71		-0		0
 10.40.13.105	37		37		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	2		2		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	3		3		-0		0
 10.40.17.100	6		6		-0		0
 10.40.17.101	10		10		-0		0
 10.40.17.102	11		11		-0		0
 10.40.18.100	18		18		-0		0
 10.40.18.101	6		6		-0		0
 10.40.18.102	5		5		-0		0
 10.40.2.100	4		4		-0		0
 10.40.2.101	3		3		-0		0
 10.40.20.100	4		4		-0		0
 10.40.20.101	8		8		-0		0
 10.40.21.100	5		5		-0		0
 10.40.21.101	18		18		-0		0
 10.40.21.102	21		21		-0		0
 10.40.21.103	23		23		-0		0
 10.40.22.100	13		13		-0		0
 10.40.22.101	9		9		-0		0
 10.40.22.102	11		11		-0		0
 10.40.22.103	1		1		-0		0
 10.40.23.100	5		5		-0		0
 10.40.23.101	7		7		-0		0
 10.40.23.102	11		11		-0		0
 10.40.23.103	11		11		-0		0
 10.40.24.100	2		2		-0		0
 10.40.24.101	4		4		-0		0
 10.40.24.102	1		1		-0		0
 10.40.24.103	2		2		-0		0
 10.40.25.100	4		4		-0		0
 10.40.25.101	4		4		-0		0
 10.40.25.102	10		10		-0		0
 10.40.25.103	5		5		-0		0
 10.40.26.100	4		4		-0		0
 10.40.26.101	6		6		-0		0
 10.40.26.102	4		4		-0		0
 10.40.26.103	4		4		-0		0
 10.40.27.100	2		2		-0		0
 10.40.27.101	2		2		-0		0
 10.40.27.102	5		5		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	1		1		-0		0
 10.40.28.102	1		1		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	5		5		-0		0
 10.40.30.101	4		4		-0		0
 10.40.4.100	10		10		-0		0
