+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 21/09/2015 13:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-21 13:00:21
Numero BTs: 109
Disponibilidad MUEBLE: 1811736 / 1848823  (0.97994021060967)
Disponibilidad PUERTAS: 1832799 / 1848437  (0.99153987936835)
Disponibilidad FOTOCELULA: 1839398 / 1848437  (0.99510992259947)
Disponibilidad VARIADOR: 1843696 / 1848437  (0.99743513032903)
Disponibilidad LECTOR_QR_ENTRADA: 1845954 / 1846929  (0.99947209665342)
Disponibilidad LECTOR_QR_SALIDA: 1845954 / 1846929  (0.99947209665342)
Disponibilidad VTSC_ENTRADA: 1847465 / 1848823  (0.99926547863154)
Disponibilidad VTSC_SALIDA: 1846791 / 1848823  (0.99890092237061)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 7803 / 8264  (0.94421587608906)
Disponibilidad PUERTAS: 7895 / 8264  (0.95534849951597)
Disponibilidad FOTOCELULA: 8180 / 8264  (0.98983543078412)
Disponibilidad VARIADOR: 8073 / 8264  (0.97688770571152)
Disponibilidad LECTOR_QR_ENTRADA: 8264 / 8264  (1)
Disponibilidad LECTOR_QR_SALIDA: 8264 / 8264  (1)
Disponibilidad VTSC_ENTRADA: 8264 / 8264  (1)
Disponibilidad VTSC_SALIDA: 8262 / 8264  (0.99975798644724)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-21 13:05:03
Numero MAVs: 59
Disponibilidad MAVs: 3660893 / 3811168  (0.96056983056113)
Disponibilidad PaySystem: 3656140 / 3806310  (0.9605470915401)
Disponibilidad Printer: 3749460 / 3806328  (0.98505961651229)
Disponibilidad RFID: 3774614 / 3811245  (0.99038870500322)
Disponibilidad PLC: 3804179 / 3811252  (0.99814417939302)
Disponibilidad Conexion: 3811252 / 3908482  (0.97512333432775)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 58 / 59  (0.98305084745763)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2706
Validaciones / Aperturas Ultima: 1378 / 1372  (0.0043541364296081)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	57		57		-0		0
 10.40.1.101	36		36		-0		0
 10.40.1.102	23		23		-0		0
 10.40.1.103	37		37		-0		0
 10.40.1.104	25		25		-0		0
 10.40.1.105	37		37		-0		0
 10.40.1.106	21		21		-0		0
 10.40.1.107	39		39		-0		0
 10.40.1.108	0		0		-0		0
 10.40.1.109	66		67		-0		-0.015151515151515
 10.40.1.110	46		46		-0		0
 10.40.1.111	61		61		-0		0
 10.40.1.112	46		46		-0		0
 10.40.1.113	31		31		-0		0
 10.40.10.100	18		18		-0		0
 10.40.10.101	15		15		-0		0
 10.40.11.100	5		5		-0		0
 10.40.11.101	31		31		-0		0
 10.40.11.102	19		19		-0		0
 10.40.12.100	9		9		-0		0
 10.40.12.101	9		9		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	1		1		-0		0
 10.40.13.101	14		8		-0		0.42857142857143
 10.40.13.102	23		23		-0		0
 10.40.13.103	39		39		-0		0
 10.40.13.104	44		44		-0		0
 10.40.13.105	48		48		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	3		3		-0		0
 10.40.16.100	5		5		-0		0
 10.40.16.101	3		3		-0		0
 10.40.17.100	10		10		-0		0
 10.40.17.101	6		6		-0		0
 10.40.17.102	12		12		-0		0
 10.40.18.100	15		15		-0		0
 10.40.18.101	7		7		-0		0
 10.40.18.102	6		6		-0		0
 10.40.2.100	6		6		-0		0
 10.40.2.101	4		4		-0		0
 10.40.20.100	10		10		-0		0
 10.40.20.101	7		6		-0		0.14285714285714
 10.40.21.100	17		17		-0		0
 10.40.21.101	26		26		-0		0
 10.40.21.102	21		21		-0		0
 10.40.21.103	22		22		-0		0
 10.40.22.100	17		17		-0		0
 10.40.22.101	13		13		-0		0
 10.40.22.102	10		10		-0		0
 10.40.22.103	9		9		-0		0
 10.40.23.100	6		6		-0		0
 10.40.23.101	4		4		-0		0
 10.40.23.102	9		9		-0		0
 10.40.23.103	9		9		-0		0
 10.40.24.100	5		5		-0		0
 10.40.24.101	2		2		-0		0
 10.40.24.102	5		5		-0		0
 10.40.24.103	2		2		-0		0
 10.40.25.100	5		5		-0		0
 10.40.25.101	9		9		-0		0
 10.40.25.102	7		7		-0		0
 10.40.25.103	3		3		-0		0
 10.40.26.100	2		2		-0		0
 10.40.26.101	4		4		-0		0
 10.40.26.102	2		2		-0		0
 10.40.26.103	4		4		-0		0
 10.40.27.100	9		9		-0		0
 10.40.27.101	1		1		-0		0
 10.40.27.102	1		1		-0		0
 10.40.27.103	3		3		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	1		1		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	4		4		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	12		12		-0		0
 10.40.30.101	9		9		-0		0
 10.40.4.100	6		6		-0		0
 10.40.4.101	7		7		-0		0
 10.40.4.102	13		13		-0		0
 10.40.5.100	11		11		-0		0
 10.40.5.101	4		4		-0		0
 10.40.5.102	3		3		-0		0
 10.40.5.103	5		5		-0		0
 10.40.6.100	9		9		-0		0
 10.40.6.101	14		14		-0		0
 10.40.7.100	10		10		-0		0
 10.40.7.101	5		5		-0		0
 10.40.7.102	5		5		-0		0
 10.40.7.103	18		18		-0		0
 10.40.7.104	21		21		-0		0
 10.40.7.105	15		15		-0		0
 10.40.8.100	2		2		-0		0
 10.40.8.101	19		19		-0		0
 10.40.8.102	6		6		-0		0
 10.40.9.100	6		6		-0		0
 10.40.9.101	39		39		-0		0
 10.40.9.102	13		13		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-0		0
 10.40.10.101	0		-0		0
 10.40.11.100	0		-0		0
 10.40.11.101	0		-0		0
 10.40.11.102	0		-0		0
 10.40.12.100	0		-0		0
 10.40.12.101	0		-5		5
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-0		0
 10.40.13.104	0		-4		4
 10.40.13.105	0		-2		2
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-0		0
 10.40.2.101	0		-0		0
 10.40.20.100	0		-5		5
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-2		2
 10.40.23.100	0		-7		7
 10.40.23.101	0		-0		0
 10.40.23.102	0		-0		0
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-2		2
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-1		1
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-2		2
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-6		6
 10.40.3.102	0		-0		0
 10.40.3.103	0		-0		0
 10.40.30.100	0		-0		0
 10.40.30.101	0		-2		2
 10.40.4.100	0		-2		2
 10.40.4.101	0		-0		0
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-0		0
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-0		0
 10.40.7.103	0		-0		0
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-1		1
 10.40.8.102	0		-0		0
 10.40.9.100	0		-0		0
 10.40.9.101	0		-0		0
 10.40.9.102	0		-0		0
 


---------------------------- 9. Validaciones / Puerta -----------------------
fechaComienzo
2015-09-21 12:59:33
Validaciones	Puerta Abierta	Porc.
1378	1372	0.995645863570392
IP	Valid	Puert	Porc
10.40.1.100	57	57	1
10.40.1.101	36	36	1
10.40.1.102	23	23	1
10.40.1.103	37	37	1
10.40.1.104	25	25	1
10.40.1.105	37	37	1
10.40.1.106	21	21	1
10.40.1.107	39	39	1
10.40.1.108	0	0	NULL
10.40.1.109	66	67	1.01515151515152
10.40.1.110	46	46	1
10.40.1.111	61	61	1
10.40.1.112	46	46	1
10.40.1.113	31	31	1
10.40.10.100	18	18	1
10.40.10.101	15	15	1
10.40.11.100	5	5	1
10.40.11.101	31	31	1
10.40.11.102	19	19	1
10.40.12.100	9	9	1
10.40.12.101	9	9	1
10.40.12.102	0	0	NULL
10.40.13.100	1	1	1
10.40.13.101	14	8	0.571428571428571
10.40.13.102	23	23	1
10.40.13.103	39	39	1
10.40.13.104	44	44	1
10.40.13.105	48	48	1
10.40.15.100	0	0	NULL
10.40.15.101	3	3	1
10.40.16.100	5	5	1
10.40.16.101	3	3	1
10.40.17.100	10	10	1
10.40.17.101	6	6	1
10.40.17.102	12	12	1
10.40.18.100	15	15	1
10.40.18.101	7	7	1
10.40.18.102	6	6	1
10.40.2.100	6	6	1
10.40.2.101	4	4	1
10.40.20.100	10	10	1
10.40.20.101	7	6	0.857142857142857
10.40.21.100	17	17	1
10.40.21.101	26	26	1
10.40.21.102	21	21	1
10.40.21.103	22	22	1
10.40.22.100	17	17	1
10.40.22.101	13	13	1
10.40.22.102	10	10	1
10.40.22.103	9	9	1
10.40.23.100	6	6	1
10.40.23.101	4	4	1
10.40.23.102	9	9	1
10.40.23.103	9	9	1
10.40.24.100	5	5	1
10.40.24.101	2	2	1
10.40.24.102	5	5	1
10.40.24.103	2	2	1
10.40.25.100	5	5	1
10.40.25.101	9	9	1
10.40.25.102	7	7	1
10.40.25.103	3	3	1
10.40.26.100	2	2	1
10.40.26.101	4	4	1
10.40.26.102	2	2	1
10.40.26.103	4	4	1
10.40.27.100	9	9	1
10.40.27.101	1	1	1
10.40.27.102	1	1	1
10.40.27.103	3	3	1
10.40.28.100	0	0	NULL
10.40.28.101	1	1	1
10.40.28.102	0	0	NULL
10.40.28.103	4	4	1
10.40.29.100	0	0	NULL
10.40.29.101	0	0	NULL
10.40.29.102	0	0	NULL
10.40.29.103	0	0	NULL
10.40.29.104	0	0	NULL
10.40.29.105	0	0	NULL
10.40.29.106	0	0	NULL
10.40.29.107	0	0	NULL
10.40.3.100	0	0	NULL
10.40.3.101	0	0	NULL
10.40.3.102	0	0	NULL
10.40.3.103	0	0	NULL
10.40.30.100	12	12	1
10.40.30.101	9	9	1
10.40.4.100	6	6	1
10.40.4.101	7	7	1
10.40.4.102	13	13	1
10.40.5.100	11	11	1
10.40.5.101	4	4	1
10.40.5.102	3	3	1
10.40.5.103	5	5	1
10.40.6.100	9	9	1
10.40.6.101	14	14	1
10.40.7.100	10	10	1
10.40.7.101	5	5	1
10.40.7.102	5	5	1
10.40.7.103	18	18	1
10.40.7.104	21	21	1
10.40.7.105	15	15	1
10.40.8.100	2	2	1
10.40.8.101	19	19	1
10.40.8.102	6	6	1
10.40.9.100	6	6	1
10.40.9.101	39	39	1
10.40.9.102	13	13	1
+--------------------------------------------------------------------------------+
+--                               FIN DEL REPORTE                              --+
+--------------------------------------------------------------------------------+
