+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 21/09/2015 17:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-21 17:00:20
Numero BTs: 109
Disponibilidad MUEBLE: 1814272 / 1851367  (0.97996345403153)
Disponibilidad PUERTAS: 1835343 / 1850981  (0.99155150701169)
Disponibilidad FOTOCELULA: 1841941 / 1850981  (0.99511610329874)
Disponibilidad VARIADOR: 1846240 / 1850981  (0.99743865550214)
Disponibilidad LECTOR_QR_ENTRADA: 1848498 / 1849473  (0.99947282279871)
Disponibilidad LECTOR_QR_SALIDA: 1848498 / 1849473  (0.99947282279871)
Disponibilidad VTSC_ENTRADA: 1850009 / 1851367  (0.99926648795188)
Disponibilidad VTSC_SALIDA: 1849335 / 1851367  (0.99890243263491)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 10339 / 10808  (0.95660621761658)
Disponibilidad PUERTAS: 10439 / 10808  (0.96585862324204)
Disponibilidad FOTOCELULA: 10723 / 10808  (0.99213545521836)
Disponibilidad VARIADOR: 10617 / 10808  (0.98232790525537)
Disponibilidad LECTOR_QR_ENTRADA: 10808 / 10808  (1)
Disponibilidad LECTOR_QR_SALIDA: 10808 / 10808  (1)
Disponibilidad VTSC_ENTRADA: 10808 / 10808  (1)
Disponibilidad VTSC_SALIDA: 10806 / 10808  (0.99981495188749)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 109 / 109  (1)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-21 17:06:33
Numero MAVs: 59
Disponibilidad MAVs: 3666272 / 3816798  (0.96056223043504)
Disponibilidad PaySystem: 3661490 / 3811910  (0.9605394670913)
Disponibilidad Printer: 3754834 / 3811910  (0.9850269287575)
Disponibilidad RFID: 3780156 / 3816798  (0.99039980632981)
Disponibilidad PLC: 3809725 / 3816798  (0.99814687599396)
Disponibilidad Conexion: 3816798 / 3914146  (0.975129185268)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 56 / 59  (0.94915254237288)
Disponibilidad Printer: 56 / 59  (0.94915254237288)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2710
Validaciones / Aperturas Ultima: 1597 / 1599  (-0.0012523481527865)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	52		53		-0		-0.019230769230769
 10.40.1.101	42		42		-0		0
 10.40.1.102	44		44		-0		0
 10.40.1.103	49		49		-0		0
 10.40.1.104	37		37		-0		0
 10.40.1.105	38		38		-0		0
 10.40.1.106	21		21		-0		0
 10.40.1.107	38		38		-0		0
 10.40.1.108	0		0		-0		0
 10.40.1.109	76		76		-0		0
 10.40.1.110	78		78		-0		0
 10.40.1.111	74		74		-0		0
 10.40.1.112	71		71		-0		0
 10.40.1.113	48		48		-0		0
 10.40.10.100	15		15		-0		0
 10.40.10.101	16		16		-0		0
 10.40.11.100	8		8		-0		0
 10.40.11.101	20		20		-0		0
 10.40.11.102	17		17		-0		0
 10.40.12.100	5		5		-0		0
 10.40.12.101	14		14		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	11		11		-0		0
 10.40.13.101	14		14		-0		0
 10.40.13.102	32		32		-0		0
 10.40.13.103	54		54		-0		0
 10.40.13.104	51		51		-0		0
 10.40.13.105	36		36		-0		0
 10.40.15.100	5		5		-0		0
 10.40.15.101	4		4		-0		0
 10.40.16.100	2		2		-0		0
 10.40.16.101	8		8		-0		0
 10.40.17.100	8		8		-0		0
 10.40.17.101	14		14		-0		0
 10.40.17.102	13		13		-0		0
 10.40.18.100	23		23		-0		0
 10.40.18.101	9		9		-0		0
 10.40.18.102	8		8		-0		0
 10.40.2.100	7		7		-0		0
 10.40.2.101	8		8		-0		0
 10.40.20.100	18		18		-0		0
 10.40.20.101	0		1		-0		
 10.40.21.100	14		14		-0		0
 10.40.21.101	19		19		-0		0
 10.40.21.102	19		19		-0		0
 10.40.21.103	15		15		-0		0
 10.40.22.100	11		11		-0		0
 10.40.22.101	18		18		-0		0
 10.40.22.102	7		7		-0		0
 10.40.22.103	9		9		-0		0
 10.40.23.100	12		12		-0		0
 10.40.23.101	13		13		-0		0
 10.40.23.102	4		4		-0		0
 10.40.23.103	8		8		-0		0
 10.40.24.100	1		1		-0		0
 10.40.24.101	5		5		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	1		1		-0		0
 10.40.25.101	4		4		-0		0
 10.40.25.102	3		3		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	3		3		-0		0
 10.40.26.101	4		4		-0		0
 10.40.26.102	2		2		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	3		3		-0		0
 10.40.27.101	4		4		-0		0
 10.40.27.102	2		2		-0		0
 10.40.27.103	1		1		-0		0
 10.40.28.100	2		2		-0		0
 10.40.28.101	1		1		-0		0
 10.40.28.102	1		1		-0		0
 10.40.28.103	1		1		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	5		5		-0		0
 10.40.30.101	6		6		-0		0
 10.40.4.100	7		7		-0		0
 10.40.4.101	5		5		-0		0
 10.40.4.102	23		23		-0		0
 10.40.5.100	14		14		-0		0
 10.40.5.101	8		8		-0		0
 10.40.5.102	13		13		-0		0
 10.40.5.103	4		4		-0		0
 10.40.6.100	11		11		-0		0
 10.40.6.101	25		25		-0		0
 10.40.7.100	6		6		-0		0
 10.40.7.101	3		3		-0		0
 10.40.7.102	4		4		-0		0
 10.40.7.103	24		24		-0		0
 10.40.7.104	24		24		-0		0
 10.40.7.105	14		14		-0		0
 10.40.8.100	5		5		-0		0
 10.40.8.101	24		24		-0		0
 10.40.8.102	13		13		-0		0
 10.40.9.100	15		15		-0		0
 10.40.9.101	34		34		-0		0
 10.40.9.102	35		35		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-0		0
 10.40.10.101	0		-0		0
 10.40.11.100	0		-0		0
 10.40.11.101	0		-0		0
 10.40.11.102	0		-0		0
 10.40.12.100	0		-0		0
 10.40.12.101	0		-5		5
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-0		0
 10.40.13.104	0		-4		4
 10.40.13.105	0		-4		4
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-0		0
 10.40.2.101	0		-0		0
 10.40.20.100	0		-5		5
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-2		2
 10.40.23.100	0		-7		7
 10.40.23.101	0		-0		0
 10.40.23.102	0		-0		0
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-2		2
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
 10.40.28.103	0		-0		0
 10.40.29.100	0		-0		0
 10.40.29.101	0		-0		0
 10.40.29.102	0		-0		0
 10.40.29.103	0		-0		0
 10.40.29.104	0		-2		2
 10.40.29.105	0		-0		0
 10.40.29.106	0		-0		0
 10.40.29.107	0		-0		0
 10.40.3.100	0		-0		0
 10.40.3.101	0		-0		0
 10.40.3.102	0		-0		0
 10.40.3.103	0		-0		0
 10.40.30.100	0		-0		0
 10.40.30.101	0		-2		2
 10.40.4.100	0		-2		2
 10.40.4.101	0		-0		0
 10.40.4.102	0		-0		0
 10.40.5.100	0		-0		0
 10.40.5.101	0		-0		0
 10.40.5.102	0		-0		0
 10.40.5.103	0		-0		0
 10.40.6.100	0		-0		0
 10.40.6.101	0		-0		0
 10.40.7.100	0		-0		0
 10.40.7.101	0		-0		0
 10.40.7.102	0		-0		0
 10.40.7.103	0		-0		0
 10.40.7.104	0		-0		0
 10.40.7.105	0		-0		0
 10.40.8.100	0		-0		0
 10.40.8.101	0		-1		1
 10.40.8.102	0		-0		0
