+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 21/09/2015 19:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-21 19:00:23
Numero BTs: 109
Disponibilidad MUEBLE: 1815535 / 1852638  (0.97997288191217)
Disponibilidad PUERTAS: 1836611 / 1852252  (0.99155568464766)
Disponibilidad FOTOCELULA: 1843212 / 1852252  (0.99511945458825)
Disponibilidad VARIADOR: 1847511 / 1852252  (0.99744041307554)
Disponibilidad LECTOR_QR_ENTRADA: 1849769 / 1850744  (0.9994731848381)
Disponibilidad LECTOR_QR_SALIDA: 1849769 / 1850744  (0.9994731848381)
Disponibilidad VTSC_ENTRADA: 1851280 / 1852638  (0.99926699117691)
Disponibilidad VTSC_SALIDA: 1850606 / 1852638  (0.99890318561964)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 11602 / 12079  (0.96050997599139)
Disponibilidad PUERTAS: 11707 / 12079  (0.9692027485719)
Disponibilidad FOTOCELULA: 11994 / 12079  (0.9929629936253)
Disponibilidad VARIADOR: 11888 / 12079  (0.9841874327345)
Disponibilidad LECTOR_QR_ENTRADA: 12079 / 12079  (1)
Disponibilidad LECTOR_QR_SALIDA: 12079 / 12079  (1)
Disponibilidad VTSC_ENTRADA: 12079 / 12079  (1)
Disponibilidad VTSC_SALIDA: 12077 / 12079  (0.99983442337942)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-21 19:05:25
Numero MAVs: 59
Disponibilidad MAVs: 3668724 / 3819445  (0.96053850755804)
Disponibilidad PaySystem: 3663972 / 3814583  (0.96051704734174)
Disponibilidad Printer: 3757367 / 3814603  (0.98499555523864)
Disponibilidad RFID: 3782849 / 3819491  (0.99040657511695)
Disponibilidad PLC: 3812384 / 3819491  (0.99813928086229)
Disponibilidad Conexion: 3819491 / 3916978  (0.97511168048429)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 54 / 59  (0.91525423728814)
Disponibilidad Printer: 55 / 59  (0.93220338983051)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 58 / 59  (0.98305084745763)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2712
Validaciones / Aperturas Ultima: 1579 / 1568  (0.0069664344521849)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	55		55		-0		0
 10.40.1.101	41		41		-0		0
 10.40.1.102	39		39		-0		0
 10.40.1.103	37		37		-0		0
 10.40.1.104	37		37		-0		0
 10.40.1.105	34		34		-0		0
 10.40.1.106	28		28		-0		0
 10.40.1.107	33		33		-0		0
 10.40.1.108	0		0		-0		0
 10.40.1.109	111		111		-0		0
 10.40.1.110	74		74		-0		0
 10.40.1.111	65		65		-0		0
 10.40.1.112	54		54		-0		0
 10.40.1.113	48		48		-0		0
 10.40.10.100	17		17		-0		0
 10.40.10.101	23		24		-0		-0.043478260869565
 10.40.11.100	4		4		-0		0
 10.40.11.101	34		34		-0		0
 10.40.11.102	19		19		-0		0
 10.40.12.100	6		6		-0		0
 10.40.12.101	12		12		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	19		19		-0		0
 10.40.13.101	25		25		-0		0
 10.40.13.102	27		27		-0		0
 10.40.13.103	57		57		-0		0
 10.40.13.104	63		63		-0		0
 10.40.13.105	38		38		-0		0
 10.40.15.100	2		2		-0		0
 10.40.15.101	2		2		-0		0
 10.40.16.100	3		3		-0		0
 10.40.16.101	4		4		-0		0
 10.40.17.100	7		7		-0		0
 10.40.17.101	6		6		-0		0
 10.40.17.102	10		10		-0		0
 10.40.18.100	10		10		-0		0
 10.40.18.101	4		4		-0		0
 10.40.18.102	3		3		-0		0
 10.40.2.100	6		6		-0		0
 10.40.2.101	7		7		-0		0
 10.40.20.100	13		13		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	16		16		-0		0
 10.40.21.101	12		0		-0		1
 10.40.21.102	20		20		-0		0
 10.40.21.103	11		11		-0		0
 10.40.22.100	16		16		-0		0
 10.40.22.101	12		12		-0		0
 10.40.22.102	3		3		-0		0
 10.40.22.103	7		7		-0		0
 10.40.23.100	7		7		-0		0
 10.40.23.101	8		8		-0		0
 10.40.23.102	12		12		-0		0
 10.40.23.103	9		9		-0		0
 10.40.24.100	4		4		-0		0
 10.40.24.101	3		3		-0		0
 10.40.24.102	2		2		-0		0
 10.40.24.103	2		2		-0		0
 10.40.25.100	6		6		-0		0
 10.40.25.101	16		16		-0		0
 10.40.25.102	7		7		-0		0
 10.40.25.103	2		2		-0		0
 10.40.26.100	21		21		-0		0
 10.40.26.101	18		18		-0		0
 10.40.26.102	3		3		-0		0
 10.40.26.103	5		5		-0		0
 10.40.27.100	3		3		-0		0
 10.40.27.101	9		9		-0		0
 10.40.27.102	2		2		-0		0
 10.40.27.103	1		1		-0		0
 10.40.28.100	4		4		-0		0
 10.40.28.101	1		1		-0		0
 10.40.28.102	1		1		-0		0
 10.40.28.103	1		1		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	2		2		-0		0
 10.40.30.101	0		0		-0		0
 10.40.4.100	7		7		-0		0
 10.40.4.101	4		4		-0		0
 10.40.4.102	13		13		-0		0
 10.40.5.100	12		12		-0		0
 10.40.5.101	11		11		-0		0
 10.40.5.102	9		9		-0		0
 10.40.5.103	6		6		-0		0
 10.40.6.100	13		13		-0		0
 10.40.6.101	18		18		-0		0
 10.40.7.100	11		11		-0		0
 10.40.7.101	6		6		-0		0
 10.40.7.102	2		2		-0		0
 10.40.7.103	21		21		-0		0
 10.40.7.104	19		19		-0		0
 10.40.7.105	21		21		-0		0
 10.40.8.100	5		5		-0		0
 10.40.8.101	13		13		-0		0
 10.40.8.102	8		8		-0		0
 10.40.9.100	11		11		-0		0
 10.40.9.101	29		29		-0		0
 10.40.9.102	17		17		-0		0

------------------- 8. Aperturas ----------------------------------------------------

IP		APP EMBEBIDA	CORE		Err. COMUN
 10.40.1.100	0		-0		0
 10.40.1.101	0		-0		0
 10.40.1.102	0		-0		0
 10.40.1.103	0		-0		0
 10.40.1.104	0		-0		0
 10.40.1.105	0		-0		0
 10.40.1.106	0		-0		0
 10.40.1.107	0		-0		0
 10.40.1.108	0		-0		0
 10.40.1.109	0		-0		0
 10.40.1.110	0		-0		0
 10.40.1.111	0		-0		0
 10.40.1.112	0		-0		0
 10.40.1.113	0		-0		0
 10.40.10.100	0		-0		0
 10.40.10.101	0		-0		0
 10.40.11.100	0		-0		0
 10.40.11.101	0		-0		0
 10.40.11.102	0		-0		0
 10.40.12.100	0		-0		0
 10.40.12.101	0		-5		5
 10.40.12.102	0		-0		0
 10.40.13.100	0		-0		0
 10.40.13.101	0		-0		0
 10.40.13.102	0		-0		0
 10.40.13.103	0		-0		0
 10.40.13.104	0		-4		4
 10.40.13.105	0		-4		4
 10.40.15.100	0		-0		0
 10.40.15.101	0		-0		0
 10.40.16.100	0		-0		0
 10.40.16.101	0		-0		0
 10.40.17.100	0		-0		0
 10.40.17.101	0		-0		0
 10.40.17.102	0		-0		0
 10.40.18.100	0		-0		0
 10.40.18.101	0		-0		0
 10.40.18.102	0		-0		0
 10.40.2.100	0		-0		0
 10.40.2.101	0		-0		0
 10.40.20.100	0		-5		5
 10.40.20.101	0		-0		0
 10.40.21.100	0		-0		0
 10.40.21.101	0		-0		0
 10.40.21.102	0		-0		0
 10.40.21.103	0		-0		0
 10.40.22.100	0		-0		0
 10.40.22.101	0		-0		0
 10.40.22.102	0		-0		0
 10.40.22.103	0		-2		2
 10.40.23.100	0		-7		7
 10.40.23.101	0		-0		0
 10.40.23.102	0		-0		0
 10.40.23.103	0		-0		0
 10.40.24.100	0		-0		0
 10.40.24.101	0		-0		0
 10.40.24.102	0		-0		0
 10.40.24.103	0		-0		0
 10.40.25.100	0		-2		2
 10.40.25.101	0		-0		0
 10.40.25.102	0		-0		0
 10.40.25.103	0		-0		0
 10.40.26.100	0		-0		0
 10.40.26.101	0		-0		0
 10.40.26.102	0		-0		0
 10.40.26.103	0		-0		0
 10.40.27.100	0		-0		0
 10.40.27.101	0		-0		0
 10.40.27.102	0		-0		0
 10.40.27.103	0		-0		0
 10.40.28.100	0		-0		0
 10.40.28.101	0		-0		0
 10.40.28.102	0		-0		0
