+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 24/09/2015 06:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-24 06:00:30
Numero BTs: 109
Disponibilidad MUEBLE: 1852309 / 1889795  (0.98016398604081)
Disponibilidad PUERTAS: 1873497 / 1889409  (0.99157831893465)
Disponibilidad FOTOCELULA: 1880273 / 1889409  (0.99516462555222)
Disponibilidad VARIADOR: 1884609 / 1889409  (0.99745952305721)
Disponibilidad LECTOR_QR_ENTRADA: 1886858 / 1887834  (0.99948300539136)
Disponibilidad LECTOR_QR_SALIDA: 1886858 / 1887834  (0.99948300539136)
Disponibilidad VTSC_ENTRADA: 1888433 / 1889795  (0.99927928690678)
Disponibilidad VTSC_SALIDA: 1887761 / 1889795  (0.99892369278149)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 3398 / 3434  (0.9895165987187)
Disponibilidad PUERTAS: 3434 / 3434  (1)
Disponibilidad FOTOCELULA: 3398 / 3434  (0.9895165987187)
Disponibilidad VARIADOR: 3434 / 3434  (1)
Disponibilidad LECTOR_QR_ENTRADA: 3367 / 3367  (1)
Disponibilidad LECTOR_QR_SALIDA: 3367 / 3367  (1)
Disponibilidad VTSC_ENTRADA: 3434 / 3434  (1)
Disponibilidad VTSC_SALIDA: 3434 / 3434  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 108 / 109  (0.99082568807339)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-24 06:06:11
Numero MAVs: 59
Disponibilidad MAVs: 3745541 / 3898607  (0.9607382842128)
Disponibilidad PaySystem: 3740483 / 3893424  (0.96071812368753)
Disponibilidad Printer: 3835488 / 3893424  (0.98511952461381)
Disponibilidad RFID: 3861809 / 3898607  (0.99056124405461)
Disponibilidad PLC: 3890572 / 3898634  (0.99793209621626)
Disponibilidad Conexion: 3898678 / 3998647  (0.97499929351103)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 57 / 59  (0.96610169491525)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2770
Validaciones / Aperturas Ultima: 64 / 64  (0)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	4		4		-0		0
 10.40.1.101	2		2		-0		0
 10.40.1.102	3		3		-0		0
 10.40.1.103	0		0		-0		0
 10.40.1.104	1		1		-0		0
 10.40.1.105	2		2		-0		0
 10.40.1.106	0		0		-0		0
 10.40.1.107	3		3		-0		0
 10.40.1.108	2		2		-0		0
 10.40.1.109	5		5		-0		0
 10.40.1.110	2		2		-0		0
 10.40.1.111	1		1		-0		0
 10.40.1.112	1		1		-0		0
 10.40.1.113	0		0		-0		0
 10.40.10.100	0		0		-0		0
 10.40.10.101	0		0		-0		0
 10.40.11.100	0		0		-0		0
 10.40.11.101	0		0		-0		0
 10.40.11.102	1		1		-0		0
 10.40.12.100	0		0		-0		0
 10.40.12.101	2		2		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	0		0		-0		0
 10.40.13.101	1		1		-0		0
 10.40.13.102	2		2		-0		0
 10.40.13.103	0		0		-0		0
 10.40.13.104	2		2		-0		0
 10.40.13.105	5		5		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	0		0		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	0		0		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	0		0		-0		0
 10.40.2.100	4		4		-0		0
 10.40.2.101	0		0		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	0		0		-0		0
 10.40.21.100	2		2		-0		0
 10.40.21.101	1		1		-0		0
 10.40.21.102	3		3		-0		0
 10.40.21.103	0		0		-0		0
 10.40.22.100	1		1		-0		0
 10.40.22.101	0		0		-0		0
 10.40.22.102	2		2		-0		0
 10.40.22.103	4		4		-0		0
 10.40.23.100	3		3		-0		0
 10.40.23.101	2		2		-0		0
 10.40.23.102	0		0		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	0		0		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	0		0		-0		0
 10.40.26.100	0		0		-0		0
 10.40.26.101	0		0		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	0		0		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	0		0		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	0		0		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	0		0		-0		0
 10.40.29.107	0		0		-0		0
 10.40.3.100	0		0		-0		0
 10.40.3.101	0		0		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	0		0		-0		0
 10.40.30.100	0		0		-0		0
 10.40.30.101	1		1		-0		0
 10.40.4.100	0		0		-0		0
