+--------------------------------------------------------------------------------+
+-- Informe de estado del parque BTs y MAVs - Fecha: 24/09/2015 21:00          --+
+--------------------------------------------------------------------------------+
------------------- 1. Disponibilidad BTs ----------------------------------------
Periodo: 2015-05-15 21:00:18 - 2015-09-24 21:00:24
Numero BTs: 109
Disponibilidad MUEBLE: 1861792 / 1899401  (0.98019954712038)
Disponibilidad PUERTAS: 1883103 / 1899015  (0.99162091926604)
Disponibilidad FOTOCELULA: 1889825 / 1899015  (0.99516064907334)
Disponibilidad VARIADOR: 1894214 / 1899015  (0.99747184724713)
Disponibilidad LECTOR_QR_ENTRADA: 1896464 / 1897440  (0.99948562273379)
Disponibilidad LECTOR_QR_SALIDA: 1896464 / 1897440  (0.99948562273379)
Disponibilidad VTSC_ENTRADA: 1898038 / 1899401  (0.99928240534779)
Disponibilidad VTSC_SALIDA: 1897367 / 1899401  (0.99892913608027)

------------------- 2. Disponibilidad HOY BTs ------------------------------------
Disponibilidad MUEBLE: 12881 / 13040  (0.98780674846626)
Disponibilidad PUERTAS: 13040 / 13040  (1)
Disponibilidad FOTOCELULA: 12950 / 13040  (0.9930981595092)
Disponibilidad VARIADOR: 13039 / 13040  (0.99992331288344)
Disponibilidad LECTOR_QR_ENTRADA: 12973 / 12973  (1)
Disponibilidad LECTOR_QR_SALIDA: 12973 / 12973  (1)
Disponibilidad VTSC_ENTRADA: 13039 / 13040  (0.99992331288344)
Disponibilidad VTSC_SALIDA: 13040 / 13040  (1)

------------------- 3. Disponibilidad Ultima Monitorizacion BTs -------------------
Disponibilidad MUEBLE: 108 / 109  (0.99082568807339)
Disponibilidad PUERTAS: 109 / 109  (1)
Disponibilidad FOTOCELULA: 109 / 109  (1)
Disponibilidad VARIADOR: 109 / 109  (1)
Disponibilidad LECTOR_QR_ENTRADA: 109 / 109  (1)
Disponibilidad LECTOR_QR_SALIDA: 109 / 109  (1)
Disponibilidad VTSC_ENTRADA: 109 / 109  (1)
Disponibilidad VTSC_SALIDA: 109 / 109  (1)

------------------- 4. Ultima Monitorizacion - BT - CPU y Disco -------------------
BT con consumo CPU Alto: 
BT con consumo de espacio disco alto: 

------------------- 5. Disponibilidad MAVs ----------------------------------------
Periodo: 2015-05-18 01:32:38 - 2015-09-24 21:06:06
Numero MAVs: 59
Disponibilidad MAVs: 3765800 / 3919263  (0.96084391376644)
Disponibilidad PaySystem: 3760742 / 3914080  (0.96082399950946)
Disponibilidad Printer: 3856059 / 3914080  (0.98517633773454)
Disponibilidad RFID: 3882458 / 3919263  (0.99060920382225)
Disponibilidad PLC: 3911178 / 3919263  (0.99793711215604)
Disponibilidad Conexion: 3919263 / 4019587  (0.97504121692104)

------------------- 6. Disponibilidad Ultima Monitorizacion MAVs ------------------
Disponibilidad PaySystem: 59 / 59  (1)
Disponibilidad Printer: 59 / 59  (1)
Disponibilidad RFID: 59 / 59  (1)
Disponibilidad PLC: 59 / 59  (1)

------------------- 7. Negocio ----------------------------------------------------
select sum(valor) as valor from dataNeg where (nombre='PASAJ ENTR' or nombre='PASAJ SAL') and Iter=2784
Validaciones / Aperturas Ultima: 431 / 433  (-0.0046403712296984)

IP		Validaciones	Puerta		Err. COMUN	Por. Error
 10.40.1.100	7		7		-0		0
 10.40.1.101	9		9		-0		0
 10.40.1.102	10		10		-0		0
 10.40.1.103	8		8		-0		0
 10.40.1.104	8		8		-0		0
 10.40.1.105	5		5		-0		0
 10.40.1.106	7		7		-0		0
 10.40.1.107	8		8		-0		0
 10.40.1.108	17		17		-0		0
 10.40.1.109	17		17		-0		0
 10.40.1.110	12		13		-0		-0.083333333333333
 10.40.1.111	14		14		-0		0
 10.40.1.112	14		14		-0		0
 10.40.1.113	10		10		-0		0
 10.40.10.100	1		1		-0		0
 10.40.10.101	3		3		-0		0
 10.40.11.100	3		3		-0		0
 10.40.11.101	7		8		-0		-0.14285714285714
 10.40.11.102	11		11		-0		0
 10.40.12.100	2		2		-0		0
 10.40.12.101	2		2		-0		0
 10.40.12.102	0		0		-0		0
 10.40.13.100	5		5		-0		0
 10.40.13.101	3		3		-0		0
 10.40.13.102	10		10		-0		0
 10.40.13.103	0		0		-0		0
 10.40.13.104	19		19		-0		0
 10.40.13.105	19		19		-0		0
 10.40.15.100	0		0		-0		0
 10.40.15.101	0		0		-0		0
 10.40.16.100	0		0		-0		0
 10.40.16.101	2		2		-0		0
 10.40.17.100	0		0		-0		0
 10.40.17.101	0		0		-0		0
 10.40.17.102	0		0		-0		0
 10.40.18.100	1		1		-0		0
 10.40.18.101	0		0		-0		0
 10.40.18.102	1		1		-0		0
 10.40.2.100	1		1		-0		0
 10.40.2.101	2		2		-0		0
 10.40.20.100	0		0		-0		0
 10.40.20.101	5		5		-0		0
 10.40.21.100	17		17		-0		0
 10.40.21.101	17		17		-0		0
 10.40.21.102	19		19		-0		0
 10.40.21.103	19		19		-0		0
 10.40.22.100	1		1		-0		0
 10.40.22.101	1		1		-0		0
 10.40.22.102	0		0		-0		0
 10.40.22.103	0		0		-0		0
 10.40.23.100	2		2		-0		0
 10.40.23.101	0		0		-0		0
 10.40.23.102	2		2		-0		0
 10.40.23.103	0		0		-0		0
 10.40.24.100	0		0		-0		0
 10.40.24.101	1		1		-0		0
 10.40.24.102	0		0		-0		0
 10.40.24.103	0		0		-0		0
 10.40.25.100	0		0		-0		0
 10.40.25.101	0		0		-0		0
 10.40.25.102	0		0		-0		0
 10.40.25.103	1		1		-0		0
 10.40.26.100	1		1		-0		0
 10.40.26.101	1		1		-0		0
 10.40.26.102	0		0		-0		0
 10.40.26.103	0		0		-0		0
 10.40.27.100	0		0		-0		0
 10.40.27.101	0		0		-0		0
 10.40.27.102	0		0		-0		0
 10.40.27.103	0		0		-0		0
 10.40.28.100	1		1		-0		0
 10.40.28.101	0		0		-0		0
 10.40.28.102	0		0		-0		0
 10.40.28.103	2		2		-0		0
 10.40.29.100	0		0		-0		0
 10.40.29.101	0		0		-0		0
 10.40.29.102	0		0		-0		0
 10.40.29.103	0		0		-0		0
 10.40.29.104	1		1		-0		0
 10.40.29.105	0		0		-0		0
 10.40.29.106	5		5		-0		0
 10.40.29.107	11		11		-0		0
 10.40.3.100	2		2		-0		0
 10.40.3.101	2		2		-0		0
 10.40.3.102	0		0		-0		0
 10.40.3.103	1		1		-0		0
 10.40.30.100	0		0		-0		0
 10.40.30.101	1		1		-0		0
